Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%),Pokemon
Jolly,0/252/0/0/4/252,10.388%,Zacian Crowned Sword
Adamant,252/28/4/0/12/212,4.504%,Zacian Crowned Sword
Jolly,4/252/0/0/0/252,4.419%,Zacian Crowned Sword
Adamant,188/164/4/0/4/148,2.891%,Zacian Crowned Sword
Jolly,0/252/4/0/0/252,2.456%,Zacian Crowned Sword
Adamant,4/252/0/0/0/252,2.241%,Zacian Crowned Sword
Adamant,188/156/4/0/4/156,2.054%,Zacian Crowned Sword
Adamant,0/252/4/0/0/252,1.852%,Zacian Crowned Sword
Adamant,212/36/12/0/36/212,1.501%,Zacian Crowned Sword
Adamant,252/76/4/0/36/140,1.490%,Zacian Crowned Sword
Jolly,116/140/0/0/0/252,1.432%,Zacian Crowned Sword
Adamant,188/100/4/0/4/212,1.312%,Zacian Crowned Sword
Adamant,172/236/0/0/0/100,1.239%,Zacian Crowned Sword
Jolly,68/172/12/0/4/252,1.043%,Zacian Crowned Sword
Jolly,12/236/4/0/4/252,1.021%,Zacian Crowned Sword
Adamant,204/76/4/0/4/220,0.981%,Zacian Crowned Sword
Adamant,252/4/0/0/0/252,0.934%,Zacian Crowned Sword
Jolly,172/204/12/0/4/116,0.909%,Zacian Crowned Sword
Adamant,188/92/0/0/0/228,0.901%,Zacian Crowned Sword
Adamant,124/156/4/0/4/220,0.898%,Zacian Crowned Sword
Impish,252/4/156/0/68/28,4.174%,Incineroar
Careful,244/4/76/0/156/28,3.679%,Incineroar
Careful,236/4/76/0/76/116,2.798%,Incineroar
Impish,252/4/76/0/172/4,2.312%,Incineroar
Careful,236/4/76/0/108/84,2.019%,Incineroar
Careful,252/0/100/0/156/0,1.847%,Incineroar
Jolly,244/4/4/0/4/252,1.804%,Incineroar
Impish,252/4/124/0/108/20,1.803%,Incineroar
Careful,252/4/68/0/172/12,1.535%,Incineroar
Impish,236/4/156/0/84/28,1.368%,Incineroar
Jolly,4/252/0/0/0/252,1.186%,Incineroar
Impish,244/4/124/0/108/28,1.141%,Incineroar
Impish,252/4/100/0/124/28,1.076%,Incineroar
Careful,244/4/68/0/76/116,1.071%,Incineroar
Careful,244/4/68/0/156/36,1.036%,Incineroar
Careful,236/4/60/0/132/76,1.033%,Incineroar
Impish,252/0/196/0/60/0,1.030%,Incineroar
Impish,244/4/156/0/84/20,1.007%,Incineroar
Jolly,116/132/4/0/4/252,0.993%,Incineroar
Adamant,252/252/0/0/4/0,0.948%,Incineroar
Timid,0/0/0/252/4/252,15.248%,Kyogre
Timid,4/0/0/252/0/252,9.562%,Kyogre
