,index,Name,Generation,Description,Pokemon
0,0,Adaptability,4,Powers up moves of the same type.,"[{'is_hidden': False, 'pokemon': {'name': 'eevee', 'url': 'https://pokeapi.co/api/v2/pokemon/133/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'corphish', 'url': 'https://pokeapi.co/api/v2/pokemon/341/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'crawdaunt', 'url': 'https://pokeapi.co/api/v2/pokemon/342/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'feebas', 'url': 'https://pokeapi.co/api/v2/pokemon/349/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'porygon-z', 'url': 'https://pokeapi.co/api/v2/pokemon/474/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'basculin-red-striped', 'url': 'https://pokeapi.co/api/v2/pokemon/550/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'skrelp', 'url': 'https://pokeapi.co/api/v2/pokemon/690/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'dragalge', 'url': 'https://pokeapi.co/api/v2/pokemon/691/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'yungoos', 'url': 'https://pokeapi.co/api/v2/pokemon/734/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gumshoos', 'url': 'https://pokeapi.co/api/v2/pokemon/735/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'basculin-blue-striped', 'url': 'https://pokeapi.co/api/v2/pokemon/10016/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'lucario-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10059/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'beedrill-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10090/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'gumshoos-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10121/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'eevee-starter', 'url': 'https://pokeapi.co/api/v2/pokemon/10159/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'eevee-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10205/'}, 'slot': 2}]"
1,1,Aerilate,6,Turns Normal-type moves into Flying-type moves.,"[{'is_hidden': False, 'pokemon': {'name': 'pinsir-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10040/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'salamence-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10089/'}, 'slot': 1}]"
2,2,Aftermath,4,Damages the attacker landing the finishing hit.,"[{'is_hidden': True, 'pokemon': {'name': 'voltorb', 'url': 'https://pokeapi.co/api/v2/pokemon/100/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'electrode', 'url': 'https://pokeapi.co/api/v2/pokemon/101/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'drifloon', 'url': 'https://pokeapi.co/api/v2/pokemon/425/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'drifblim', 'url': 'https://pokeapi.co/api/v2/pokemon/426/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'stunky', 'url': 'https://pokeapi.co/api/v2/pokemon/434/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'skuntank', 'url': 'https://pokeapi.co/api/v2/pokemon/435/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'trubbish', 'url': 'https://pokeapi.co/api/v2/pokemon/568/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'garbodor', 'url': 'https://pokeapi.co/api/v2/pokemon/569/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'garbodor-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10207/'}, 'slot': 3}]"
3,3,Air Lock,3,Eliminates the effects of weather.,"[{'is_hidden': False, 'pokemon': {'name': 'rayquaza', 'url': 'https://pokeapi.co/api/v2/pokemon/384/'}, 'slot': 1}]"
4,4,Analytic,5,Boosts move power when the Pokémon moves last.,"[{'is_hidden': True, 'pokemon': {'name': 'magnemite', 'url': 'https://pokeapi.co/api/v2/pokemon/81/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'magneton', 'url': 'https://pokeapi.co/api/v2/pokemon/82/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'staryu', 'url': 'https://pokeapi.co/api/v2/pokemon/120/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'starmie', 'url': 'https://pokeapi.co/api/v2/pokemon/121/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'porygon', 'url': 'https://pokeapi.co/api/v2/pokemon/137/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'porygon2', 'url': 'https://pokeapi.co/api/v2/pokemon/233/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'magnezone', 'url': 'https://pokeapi.co/api/v2/pokemon/462/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'porygon-z', 'url': 'https://pokeapi.co/api/v2/pokemon/474/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'patrat', 'url': 'https://pokeapi.co/api/v2/pokemon/504/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'watchog', 'url': 'https://pokeapi.co/api/v2/pokemon/505/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'elgyem', 'url': 'https://pokeapi.co/api/v2/pokemon/605/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'beheeyem', 'url': 'https://pokeapi.co/api/v2/pokemon/606/'}, 'slot': 3}]"
5,5,Anger Point,4,Maxes Attack after taking a critical hit.,"[{'is_hidden': False, 'pokemon': {'name': 'mankey', 'url': 'https://pokeapi.co/api/v2/pokemon/56/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'primeape', 'url': 'https://pokeapi.co/api/v2/pokemon/57/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'tauros', 'url': 'https://pokeapi.co/api/v2/pokemon/128/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'camerupt', 'url': 'https://pokeapi.co/api/v2/pokemon/323/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'sandile', 'url': 'https://pokeapi.co/api/v2/pokemon/551/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'krokorok', 'url': 'https://pokeapi.co/api/v2/pokemon/552/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'krookodile', 'url': 'https://pokeapi.co/api/v2/pokemon/553/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'crabrawler', 'url': 'https://pokeapi.co/api/v2/pokemon/739/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'crabominable', 'url': 'https://pokeapi.co/api/v2/pokemon/740/'}, 'slot': 3}]"
6,6,Anticipation,4,Senses a foe's dangerous moves.,"[{'is_hidden': True, 'pokemon': {'name': 'eevee', 'url': 'https://pokeapi.co/api/v2/pokemon/133/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'barboach', 'url': 'https://pokeapi.co/api/v2/pokemon/339/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'whiscash', 'url': 'https://pokeapi.co/api/v2/pokemon/340/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'wormadam-plant', 'url': 'https://pokeapi.co/api/v2/pokemon/413/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'croagunk', 'url': 'https://pokeapi.co/api/v2/pokemon/453/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'toxicroak', 'url': 'https://pokeapi.co/api/v2/pokemon/454/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'ferrothorn', 'url': 'https://pokeapi.co/api/v2/pokemon/598/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'hatenna', 'url': 'https://pokeapi.co/api/v2/pokemon/856/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'hattrem', 'url': 'https://pokeapi.co/api/v2/pokemon/857/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'hatterene', 'url': 'https://pokeapi.co/api/v2/pokemon/858/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'wormadam-sandy', 'url': 'https://pokeapi.co/api/v2/pokemon/10004/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'wormadam-trash', 'url': 'https://pokeapi.co/api/v2/pokemon/10005/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'eevee-starter', 'url': 'https://pokeapi.co/api/v2/pokemon/10159/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'ponyta-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10162/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'rapidash-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10163/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'eevee-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10205/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'hatterene-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10221/'}, 'slot': 2}]"
7,7,Arena Trap,3,Prevents the foe from fleeing.,"[{'is_hidden': False, 'pokemon': {'name': 'diglett', 'url': 'https://pokeapi.co/api/v2/pokemon/50/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'dugtrio', 'url': 'https://pokeapi.co/api/v2/pokemon/51/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'trapinch', 'url': 'https://pokeapi.co/api/v2/pokemon/328/'}, 'slot': 2}]"
8,8,Aroma Veil,6,Protects allies from attacks that limit their move choices.,"[{'is_hidden': True, 'pokemon': {'name': 'spritzee', 'url': 'https://pokeapi.co/api/v2/pokemon/682/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'aromatisse', 'url': 'https://pokeapi.co/api/v2/pokemon/683/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'milcery', 'url': 'https://pokeapi.co/api/v2/pokemon/868/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'alcremie', 'url': 'https://pokeapi.co/api/v2/pokemon/869/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'alcremie-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10223/'}, 'slot': 3}]"
9,9,As One Glastrier,8,Combines Unnerve and Chilling Neigh.,"[{'is_hidden': False, 'pokemon': {'name': 'calyrex-ice', 'url': 'https://pokeapi.co/api/v2/pokemon/10193/'}, 'slot': 1}]"
