,level_0,level_1,Name_x,Exact,Score,Name_y,Attributes,Category_x,Effect_x,Name,Category_y,Effect_y,sprite_url
0,0,0,1.0,1,2.0,Ability Capsule,[],Vitamins,Switches a Pokémon between its two possible (non-Hidden) Abilities.,Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,https://img.pokemondb.net/sprites/items/ability-capsule.png
1,1,1,1.0,1,2.0,Ability Patch,[],Vitamins,,Ability Patch,General items,Changes a Pokémon's ability to its Hidden Ability.,https://img.pokemondb.net/s.png
2,2,2,1.0,1,2.0,Ability Urge,[],Miracle Shooter,Forcibly activates a friendly Pokémon's ability.,Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon.",https://img.pokemondb.net/sprites/items/ability-urge.png
3,3,3,1.0,1,2.0,Abomasite,[],Mega Stones,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.,Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/abomasite.png
4,5,4,1.0,1,2.0,Absolite,[],Mega Stones,Held: Allows Absol to Mega Evolve into Mega Absol.,Absolite,Hold items,Enables Absol to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/absolite.png
5,6,5,1.0,1,2.0,Absorb Bulb,[],Held Items,Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.,Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",https://img.pokemondb.net/sprites/items/absorb-bulb.png
6,8,7,1.0,1,2.0,Adamant Mint,[],Nature Mints,,Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.,https://img.pokemondb.net/s.png
7,9,8,1.0,1,2.0,Adamant Orb,['holdable'],Species Specific,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.,Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.,https://img.pokemondb.net/sprites/items/adamant-orb.png
8,10,9,1.0,1,2.0,Adrenaline Orb,[],Held Items,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.,Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",https://img.pokemondb.net/sprites/items/adrenaline-orb.png
9,13,10,1.0,1,2.0,Aerodactylite,[],Mega Stones,Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aerodactylite.png
