,Name,IntroductedIn,Type,Power,Acc,PP,DamageClass,Effect,ProbPercentage
0,Absorb,1,Grass,20.0,100,25.0,Special,User recovers half the HP inflicted on opponent.,
1,Accelerock,7,Rock,40.0,100,20.0,Physical,User attacks first.,
2,Acid,1,Poison,40.0,100,30.0,Special,May lower opponent's Special Defense.,10.0
3,Acid Armor,1,Poison,,,20.0,Status,Sharply raises user's Defense.,
4,Acid Spray,5,Poison,40.0,100,20.0,Special,Sharply lowers opponent's Special Defense.,100.0
5,Acrobatics,5,Flying,55.0,100,15.0,Physical,Stronger when the user does not have a held item.,
6,Acupressure,4,Normal,,,30.0,Status,Sharply raises a random stat.,
7,Aerial Ace,3,Flying,60.0,∞,20.0,Physical,Ignores Accuracy and Evasiveness.,
8,Aeroblast,2,Flying,100.0,95,5.0,Special,High critical hit ratio.,
9,After You,5,Normal,,,15.0,Status,Gives target priority in the next turn.,
10,Agility,1,Psychic,,,30.0,Status,Sharply raises user's Speed.,
11,Air Cutter,3,Flying,60.0,95,25.0,Special,High critical hit ratio.,
12,Air Slash,4,Flying,75.0,95,15.0,Special,May cause flinching.,30.0
13,Ally Switch,5,Psychic,,,15.0,Status,User switches with opposite teammate.,
14,Amnesia,1,Psychic,,,20.0,Status,Sharply raises user's Special Defense.,
15,Anchor Shot,7,Steel,80.0,100,20.0,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
16,Ancient Power,2,Rock,60.0,100,5.0,Special,May raise all user's stats at once.,10.0
17,Apple Acid,8,Grass,80.0,100,10.0,Special,Lowers target's Special Defense.,100.0
18,Aqua Jet,4,Water,40.0,100,20.0,Physical,User attacks first.,
19,Aqua Ring,4,Water,,,20.0,Status,Restores a little HP each turn.,
20,Aqua Tail,4,Water,90.0,90,10.0,Physical,,
21,Arm Thrust,3,Fighting,15.0,100,20.0,Physical,Hits 2-5 times in one turn.,
22,Aromatherapy,3,Grass,,,5.0,Status,Cures all status problems in your party.,
23,Aromatic Mist,6,Fairy,,,20.0,Status,Raises Special Defense of an ally.,
24,Assist,3,Normal,,,20.0,Status,User performs a move known by its allies at random.,
25,Assurance,4,Dark,60.0,100,10.0,Physical,Power doubles if opponent already took damage in the same turn.,
26,Astonish,3,Ghost,30.0,100,15.0,Physical,May cause flinching.,30.0
27,Astral Barrage,8,Ghost,120.0,100,5.0,Special,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
28,Attack Order,4,Bug,90.0,100,15.0,Physical,High critical hit ratio.,
29,Attract,2,Normal,,100,15.0,Status,"If opponent is the opposite gender, it's less likely to attack.",
30,Aura Sphere,4,Fighting,80.0,∞,20.0,Special,Ignores Accuracy and Evasiveness.,
31,Aura Wheel,8,Electric,110.0,100,10.0,Physical,Changes type based on Morpeko's Mode.,100.0
32,Aurora Beam,1,Ice,65.0,100,20.0,Special,May lower opponent's Attack.,10.0
33,Aurora Veil,7,Ice,,,20.0,Status,Halves damage from Physical and Special attacks for five turns.,
34,Autotomize,5,Steel,,,15.0,Status,Reduces weight and sharply raises Speed.,
35,Avalanche,4,Ice,60.0,100,10.0,Physical,Power doubles if user took damage first.,
36,Baby Doll Eyes,6,Fairy,,100,30.0,Status,Always goes first. Lowers the target's attack.,
37,Baddy Bad,7,Dark,90.0,100,15.0,Special,Reduces damage from Physical attacks.,
38,Baneful Bunker,7,Poison,,,10.0,Status,Protects the user and poisons opponent on contact.,
39,Barrage,1,Normal,15.0,85,20.0,Physical,Hits 2-5 times in one turn.,
40,Barrier,1,Psychic,,,20.0,Status,Sharply raises user's Defense.,
41,Baton Pass,2,Normal,,,40.0,Status,User switches out and gives stat changes to the incoming Pokémon.,
42,Beak Blast,7,Flying,100.0,100,15.0,Physical,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",
43,Beat Up,2,Dark,,100,10.0,Physical,Each Pokémon in user's party attacks.,
44,Behemoth Bash,8,Steel,100.0,100,5.0,Physical,Damage doubles if target is Dynamaxed.,
45,Behemoth Blade,8,Steel,100.0,100,5.0,Physical,Damage doubles if target is Dynamaxed.,
46,Belch,6,Poison,120.0,90,10.0,Special,User must have consumed a Berry.,
47,Belly Drum,2,Normal,,,10.0,Status,"User loses 50% of its max HP, but Attack raises to maximum.",
48,Bestow,5,Normal,,,15.0,Status,Gives the user's held item to the target.,
49,Bide,1,Normal,,,10.0,Physical,User takes damage for two turns then strikes back double.,
50,Bind,1,Normal,15.0,85,20.0,Physical,"Traps opponent, damaging them for 4-5 turns.",100.0
51,Bite,1,Dark,60.0,100,25.0,Physical,May cause flinching.,30.0
52,Blast Burn,3,Fire,150.0,90,5.0,Special,User must recharge next turn.,
53,Blaze Kick,3,Fire,85.0,90,10.0,Physical,High critical hit ratio. May burn opponent.,10.0
54,Blizzard,1,Ice,110.0,70,5.0,Special,May freeze opponent.,10.0
55,Block,3,Normal,,,5.0,Status,Opponent cannot flee or switch.,
56,Blue Flare,5,Fire,130.0,85,5.0,Special,May burn opponent.,20.0
