Move,Pokemon
Absorb,Zubat
Acrobatics,Zubat
Aerial Ace,Zubat
Agility,Zubat
Air Cutter,Zubat
Air Slash,Zubat
Assurance,Zubat
Astonish,Zubat
Attract,Zubat
Bide,Zubat
Bite,Zubat
Brave Bird,Zubat
Captivate,Zubat
Confide,Zubat
Confuse Ray,Zubat
Crunch,Zubat
Curse,Zubat
Defog,Zubat
Detect,Zubat
Double Edge,Zubat
Double Team,Zubat
Dual Wingbeat,Zubat
Endure,Zubat
Facade,Zubat
Feint Attack,Zubat
Fly,Zubat
Frustration,Zubat
Giga Drain,Zubat
Gust,Zubat
Haze,Zubat
Headbutt,Zubat
Heat Wave,Zubat
Hidden Power,Zubat
Hypnosis,Zubat
Leech Life,Zubat
Mean Look,Zubat
Mega Drain,Zubat
Mimic,Zubat
Nasty Plot,Zubat
Natural Gift,Zubat
Ominous Wind,Zubat
Payback,Zubat
Pluck,Zubat
Poison Fang,Zubat
Protect,Zubat
Pursuit,Zubat
Quick Attack,Zubat
Quick Guard,Zubat
Rage,Zubat
Rain Dance,Zubat
Razor Wind,Zubat
Rest,Zubat
Return,Zubat
Roost,Zubat
Round,Zubat
Secret Power,Zubat
Shadow Ball,Zubat
Sleep Talk,Zubat
Sludge Bomb,Zubat
Snatch,Zubat
Snore,Zubat
Steel Wing,Zubat
Substitute,Zubat
Sunny Day,Zubat
Super Fang,Zubat
Supersonic,Zubat
Swagger,Zubat
Swift,Zubat
Tailwind,Zubat
Take Down,Zubat
Taunt,Zubat
Thief,Zubat
Torment,Zubat
Toxic,Zubat
Twister,Zubat
U Turn,Zubat
Uproar,Zubat
Venom Drench,Zubat
Venoshock,Zubat
Whirlwind,Zubat
Wing Attack,Zubat
Zen Headbutt,Zubat
Absorb,Golbat
Acrobatics,Golbat
Aerial Ace,Golbat
Agility,Golbat
Air Cutter,Golbat
Air Slash,Golbat
Assurance,Golbat
Astonish,Golbat
Attract,Golbat
Bide,Golbat
Bite,Golbat
Brave Bird,Golbat
Captivate,Golbat
Confide,Golbat
Confuse Ray,Golbat
Crunch,Golbat
Curse,Golbat
Defog,Golbat
Detect,Golbat
Double Edge,Golbat
Double Team,Golbat
Dual Wingbeat,Golbat
Endure,Golbat
Facade,Golbat
Fly,Golbat
Frustration,Golbat
Giga Drain,Golbat
Giga Impact,Golbat
Haze,Golbat
Headbutt,Golbat
Heat Wave,Golbat
Hidden Power,Golbat
Hyper Beam,Golbat
Leech Life,Golbat
Mean Look,Golbat
Mega Drain,Golbat
Mimic,Golbat
Nasty Plot,Golbat
Natural Gift,Golbat
Ominous Wind,Golbat
Payback,Golbat
Pluck,Golbat
Poison Fang,Golbat
Protect,Golbat
Quick Attack,Golbat
Quick Guard,Golbat
Rage,Golbat
Rain Dance,Golbat
Razor Wind,Golbat
Rest,Golbat
Return,Golbat
Roost,Golbat
Round,Golbat
Screech,Golbat
Secret Power,Golbat
Shadow Ball,Golbat
Sleep Talk,Golbat
Sludge Bomb,Golbat
Snatch,Golbat
Snore,Golbat
Steel Wing,Golbat
Substitute,Golbat
Sunny Day,Golbat
Super Fang,Golbat
Supersonic,Golbat
Swagger,Golbat
Swift,Golbat
Tailwind,Golbat
Take Down,Golbat
Taunt,Golbat
Thief,Golbat
Torment,Golbat
Toxic,Golbat
Twister,Golbat
U Turn,Golbat
Uproar,Golbat
Venom Drench,Golbat
Venoshock,Golbat
Whirlwind,Golbat
Wing Attack,Golbat
Zen Headbutt,Golbat
Absorb,Oddish
Acid,Oddish
After You,Oddish
Attract,Oddish
Bide,Oddish
Bullet Seed,Oddish
Captivate,Oddish
Charm,Oddish
Confide,Oddish
Curse,Oddish
Cut,Oddish
Dazzling Gleam,Oddish
Double Edge,Oddish
Double Team,Oddish
Endure,Oddish
Energy Ball,Oddish
Facade,Oddish
Flail,Oddish
Flash,Oddish
Frustration,Oddish
Gastro Acid,Oddish
Giga Drain,Oddish
Grass Knot,Oddish
Grassy Glide,Oddish
Grassy Terrain,Oddish
Growth,Oddish
Headbutt,Oddish
Hidden Power,Oddish
Infestation,Oddish
Ingrain,Oddish
Leech Seed,Oddish
Lucky Chant,Oddish
Mega Drain,Oddish
Mimic,Oddish
Moonblast,Oddish
Moonlight,Oddish
Natural Gift,Oddish
Nature Power,Oddish
Petal Dance,Oddish
Poison Powder,Oddish
Protect,Oddish
Rage,Oddish
Razor Leaf,Oddish
Reflect,Oddish
Rest,Oddish
Return,Oddish
Round,Oddish
Secret Power,Oddish
Seed Bomb,Oddish
Sleep Powder,Oddish
Sleep Talk,Oddish
Sludge Bomb,Oddish
Snore,Oddish
Solar Beam,Oddish
Strength Sap,Oddish
Stun Spore,Oddish
Substitute,Oddish
Sunny Day,Oddish
Swagger,Oddish
Sweet Scent,Oddish
Swords Dance,Oddish
Synthesis,Oddish
Take Down,Oddish
Teeter Dance,Oddish
Tickle,Oddish
Toxic,Oddish
Venoshock,Oddish
Worry Seed,Oddish
Absorb,Gloom
Acid,Gloom
After You,Gloom
Attract,Gloom
Bide,Gloom
Bullet Seed,Gloom
Captivate,Gloom
Charm,Gloom
Confide,Gloom
Curse,Gloom
Cut,Gloom
Dazzling Gleam,Gloom
Double Edge,Gloom
Double Team,Gloom
Drain Punch,Gloom
Endure,Gloom
Energy Ball,Gloom
Facade,Gloom
Flash,Gloom
Fling,Gloom
Frustration,Gloom
Gastro Acid,Gloom
Giga Drain,Gloom
Grass Knot,Gloom
Grassy Glide,Gloom
Grassy Terrain,Gloom
Growth,Gloom
Headbutt,Gloom
Hidden Power,Gloom
Infestation,Gloom
Lucky Chant,Gloom
Mega Drain,Gloom
Mimic,Gloom
Moonblast,Gloom
Moonlight,Gloom
Natural Gift,Gloom
Nature Power,Gloom
Petal Blizzard,Gloom
Petal Dance,Gloom
Poison Powder,Gloom
Protect,Gloom
Rage,Gloom
Razor Leaf,Gloom
Reflect,Gloom
Rest,Gloom
Return,Gloom
Round,Gloom
Secret Power,Gloom
Seed Bomb,Gloom
Sleep Powder,Gloom
Sleep Talk,Gloom
Sludge Bomb,Gloom
Snore,Gloom
Solar Beam,Gloom
Stun Spore,Gloom
Substitute,Gloom
Sunny Day,Gloom
Swagger,Gloom
Sweet Scent,Gloom
Swords Dance,Gloom
Synthesis,Gloom
Take Down,Gloom
Toxic,Gloom
Venoshock,Gloom
Worry Seed,Gloom
Absorb,Vileplume
Acid,Vileplume
After You,Vileplume
Aromatherapy,Vileplume
Attract,Vileplume
Bide,Vileplume
Body Slam,Vileplume
Bullet Seed,Vileplume
Captivate,Vileplume
Charm,Vileplume
Confide,Vileplume
Corrosive Gas,Vileplume
Curse,Vileplume
Cut,Vileplume
Dazzling Gleam,Vileplume
Double Edge,Vileplume
Double Team,Vileplume
Drain Punch,Vileplume
Endure,Vileplume
Energy Ball,Vileplume
Facade,Vileplume
Flash,Vileplume
Fling,Vileplume
Frustration,Vileplume
Gastro Acid,Vileplume
Giga Drain,Vileplume
Giga Impact,Vileplume
Grass Knot,Vileplume
Grassy Glide,Vileplume
Grassy Terrain,Vileplume
Growth,Vileplume
Headbutt,Vileplume
Hidden Power,Vileplume
Hyper Beam,Vileplume
Infestation,Vileplume
Mega Drain,Vileplume
Mimic,Vileplume
Moonblast,Vileplume
Moonlight,Vileplume
Natural Gift,Vileplume
Nature Power,Vileplume
Petal Blizzard,Vileplume
Petal Dance,Vileplume
Poison Powder,Vileplume
Pollen Puff,Vileplume
Protect,Vileplume
Rage,Vileplume
Reflect,Vileplume
Rest,Vileplume
Return,Vileplume
Round,Vileplume
Safeguard,Vileplume
Secret Power,Vileplume
Seed Bomb,Vileplume
Sleep Powder,Vileplume
Sleep Talk,Vileplume
Sludge Bomb,Vileplume
Sludge Wave,Vileplume
Snore,Vileplume
Solar Beam,Vileplume
Stun Spore,Vileplume
Substitute,Vileplume
Sunny Day,Vileplume
Swagger,Vileplume
Sweet Scent,Vileplume
Swords Dance,Vileplume
Synthesis,Vileplume
Take Down,Vileplume
Toxic,Vileplume
Venoshock,Vileplume
Worry Seed,Vileplume
Absorb,Paras
Aerial Ace,Paras
After You,Paras
Agility,Paras
Aromatherapy,Paras
Attract,Paras
Bide,Paras
Body Slam,Paras
Brick Break,Paras
Bug Bite,Paras
Bullet Seed,Paras
Captivate,Paras
Confide,Paras
Counter,Paras
Cross Poison,Paras
Curse,Paras
Cut,Paras
Dig,Paras
Double Edge,Paras
Double Team,Paras
Endure,Paras
Energy Ball,Paras
Facade,Paras
False Swipe,Paras
Fell Stinger,Paras
Flail,Paras
