ID,Name,Attributes,Category,Effect
1,master-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'standard-balls', 'url': 'https://pokeapi.co/api/v2/item-category/34/'}","[{'effect': 'Used in battle\n:   Catches a wild Pokémon without fail.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Catches a wild Pokémon every time.'}]"
2,ultra-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'standard-balls', 'url': 'https://pokeapi.co/api/v2/item-category/34/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 2×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 2×.'}]"
3,great-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'standard-balls', 'url': 'https://pokeapi.co/api/v2/item-category/34/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 1.5×.'}]"
4,poke-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'standard-balls', 'url': 'https://pokeapi.co/api/v2/item-category/34/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.'}]"
5,safari-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'standard-balls', 'url': 'https://pokeapi.co/api/v2/item-category/34/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.\n\nThis item can only be used in the great marsh or kanto safari zone.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.'}]"
6,net-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon.  If the wild Pokémon is water- or bug-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.'}]"
7,dive-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.'}]"
8,nest-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': ""Used in battle\n:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon's level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon's level is higher than 30, this ball has a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.'}]"
9,repeat-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': ""Used in battle\n:   Attempts to catch a wild Pokémon.  If the wild Pokémon's species is marked as caught in the trainer's Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.\n\n    If used in a trainer battle, nothing happens and the ball is lost."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.'}]"
10,timer-ball,"[{'name': 'countable', 'url': 'https://pokeapi.co/api/v2/item-attribute/1/'}, {'name': 'consumable', 'url': 'https://pokeapi.co/api/v2/item-attribute/2/'}, {'name': 'usable-in-battle', 'url': 'https://pokeapi.co/api/v2/item-attribute/4/'}, {'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'special-balls', 'url': 'https://pokeapi.co/api/v2/item-category/33/'}","[{'effect': 'Used in battle\n:   Attempts to catch a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.\n\n    If used in a trainer battle, nothing happens and the ball is lost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.'}]"
