ID,Name,Varieties,Generation,Evolves_from,Has_gender_diff,Is_baby,Is_legendary,Is_mythical
1,bulbasaur,"[{'is_default': True, 'pokemon': {'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon/1/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
2,ivysaur,"[{'is_default': True, 'pokemon': {'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon/2/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/1/'}",False,False,False,False
3,venusaur,"[{'is_default': True, 'pokemon': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon/3/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10033/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10195/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon-species/2/'}",True,False,False,False
4,charmander,"[{'is_default': True, 'pokemon': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon/4/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
5,charmeleon,"[{'is_default': True, 'pokemon': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon/5/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon-species/4/'}",False,False,False,False
6,charizard,"[{'is_default': True, 'pokemon': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10034/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10035/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10196/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon-species/5/'}",False,False,False,False
7,squirtle,"[{'is_default': True, 'pokemon': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon/7/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
8,wartortle,"[{'is_default': True, 'pokemon': {'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon/8/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/7/'}",False,False,False,False
9,blastoise,"[{'is_default': True, 'pokemon': {'name': 'blastoise', 'url': 'https://pokeapi.co/api/v2/pokemon/9/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10036/'}}, {'is_default': False, 'pokemon': {'name': 'blastoise-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10197/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}","{'name': 'wartortle', 'url': 'https://pokeapi.co/api/v2/pokemon-species/8/'}",False,False,False,False
10,caterpie,"[{'is_default': True, 'pokemon': {'name': 'caterpie', 'url': 'https://pokeapi.co/api/v2/pokemon/10/'}}]","{'name': 'generation-i', 'url': 'https://pokeapi.co/api/v2/generation/1/'}",,False,False,False,False
