,Pokémon,Type,Height,G-Max Move,G-Max Move Type
0,Charizard,Fire Flying,"91'10""+(28.0+ m)",G-Max Wildfire,Fire
1,Butterfree,Bug Flying,"55'09""+(17.0+ m)",G-Max Befuddle,Bug
2,Pikachu,Electric,"68'11""+(21.0+ m)",G-Max Volt Crash,Electric
3,Meowth,Normal,"108'03""+(33.0+ m)",G-Max Gold Rush,Normal
4,Machamp,Fighting,"82'00""+(25.0+ m)",G-Max Chi Strike,Fighting
5,Gengar,Ghost Poison,"65'07""+(20.0+ m)",G-Max Terror,Ghost
6,Kingler,Water,"62'04""+(19.0+ m)",G-Max Foam Burst,Water
7,Lapras,Water Ice,"78'09""+(24.0+ m)",G-Max Resonance,Ice
8,Eevee,Normal,"59'01""+(18.0+ m)",G-Max Cuddle,Normal
9,Snorlax,Normal,"114'10""+(35.0+ m)",G-Max Replenish,Normal
10,Garbodor,Poison,"68'11""+(21.0+ m)",G-Max Malodor,Poison
11,Melmetal,Steel,"82'00""+(25.0+ m)",G-Max Meltdown,Steel
12,Corviknight,Flying Steel,"45'11""+(14.0+ m)",G-Max Wind Rage,Flying
13,Orbeetle,Bug Psychic,"45'11""+(14.0+ m)",G-Max Gravitas,Psychic
14,Drednaw,Water Rock,"78'09""+(24.0+ m)",G-Max Stonesurge,Water
15,Coalossal,Rock Fire,"137'10""+(42.0+ m)",G-Max Volcalith,Rock
16,Flapple,Grass Dragon,"78'09""+(24.0+ m)",G-Max Tartness,Grass
17,Appletun,Grass Dragon,"78'09""+(24.0+ m)",G-Max Sweetness,Grass
18,Sandaconda,Ground,"72'02""+(22.0+ m)",G-Max Sandblast,Ground
19,Toxtricity(Both forms),Electric Poison,"78'09""+(24.0+ m)",G-Max Stun Shock,Electric
20,Centiskorch,Fire Bug,"246'01""+(75.0+ m)",G-Max Centiferno,Fire
21,Hatterene,Psychic Fairy,"85'04""+(26.0+ m)",G-Max Smite,Fairy
22,Grimmsnarl,Dark Fairy,"105'00""+(32.0+ m)",G-Max Snooze,Dark
23,Alcremie(Any form),Fairy,"98'05""+(30.0+ m)",G-Max Finale,Fairy
24,Copperajah,Steel,"75'06""+(23.0+ m)",G-Max Steelsurge,Steel
25,Duraludon,Steel Dragon,"141'01""+(43.0+ m)",G-Max Depletion,Dragon
26,Venusaur,Grass Poison,"78'09""+(24.0+ m)",G-Max Vine Lash,Grass
27,Blastoise,Water,"82'00""+(25.0+ m)",G-Max Cannonade,Water
28,Rillaboom,Grass,"91'10""+(28.0+ m)",G-Max Drum Solo,Grass
29,Cinderace,Fire,"88'07""+(27.0+ m)",G-Max Fireball,Fire
30,Inteleon,Water,"131'03""+(40.0+ m)",G-Max Hydrosnipe,Water
31,Urshifu(Single Strike Style),Fighting Dark,"95'02""+(29.0+ m)",G-Max One Blow,Dark
32,Urshifu(Rapid Strike Style),Fighting Water,"85'04""+(26.0+ m)",G-Max Rapid Flow,Water
