,Pokemon,Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%)
0,Zacian-Crowned,Jolly,0/252/0/0/4/252,10.388%
1,Zacian-Crowned,Adamant,252/28/4/0/12/212,4.504%
2,Zacian-Crowned,Jolly,4/252/0/0/0/252,4.419%
3,Zacian-Crowned,Adamant,188/164/4/0/4/148,2.891%
4,Zacian-Crowned,Jolly,0/252/4/0/0/252,2.456%
5,Zacian-Crowned,Adamant,4/252/0/0/0/252,2.241%
6,Zacian-Crowned,Adamant,188/156/4/0/4/156,2.054%
7,Zacian-Crowned,Adamant,0/252/4/0/0/252,1.852%
8,Zacian-Crowned,Adamant,212/36/12/0/36/212,1.501%
9,Zacian-Crowned,Adamant,252/76/4/0/36/140,1.490%
10,Zacian-Crowned,Jolly,116/140/0/0/0/252,1.432%
11,Zacian-Crowned,Adamant,188/100/4/0/4/212,1.312%
12,Zacian-Crowned,Adamant,172/236/0/0/0/100,1.239%
13,Zacian-Crowned,Jolly,68/172/12/0/4/252,1.043%
14,Zacian-Crowned,Jolly,12/236/4/0/4/252,1.021%
15,Zacian-Crowned,Adamant,204/76/4/0/4/220,0.981%
16,Zacian-Crowned,Adamant,252/4/0/0/0/252,0.934%
17,Zacian-Crowned,Jolly,172/204/12/0/4/116,0.909%
18,Zacian-Crowned,Adamant,188/92/0/0/0/228,0.901%
19,Zacian-Crowned,Adamant,124/156/4/0/4/220,0.898%
20,Incineroar,Impish,252/4/156/0/68/28,4.174%
21,Incineroar,Careful,244/4/76/0/156/28,3.679%
22,Incineroar,Careful,236/4/76/0/76/116,2.798%
23,Incineroar,Impish,252/4/76/0/172/4,2.312%
24,Incineroar,Careful,236/4/76/0/108/84,2.019%
25,Incineroar,Careful,252/0/100/0/156/0,1.847%
26,Incineroar,Jolly,244/4/4/0/4/252,1.804%
27,Incineroar,Impish,252/4/124/0/108/20,1.803%
28,Incineroar,Careful,252/4/68/0/172/12,1.535%
29,Incineroar,Impish,236/4/156/0/84/28,1.368%
30,Incineroar,Jolly,4/252/0/0/0/252,1.186%
31,Incineroar,Impish,244/4/124/0/108/28,1.141%
32,Incineroar,Impish,252/4/100/0/124/28,1.076%
33,Incineroar,Careful,244/4/68/0/76/116,1.071%
34,Incineroar,Careful,244/4/68/0/156/36,1.036%
35,Incineroar,Careful,236/4/60/0/132/76,1.033%
36,Incineroar,Impish,252/0/196/0/60/0,1.030%
37,Incineroar,Impish,244/4/156/0/84/20,1.007%
38,Incineroar,Jolly,116/132/4/0/4/252,0.993%
39,Incineroar,Adamant,252/252/0/0/4/0,0.948%
40,Kyogre,Timid,0/0/0/252/4/252,15.248%
41,Kyogre,Timid,4/0/0/252/0/252,9.562%
42,Kyogre,Timid,0/0/4/252/0/252,5.911%
43,Kyogre,Modest,4/0/0/252/0/252,3.774%
44,Kyogre,Modest,0/0/4/252/0/252,3.227%
45,Kyogre,Modest,124/0/0/156/0/228,2.661%
46,Kyogre,Modest,0/0/0/252/4/252,1.870%
47,Kyogre,Modest,108/0/4/156/4/236,1.501%
48,Kyogre,Modest,132/0/0/252/0/124,1.274%
49,Kyogre,Timid,12/0/4/236/4/252,1.245%
50,Kyogre,Modest,244/0/0/252/0/12,1.173%
51,Kyogre,Timid,28/0/20/252/4/204,1.170%
52,Kyogre,Modest,124/0/44/252/4/84,1.137%
53,Kyogre,Timid,28/0/4/252/20/204,1.112%
54,Kyogre,Modest,204/0/60/156/12/76,1.091%
55,Kyogre,Modest,252/0/0/236/0/20,1.075%
56,Kyogre,Modest,108/0/4/164/4/228,1.055%
57,Kyogre,Timid,28/0/4/204/20/252,1.016%
58,Kyogre,Modest,188/0/148/156/4/12,1.010%
59,Kyogre,Modest,132/0/68/76/4/228,0.975%
60,Grimmsnarl,Impish,164/0/188/0/156/0,6.755%
61,Grimmsnarl,Careful,252/0/140/0/116/0,6.611%
62,Grimmsnarl,Careful,220/4/156/0/116/12,6.246%
63,Grimmsnarl,Careful,228/4/140/0/116/20,5.590%
64,Grimmsnarl,Careful,252/4/204/0/36/12,5.117%
65,Grimmsnarl,Careful,220/4/140/0/116/28,3.473%
66,Grimmsnarl,Jolly,252/0/0/0/4/252,2.553%
67,Grimmsnarl,Calm,252/0/4/0/252/0,2.102%
68,Grimmsnarl,Careful,244/0/204/0/60/0,2.002%
69,Grimmsnarl,Careful,252/0/60/0/196/0,1.929%
70,Grimmsnarl,Careful,220/0/116/0/172/0,1.894%
71,Grimmsnarl,Careful,252/0/4/0/252/0,1.751%
72,Grimmsnarl,Careful,244/4/124/0/116/20,1.715%
73,Grimmsnarl,Careful,252/0/116/0/140/0,1.695%
74,Grimmsnarl,Calm,244/0/116/0/148/0,1.689%
75,Grimmsnarl,Careful,252/0/204/0/52/0,1.610%
76,Grimmsnarl,Careful,252/4/0/0/252/0,1.605%
77,Grimmsnarl,Jolly,4/252/0/0/0/252,1.551%
78,Grimmsnarl,Calm,252/0/140/0/116/0,1.362%
79,Grimmsnarl,Careful,220/4/220/0/60/4,1.256%
80,Regieleki,Timid,0/0/0/252/4/252,21.474%
81,Regieleki,Timid,4/0/0/252/0/252,13.978%
82,Regieleki,Timid,0/0/4/252/0/252,4.264%
83,Regieleki,Jolly,28/252/52/0/108/68,4.209%
