,#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0,1,Bulbasaur,NA,NA,NA,1.0,NA,NA
1,2,Ivysaur,NA,NA,NA,1.0,1.0,NA
2,3,Venusaur,NA,NA,NA,2.0,1.0,NA
3,3,Venusaur Mega Venusaur,NA,NA,NA,2.0,1.0,NA
4,4,Charmander,NA,NA,NA,NA,NA,1.0
5,5,Charmeleon,NA,NA,NA,1.0,NA,1.0
6,6,Charizard,NA,NA,NA,3.0,NA,NA
7,6,Charizard Mega Charizard X,NA,NA,NA,3.0,NA,NA
8,6,Charizard Mega Charizard Y,NA,NA,NA,3.0,NA,NA
9,7,Squirtle,NA,NA,1.0,NA,NA,NA
10,8,Wartortle,NA,NA,1.0,NA,1.0,NA
11,9,Blastoise,NA,NA,NA,NA,3.0,NA
12,9,Blastoise Mega Blastoise,NA,NA,NA,NA,3.0,NA
13,10,Caterpie,1.0,NA,NA,NA,NA,NA
14,11,Metapod,NA,NA,2.0,NA,NA,NA
15,12,Butterfree,NA,NA,NA,2.0,1.0,NA
16,13,Weedle,NA,NA,NA,NA,NA,1.0
17,14,Kakuna,NA,NA,2.0,NA,NA,NA
18,15,Beedrill,NA,2.0,NA,NA,1.0,NA
19,15,Beedrill Mega Beedrill,NA,2.0,NA,NA,1.0,NA
20,16,Pidgey,NA,NA,NA,NA,NA,1.0
21,17,Pidgeotto,NA,NA,NA,NA,NA,2.0
22,18,Pidgeot,NA,NA,NA,NA,NA,3.0
23,18,Pidgeot Mega Pidgeot,NA,NA,NA,NA,NA,3.0
24,19,Rattata,NA,NA,NA,NA,NA,1.0
25,19,Rattata Alolan Rattata,NA,NA,NA,NA,NA,1.0
26,20,Raticate,NA,NA,NA,NA,NA,2.0
27,20,Raticate Alolan Raticate,NA,NA,NA,NA,NA,2.0
28,21,Spearow,NA,NA,NA,NA,NA,1.0
29,22,Fearow,NA,NA,NA,NA,NA,2.0
30,23,Ekans,NA,1.0,NA,NA,NA,NA
31,24,Arbok,NA,2.0,NA,NA,NA,NA
32,25,Pikachu,NA,NA,NA,NA,NA,2.0
33,25,Pikachu Partner Pikachu,NA,NA,NA,NA,NA,2.0
34,26,Raichu,NA,NA,NA,NA,NA,3.0
35,26,Raichu Alolan Raichu,NA,NA,NA,NA,NA,3.0
36,27,Sandshrew,NA,NA,1.0,NA,NA,NA
37,27,Sandshrew Alolan Sandshrew,NA,NA,1.0,NA,NA,NA
38,28,Sandslash,NA,NA,2.0,NA,NA,NA
39,28,Sandslash Alolan Sandslash,NA,NA,2.0,NA,NA,NA
40,29,Nidoran♀,1.0,NA,NA,NA,NA,NA
41,30,Nidorina,2.0,NA,NA,NA,NA,NA
42,31,Nidoqueen,3.0,NA,NA,NA,NA,NA
43,32,Nidoran♂,NA,1.0,NA,NA,NA,NA
44,33,Nidorino,NA,2.0,NA,NA,NA,NA
45,34,Nidoking,NA,3.0,NA,NA,NA,NA
46,35,Clefairy,2.0,NA,NA,NA,NA,NA
47,36,Clefable,3.0,NA,NA,NA,NA,NA
48,37,Vulpix,NA,NA,NA,NA,NA,1.0
49,37,Vulpix Alolan Vulpix,NA,NA,NA,NA,NA,1.0
50,38,Ninetales,NA,NA,NA,NA,1.0,1.0
51,38,Ninetales Alolan Ninetales,NA,NA,NA,NA,NA,2.0
52,39,Jigglypuff,2.0,NA,NA,NA,NA,NA
53,40,Wigglytuff,3.0,NA,NA,NA,NA,NA
54,41,Zubat,NA,NA,NA,NA,NA,1.0
55,42,Golbat,NA,NA,NA,NA,NA,2.0
56,43,Oddish,NA,NA,NA,1.0,NA,NA
57,44,Gloom,NA,NA,NA,2.0,NA,NA
58,45,Vileplume,NA,NA,NA,3.0,NA,NA
59,46,Paras,NA,1.0,NA,NA,NA,NA
60,47,Parasect,NA,2.0,1.0,NA,NA,NA
61,48,Venonat,NA,NA,NA,NA,1.0,NA
62,49,Venomoth,NA,NA,NA,1.0,NA,1.0
63,50,Diglett,NA,NA,NA,NA,NA,1.0
64,50,Diglett Alolan Diglett,NA,NA,NA,NA,NA,1.0
65,51,Dugtrio,NA,NA,NA,NA,NA,2.0
66,51,Dugtrio Alolan Dugtrio,NA,2.0,NA,NA,NA,NA
67,52,Meowth,NA,NA,NA,NA,NA,1.0
68,52,Meowth Alolan Meowth,NA,NA,NA,NA,NA,1.0
69,52,Meowth Galarian Meowth,NA,1.0,NA,NA,NA,NA
70,53,Persian,NA,NA,NA,NA,NA,2.0
71,53,Persian Alolan Persian,NA,NA,NA,NA,NA,2.0
72,54,Psyduck,NA,NA,NA,1.0,NA,NA
73,55,Golduck,NA,NA,NA,2.0,NA,NA
74,56,Mankey,NA,1.0,NA,NA,NA,NA
75,57,Primeape,NA,2.0,NA,NA,NA,NA
76,58,Growlithe,NA,1.0,NA,NA,NA,NA
77,58,Growlithe Hisuian Growlithe,NA,NA,NA,NA,NA,NA
78,59,Arcanine,NA,2.0,NA,NA,NA,NA
79,59,Arcanine Hisuian Arcanine,NA,NA,NA,NA,NA,NA
80,60,Poliwag,NA,NA,NA,NA,NA,1.0
81,61,Poliwhirl,NA,NA,NA,NA,NA,2.0
82,62,Poliwrath,NA,NA,3.0,NA,NA,NA
83,63,Abra,NA,NA,NA,1.0,NA,NA
84,64,Kadabra,NA,NA,NA,2.0,NA,NA
85,65,Alakazam,NA,NA,NA,3.0,NA,NA
86,65,Alakazam Mega Alakazam,NA,NA,NA,3.0,NA,NA
87,66,Machop,NA,1.0,NA,NA,NA,NA
88,67,Machoke,NA,2.0,NA,NA,NA,NA
89,68,Machamp,NA,3.0,NA,NA,NA,NA
90,69,Bellsprout,NA,1.0,NA,NA,NA,NA
91,70,Weepinbell,NA,2.0,NA,NA,NA,NA
92,71,Victreebel,NA,3.0,NA,NA,NA,NA
93,72,Tentacool,NA,NA,NA,NA,1.0,NA
94,73,Tentacruel,NA,NA,NA,NA,2.0,NA
95,74,Geodude,NA,NA,1.0,NA,NA,NA
96,74,Geodude Alolan Geodude,NA,NA,1.0,NA,NA,NA
97,75,Graveler,NA,NA,2.0,NA,NA,NA
98,75,Graveler Alolan Graveler,NA,NA,2.0,NA,NA,NA
99,76,Golem,NA,NA,3.0,NA,NA,NA
100,76,Golem Alolan Golem,NA,NA,3.0,NA,NA,NA
101,77,Ponyta,NA,NA,NA,NA,NA,1.0
102,77,Ponyta Galarian Ponyta,NA,NA,NA,NA,NA,1.0
103,78,Rapidash,NA,NA,NA,NA,NA,2.0
104,78,Rapidash Galarian Rapidash,NA,NA,NA,NA,NA,2.0
105,79,Slowpoke,1.0,NA,NA,NA,NA,NA
106,79,Slowpoke Galarian Slowpoke,1.0,NA,NA,NA,NA,NA
