,Move,Pokemon
0,Absorb,zubat
1,Absorb,golbat
2,Absorb,oddish
3,Absorb,gloom
4,Absorb,vileplume
5,Absorb,paras
6,Absorb,parasect
7,Absorb,exeggcute
8,Absorb,exeggutor
9,Absorb,tangela
10,Absorb,kabuto
11,Absorb,kabutops
12,Absorb,spinarak
13,Absorb,ariados
14,Absorb,crobat
15,Absorb,bellossom
16,Absorb,hoppip
17,Absorb,skiploom
18,Absorb,jumpluff
19,Absorb,sunkern
20,Absorb,sunflora
21,Absorb,treecko
22,Absorb,grovyle
23,Absorb,sceptile
24,Absorb,beautifly
25,Absorb,lotad
26,Absorb,lombre
27,Absorb,ludicolo
28,Absorb,seedot
29,Absorb,nuzleaf
30,Absorb,shiftry
31,Absorb,shroomish
32,Absorb,breloom
33,Absorb,nincada
34,Absorb,ninjask
35,Absorb,shedinja
36,Absorb,roselia
37,Absorb,cacnea
38,Absorb,cacturne
39,Absorb,turtwig
40,Absorb,grotle
41,Absorb,torterra
42,Absorb,kricketune
43,Absorb,budew
44,Absorb,roserade
45,Absorb,tangrowth
46,Absorb,cottonee
47,Absorb,whimsicott
48,Absorb,petilil
49,Absorb,lilligant
50,Absorb,maractus
51,Absorb,foongus
52,Absorb,amoonguss
53,Absorb,frillish
54,Absorb,jellicent
55,Absorb,joltik
56,Absorb,galvantula
57,Absorb,shelmet
58,Absorb,accelgor
59,Absorb,larvesta
60,Absorb,volcarona
61,Absorb,goomy
62,Absorb,sliggoo
63,Absorb,goodra
64,Absorb,noibat
65,Absorb,noivern
66,Absorb,cutiefly
67,Absorb,ribombee
68,Absorb,morelull
69,Absorb,shiinotic
70,Absorb,sandygast
71,Absorb,palossand
72,Absorb,dhelmise
73,Absorb,celesteela
74,Absorb,sceptile-mega
75,Absorb,exeggutor-alola
76,Absorb,ribombee-totem
77,Accelerock,lycanroc-midday
78,Accelerock,lycanroc-dusk
79,Acid,ekans
80,Acid,arbok
81,Acid,oddish
82,Acid,gloom
83,Acid,vileplume
84,Acid,bellsprout
85,Acid,weepinbell
86,Acid,victreebel
87,Acid,tentacool
88,Acid,tentacruel
89,Acid,lickitung
90,Acid,bellossom
91,Acid,shuckle
92,Acid,cacnea
93,Acid,lileep
94,Acid,cradily
95,Acid,tympole
96,Acid,palpitoad
97,Acid,seismitoad
98,Acid,eelektrik
99,Acid,eelektross
100,Acid,litwick
101,Acid,shelmet
102,Acid,accelgor
103,Acid,skrelp
104,Acid,dragalge
105,Acid,nihilego
106,Acid,poipole
107,Acid,naganadel
108,Acid,toxel
109,Acid,toxtricity-amped
110,Acid,slowpoke-galar
111,Acid,slowbro-galar
112,Acid,slowking-galar
113,Acid,toxtricity-low-key
114,Acid Armor,tentacool
115,Acid Armor,tentacruel
116,Acid Armor,grimer
117,Acid Armor,muk
118,Acid Armor,vaporeon
119,Acid Armor,slugma
120,Acid Armor,gulpin
121,Acid Armor,shellos
122,Acid Armor,phione
123,Acid Armor,manaphy
124,Acid Armor,solosis
125,Acid Armor,vanillite
126,Acid Armor,vanillish
127,Acid Armor,vanilluxe
128,Acid Armor,frillish
129,Acid Armor,jellicent
130,Acid Armor,litwick
131,Acid Armor,cryogonal
132,Acid Armor,shelmet
133,Acid Armor,accelgor
134,Acid Armor,skrelp
135,Acid Armor,goomy
136,Acid Armor,meltan
137,Acid Armor,melmetal
138,Acid Armor,milcery
139,Acid Armor,alcremie
140,Acid Armor,grimer-alola
141,Acid Armor,muk-alola
142,Acid Spray,ekans
143,Acid Spray,arbok
144,Acid Spray,bellsprout
145,Acid Spray,tentacool
146,Acid Spray,tentacruel
147,Acid Spray,grimer
148,Acid Spray,wooper
149,Acid Spray,qwilfish
150,Acid Spray,remoraid
151,Acid Spray,gulpin
152,Acid Spray,swalot
153,Acid Spray,stunky
154,Acid Spray,skuntank
155,Acid Spray,carnivine
156,Acid Spray,scraggy
157,Acid Spray,trubbish
158,Acid Spray,garbodor
159,Acid Spray,karrablast
160,Acid Spray,escavalier
161,Acid Spray,ferroseed
162,Acid Spray,eelektrik
163,Acid Spray,accelgor
164,Acid Spray,sliggoo
165,Acid Spray,goodra
166,Acid Spray,nihilego
167,Acid Spray,flapple
168,Acid Spray,toxtricity-amped
169,Acid Spray,grimer-alola
170,Acid Spray,muk-alola
171,Acid Spray,toxtricity-low-key
172,Acrobatics,charmander
173,Acrobatics,charmeleon
174,Acrobatics,charizard
175,Acrobatics,butterfree
176,Acrobatics,beedrill
177,Acrobatics,zubat
178,Acrobatics,golbat
179,Acrobatics,venomoth
180,Acrobatics,mankey
181,Acrobatics,primeape
182,Acrobatics,farfetchd
183,Acrobatics,scyther
184,Acrobatics,mew
185,Acrobatics,ledyba
186,Acrobatics,ledian
187,Acrobatics,crobat
188,Acrobatics,hoppip
189,Acrobatics,skiploom
190,Acrobatics,jumpluff
191,Acrobatics,aipom
192,Acrobatics,gligar
193,Acrobatics,scizor
194,Acrobatics,mantine
195,Acrobatics,treecko
196,Acrobatics,grovyle
197,Acrobatics,sceptile
198,Acrobatics,blaziken
199,Acrobatics,beautifly
200,Acrobatics,dustox
201,Acrobatics,ninjask
202,Acrobatics,volbeat
203,Acrobatics,illumise
204,Acrobatics,lunatone
205,Acrobatics,solrock
206,Acrobatics,chimchar
207,Acrobatics,monferno
208,Acrobatics,infernape
209,Acrobatics,mothim
210,Acrobatics,vespiquen
211,Acrobatics,ambipom
212,Acrobatics,drifloon
213,Acrobatics,drifblim
214,Acrobatics,lopunny
215,Acrobatics,mantyke
216,Acrobatics,gliscor
217,Acrobatics,uxie
218,Acrobatics,mesprit
219,Acrobatics,azelf
220,Acrobatics,pansage
221,Acrobatics,simisage
222,Acrobatics,pansear
