,Item,UsePercentage,Pokemon
0,Rusted Sword,100.000,Zacian Crowned Sword
1,Shuca Berry,36.082,Incineroar
2,Safety Goggles,23.390,Incineroar
3,Sitrus Berry,14.031,Incineroar
4,Focus Sash,8.994,Incineroar
5,Figy Berry,3.636,Incineroar
6,Assault Vest,3.173,Incineroar
7,Weakness Policy,2.494,Incineroar
8,Chople Berry,1.935,Incineroar
9,Eject Button,1.335,Incineroar
10,Other,4.928,Incineroar
11,Mystic Water,34.414,Kyogre
12,Life Orb,20.986,Kyogre
13,Choice Scarf,14.993,Kyogre
14,Assault Vest,9.969,Kyogre
15,Choice Specs,7.006,Kyogre
16,Sea Incense,3.690,Kyogre
17,Leftovers,3.189,Kyogre
18,Wave Incense,2.427,Kyogre
19,Other,3.326,Kyogre
20,Light Clay,57.116,Grimmsnarl
21,Iron Ball,20.017,Grimmsnarl
22,Lagging Tail,10.226,Grimmsnarl
23,Focus Sash,5.080,Grimmsnarl
24,Babiri Berry,2.821,Grimmsnarl
25,Other,4.740,Grimmsnarl
26,Life Orb,29.152,Regieleki
27,Focus Sash,28.769,Regieleki
28,Magnet,18.534,Regieleki
29,Assault Vest,17.208,Regieleki
30,Choice Scarf,1.755,Regieleki
31,Other,4.582,Regieleki
32,Assault Vest,41.249,Rillaboom
33,Miracle Seed,29.114,Rillaboom
34,Rose Incense,15.973,Rillaboom
35,Grassy Seed,4.515,Rillaboom
36,Expert Belt,3.748,Rillaboom
37,Life Orb,1.590,Rillaboom
38,Other,3.811,Rillaboom
39,Assault Vest,50.974,Groudon
40,Sitrus Berry,22.661,Groudon
41,Weakness Policy,5.618,Groudon
42,Choice Scarf,4.647,Groudon
43,White Herb,4.020,Groudon
44,Wide Lens,3.800,Groudon
45,Life Orb,3.520,Groudon
46,Other,4.760,Groudon
47,Focus Sash,61.341,Calyrex Shadow Rider
48,Choice Specs,19.098,Calyrex Shadow Rider
49,Life Orb,14.525,Calyrex Shadow Rider
50,Choice Scarf,3.928,Calyrex Shadow Rider
51,Other,1.108,Calyrex Shadow Rider
52,Assault Vest,43.265,Thundurus Incarnate Forme
53,Life Orb,19.423,Thundurus Incarnate Forme
54,Sitrus Berry,12.571,Thundurus Incarnate Forme
55,Safety Goggles,10.177,Thundurus Incarnate Forme
56,Magnet,5.361,Thundurus Incarnate Forme
57,Expert Belt,2.842,Thundurus Incarnate Forme
58,Iron Ball,2.545,Thundurus Incarnate Forme
59,Other,3.816,Thundurus Incarnate Forme
60,White Herb,42.077,Landorus Therian Forme
61,Life Orb,20.890,Landorus Therian Forme
62,Assault Vest,13.064,Landorus Therian Forme
63,Lum Berry,10.388,Landorus Therian Forme
64,Choice Scarf,7.671,Landorus Therian Forme
65,Choice Band,3.124,Landorus Therian Forme
66,Other,2.786,Landorus Therian Forme
67,Leftovers,84.781,Gastrodon
68,Rindo Berry,6.800,Gastrodon
69,Sitrus Berry,6.223,Gastrodon
70,Other,2.196,Gastrodon
71,Lum Berry,39.492,Charizard
72,Life Orb,28.879,Charizard
73,Charti Berry,21.713,Charizard
74,Assault Vest,4.232,Charizard
75,Wacan Berry,1.229,Charizard
76,Other,4.455,Charizard
77,Coba Berry,50.111,Amoonguss
78,Mental Herb,16.966,Amoonguss
79,Focus Sash,15.017,Amoonguss
80,Yache Berry,5.053,Amoonguss
81,Sitrus Berry,3.186,Amoonguss
82,Occa Berry,2.476,Amoonguss
83,Iapapa Berry,1.860,Amoonguss
84,Wiki Berry,1.431,Amoonguss
85,Other,3.901,Amoonguss
86,Psychic Seed,64.443,Indeedee Female
87,Focus Sash,23.447,Indeedee Female
88,Safety Goggles,9.133,Indeedee Female
89,Other,2.977,Indeedee Female
90,Focus Sash,59.282,Whimsicott
91,Eject Button,22.419,Whimsicott
92,Mental Herb,7.572,Whimsicott
93,Coba Berry,4.387,Whimsicott
94,Expert Belt,3.002,Whimsicott
95,Other,3.338,Whimsicott
96,Life Orb,49.056,Yveltal
97,Assault Vest,39.906,Yveltal
98,Weakness Policy,3.778,Yveltal
99,Black Glasses,2.648,Yveltal
100,Other,4.612,Yveltal
101,Weakness Policy,39.275,Calyrex Ice Rider
102,Babiri Berry,32.411,Calyrex Ice Rider
103,White Herb,11.253,Calyrex Ice Rider
104,Focus Sash,6.578,Calyrex Ice Rider
105,Life Orb,3.013,Calyrex Ice Rider
106,Assault Vest,2.849,Calyrex Ice Rider
107,Other,4.621,Calyrex Ice Rider
108,Life Orb,46.740,Palkia
109,Lustrous Orb,28.547,Palkia
110,Safety Goggles,10.162,Palkia
111,Wiki Berry,6.336,Palkia
112,Psychic Seed,3.851,Palkia
113,Other,4.364,Palkia
114,Eviolite,99.999,Porygon2
115,Other,0.001,Porygon2
116,Focus Sash,63.365,Tornadus Incarnate Forme
117,Life Orb,17.875,Tornadus Incarnate Forme
118,Mental Herb,6.243,Tornadus Incarnate Forme
119,Wacan Berry,3.918,Tornadus Incarnate Forme
120,Sharp Beak,2.393,Tornadus Incarnate Forme
121,Sitrus Berry,2.153,Tornadus Incarnate Forme
122,Other,4.053,Tornadus Incarnate Forme
123,Life Orb,68.894,Zapdos
124,Safety Goggles,19.278,Zapdos
125,Utility Umbrella,4.511,Zapdos
126,Assault Vest,3.374,Zapdos
127,Other,3.943,Zapdos
128,Assault Vest,73.383,Kartana
129,Life Orb,20.575,Kartana
130,Focus Sash,2.936,Kartana
131,Other,3.106,Kartana
132,Wacan Berry,60.820,Blastoise
133,Assault Vest,21.366,Blastoise
134,Mystic Water,8.865,Blastoise
135,Weakness Policy,1.821,Blastoise
136,Sitrus Berry,1.665,Blastoise
137,Life Orb,1.495,Blastoise
138,Other,3.968,Blastoise
139,Focus Sash,28.253,Venusaur
140,Weakness Policy,23.713,Venusaur
141,Life Orb,20.899,Venusaur
142,Coba Berry,19.643,Venusaur
143,Assault Vest,3.178,Venusaur
144,Other,4.314,Venusaur
145,Leftovers,81.215,Ferrothorn
146,Assault Vest,14.350,Ferrothorn
147,Other,4.435,Ferrothorn
148,Choice Scarf,92.212,Ditto
149,Sitrus Berry,2.117,Ditto
150,Quick Claw,1.953,Ditto
151,Other,3.718,Ditto
152,Focus Sash,39.380,Urshifu Single Strike Style
153,Choice Band,38.146,Urshifu Single Strike Style
154,Black Glasses,16.687,Urshifu Single Strike Style
155,Life Orb,3.272,Urshifu Single Strike Style
156,Other,2.515,Urshifu Single Strike Style
157,Power Herb,99.807,Xerneas
158,Other,0.193,Xerneas
159,Life Orb,76.991,Dialga
160,Adamant Orb,10.411,Dialga
161,Weakness Policy,5.436,Dialga
162,Safety Goggles,2.326,Dialga
163,Other,4.836,Dialga
164,Safety Goggles,57.500,Shedinja
165,Focus Sash,42.056,Shedinja
166,Other,0.444,Shedinja
