Name,Introducted_in,Type,Power,Acc.,PP,Damage_class,Effect,Prob. (%)
Absorb,1,Grass,20,100,25,Special,User recovers half the HP inflicted on opponent.,
Accelerock,7,Rock,40,100,20,Physical,User attacks first.,
Acid,1,Poison,40,100,30,Special,May lower opponent's Special Defense.,10
Acid Armor,1,Poison,,,20,Status,Sharply raises user's Defense.,
Acid Spray,5,Poison,40,100,20,Special,Sharply lowers opponent's Special Defense.,100
Acrobatics,5,Flying,55,100,15,Physical,Stronger when the user does not have a held item.,
Acupressure,4,Normal,,,30,Status,Sharply raises a random stat.,
Aerial Ace,3,Flying,60,∞,20,Physical,Ignores Accuracy and Evasiveness.,
Aeroblast,2,Flying,100,95,5,Special,High critical hit ratio.,
After You,5,Normal,,,15,Status,Gives target priority in the next turn.,
Agility,1,Psychic,,,30,Status,Sharply raises user's Speed.,
Air Cutter,3,Flying,60,95,25,Special,High critical hit ratio.,
Air Slash,4,Flying,75,95,15,Special,May cause flinching.,30
Ally Switch,5,Psychic,,,15,Status,User switches with opposite teammate.,
Amnesia,1,Psychic,,,20,Status,Sharply raises user's Special Defense.,
Anchor Shot,7,Steel,80,100,20,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
Ancient Power,2,Rock,60,100,5,Special,May raise all user's stats at once.,10
Apple Acid,8,Grass,80,100,10,Special,Lowers target's Special Defense.,100
Aqua Jet,4,Water,40,100,20,Physical,User attacks first.,
Aqua Ring,4,Water,,,20,Status,Restores a little HP each turn.,
Aqua Tail,4,Water,90,90,10,Physical,,
Arm Thrust,3,Fighting,15,100,20,Physical,Hits 2-5 times in one turn.,
Aromatherapy,3,Grass,,,5,Status,Cures all status problems in your party.,
Aromatic Mist,6,Fairy,,,20,Status,Raises Special Defense of an ally.,
Assist,3,Normal,,,20,Status,User performs a move known by its allies at random.,
Assurance,4,Dark,60,100,10,Physical,Power doubles if opponent already took damage in the same turn.,
Astonish,3,Ghost,30,100,15,Physical,May cause flinching.,30
Astral Barrage,8,Ghost,120,100,5,Special,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
Attack Order,4,Bug,90,100,15,Physical,High critical hit ratio.,
Attract,2,Normal,,100,15,Status,"If opponent is the opposite gender, it's less likely to attack.",
Aura Sphere,4,Fighting,80,∞,20,Special,Ignores Accuracy and Evasiveness.,
Aura Wheel,8,Electric,110,100,10,Physical,Changes type based on Morpeko's Mode.,100
Aurora Beam,1,Ice,65,100,20,Special,May lower opponent's Attack.,10
