,Move,UsePercentage,Pokemon,Name
0,Behemoth Blade,99.996,Zacian Crowned Sword,Behemoth Blade
1,Protect,98.672,Zacian Crowned Sword,Protect
2,Protect,67.612,Kyogre,Protect
3,Protect,72.095,Regieleki,Protect
4,Protect,47.379,Rillaboom,Protect
5,Protect,42.589,Groudon,Protect
6,Protect,71.432,Calyrex Shadow Rider,Protect
7,Protect,18.170,Thundurus Incarnate Forme,Protect
8,Protect,38.395,Landorus Therian Forme,Protect
9,Protect,96.360,Gastrodon,Protect
10,Protect,83.021,Charizard,Protect
11,Protect,87.546,Amoonguss,Protect
12,Protect,86.716,Indeedee Female,Protect
13,Protect,22.509,Whimsicott,Protect
14,Protect,51.466,Yveltal,Protect
15,Protect,50.254,Calyrex Ice Rider,Protect
16,Protect,41.038,Palkia,Protect
17,Protect,72.217,Tornadus Incarnate Forme,Protect
18,Protect,50.897,Zapdos,Protect
19,Protect,6.683,Blastoise,Protect
20,Protect,21.665,Venusaur,Protect
21,Protect,81.649,Ferrothorn,Protect
22,Protect,34.116,Urshifu Single Strike Style,Protect
23,Protect,98.794,Xerneas,Protect
24,Protect,12.815,Dialga,Protect
25,Protect,16.046,Shedinja,Protect
26,Protect,63.217,Solgaleo,Protect
27,Protect,80.649,Torkoal,Protect
28,Protect,63.421,Kingdra,Protect
29,Protect,99.905,Weezing,Protect
30,Protect,13.979,Entei,Protect
31,Protect,58.956,Lunala,Protect
32,Protect,67.535,White Kyurem,Protect
33,Protect,66.133,Tapu Fini,Protect
34,Protect,41.898,Urshifu Rapid Strike Style,Protect
35,Protect,8.373,Mimikyu,Protect
36,Protect,10.110,Gothitelle,Protect
37,Protect,19.664,Seismitoad,Protect
38,Protect,80.609,Ho-oh,Protect
39,Protect,38.355,Heat Rotom,Protect
40,Protect,52.181,Eternatus,Protect
41,Protect,33.156,Regigigas,Protect
42,Protect,7.227,Cinderace,Protect
43,Protect,28.780,Togekiss,Protect
44,Protect,95.081,Coalossal,Protect
45,Protect,15.463,Dragapult,Protect
46,Protect,40.430,Comfey,Protect
47,Protect,75.603,Lapras,Protect
48,Protect,51.967,Rayquaza,Protect
49,Protect,11.105,Spectrier,Protect
50,Protect,50.583,Reshiram,Protect
51,Protect,92.208,Zygarde Complete Forme,Protect
52,Protect,98.706,Mamoswine,Protect
53,Protect,16.709,Barraskewda,Protect
54,Protect,56.260,Celesteela,Protect
55,Protect,31.412,Metagross,Protect
56,Protect,63.689,Araquanid,Protect
57,Protect,34.151,Pheromosa,Protect
58,Protect,29.617,Arcanine,Protect
59,Protect,24.521,Zamazenta Crowned Shield,Protect
60,Protect,87.372,Clefairy,Protect
61,Protect,28.434,Lugia,Protect
62,Protect,12.797,Suicune,Protect
63,Protect,39.259,Landorus Incarnate Forme,Protect
64,Protect,17.619,Dusk Mane Necrozma,Protect
65,Protect,28.230,Alcremie,Protect
66,Protect,54.950,Tapu Koko,Protect
67,Protect,10.076,Hydreigon,Protect
68,Protect,5.447,Weavile,Protect
69,Protect,15.987,Tsareena,Protect
70,Protect,72.366,Glastrier,Protect
71,Protect,45.752,Dracovish,Protect
72,Protect,26.551,Regidrago,Protect
73,Protect,89.105,Zekrom,Protect
74,Protect,55.975,Shuckle,Protect
75,Protect,13.490,Galarian Zapdos,Protect
76,Protect,53.139,Volcarona,Protect
77,Protect,16.243,Snorlax,Protect
78,Protect,20.099,Stakataka,Protect
79,Protect,61.679,Thundurus Therian Forme,Protect
80,Protect,64.149,Galarian Moltres,Protect
81,Protect,10.561,Talonflame,Protect
82,Protect,28.812,Milotic,Protect
83,Protect,14.221,Mewtwo,Protect
84,Protect,23.569,Klinklang,Protect
85,Protect,49.926,Inteleon,Protect
86,Protect,85.435,Salamence,Protect
87,Protect,16.234,Hatterene,Protect
88,Protect,61.313,Escavalier,Protect
89,Protect,25.385,Wash Rotom,Protect
90,Protect,91.495,Politoed,Protect
91,Protect,54.366,Ludicolo,Protect
92,Protect,13.688,Slowking,Protect
93,Protect,86.110,Azumarill,Protect
94,Protect,21.058,Galarian Articuno,Protect
95,Protect,70.131,Tyranitar,Protect
96,Protect,39.686,Pikachu,Protect
97,Protect,34.660,Alolan Ninetales,Protect
98,Protect,61.602,Alolan Marowak,Protect
99,Protect,23.582,Slowbro,Protect
100,Protect,89.460,Giratina Origin Forme,Protect
101,Protect,92.099,Pelipper,Protect
102,Protect,98.182,Galarian Weezing,Protect
103,Protect,34.467,Kingler,Protect
104,Protect,5.918,Oranguru,Protect
105,Protect,79.896,Nihilego,Protect
106,Protect,36.337,Gyarados,Protect
107,Protect,78.372,Garchomp,Protect
108,Protect,3.302,Heliolisk,Protect
109,Protect,95.512,Tapu Bulu,Protect
110,Protect,70.513,Moltres,Protect
111,Protect,55.764,Krookodile,Protect
112,Protect,52.241,Excadrill,Protect
113,Protect,25.828,Primarina,Protect
114,Protect,31.680,Chandelure,Protect
115,Protect,7.983,Toxicroak,Protect
116,Protect,77.202,Dracozolt,Protect
117,Protect,12.192,Sceptile,Protect
118,Protect,59.938,Pincurchin,Protect
119,Protect,53.474,Centiskorch,Protect
120,Protect,12.887,Greedent,Protect
121,Protect,45.254,Porygon-Z,Protect
122,Protect,16.718,Butterfree,Protect
123,Protect,16.667,Lucario,Protect
124,Protect,39.933,Mudsdale,Protect
125,Protect,74.909,Cherrim,Protect
126,Protect,94.922,Exeggutor,Protect
127,Protect,36.205,Altaria,Protect
128,Protect,7.055,Klefki,Protect
129,Protect,38.745,Gigalith,Protect
130,Protect,16.695,Riolu,Protect
131,Protect,37.799,Mandibuzz,Protect
132,Protect,88.577,Lurantis,Protect
133,Protect,13.812,Dragonite,Protect
134,Protect,9.630,Darmanitan Standard Mode,Protect
135,Protect,76.158,Cradily,Protect
136,Protect,11.164,Scrafty,Protect
137,Protect,14.602,Aerodactyl,Protect
138,Protect,82.275,Kabutops,Protect
139,Protect,11.529,Articuno,Protect
140,Protect,34.539,Blacephalon,Protect
141,Protect,27.218,Duraludon,Protect
142,Protect,5.380,Drednaw,Protect
143,Protect,63.329,Heatran,Protect
144,Protect,89.806,Clefable,Protect
145,Protect,77.286,Appletun,Protect
146,Protect,28.990,Bisharp,Protect
147,Protect,98.265,Registeel,Protect
148,Protect,58.950,Rhyperior,Protect
149,Protect,99.276,Stonjourner,Protect
150,Protect,7.591,Leafeon,Protect
151,Protect,20.232,Abomasnow,Protect
152,Protect,50.219,Diggersby,Protect
153,Protect,71.993,Giratina Altered Forme,Protect
154,Protect,85.271,Swoobat,Protect
155,Protect,38.000,Vikavolt,Protect
156,Protect,52.899,Durant,Protect
157,Protect,17.115,Cresselia,Protect
158,Protect,93.210,Wishiwashi Solo Form,Protect
159,Protect,45.108,Conkeldurr,Protect
160,Protect,49.036,Boltund,Protect
161,Protect,94.208,Terrakion,Protect
162,Protect,15.715,Cobalion,Protect
163,Protect,87.031,Black Kyurem,Protect
164,Protect,10.292,Mantine,Protect
165,Protect,73.416,Machamp,Protect
166,Protect,16.916,Goodra,Protect
167,Protect,64.083,Accelgor,Protect
168,Protect,40.282,Xurkitree,Protect
169,Protect,92.519,Tauros,Protect
170,Protect,99.300,Garbodor,Protect
171,Protect,85.223,Luxray,Protect
172,Protect,12.018,Dugtrio,Protect
173,Protect,54.646,Mow Rotom,Protect
174,Protect,24.122,Gengar,Protect
175,Protect,98.813,Glaceon,Protect
176,Protect,39.458,Palossand,Protect
177,Protect,4.883,Espeon,Protect
178,Protect,87.579,Tyrantrum,Protect
179,Protect,10.940,Cinccino,Protect
180,Protect,87.442,Kommo-o,Protect
181,Protect,60.618,Cloyster,Protect
182,Protect,78.281,Blaziken,Protect
183,Protect,13.994,Drampa,Protect
184,Protect,12.672,Grapploct,Protect
185,Protect,47.421,Zoroark,Protect
186,Protect,36.674,Lilligant,Protect
187,Protect,25.162,Clawitzer,Protect
188,Protect,6.573,Haxorus,Protect
189,Protect,38.417,Dhelmise,Protect
190,Protect,11.221,Runerigus,Protect
191,Protect,70.320,Braviary,Protect
192,Protect,67.304,Virizion,Protect
193,Protect,73.459,Togetic,Protect
194,Protect,40.703,Alolan Raichu,Protect
195,Protect,25.439,Beartic,Protect
196,Protect,28.401,Copperajah,Protect
197,Protect,75.794,Flapple,Protect
198,Protect,59.852,Sylveon,Protect
199,Protect,5.742,Slurpuff,Protect
200,Protect,81.742,Eiscue Ice Face,Protect
201,Protect,47.416,Hippowdon,Protect
202,Protect,53.210,Alakazam,Protect
203,Protect,54.673,Arctozolt,Protect
204,Protect,19.047,Starmie,Protect
205,Protect,10.422,Turtonator,Protect
206,Protect,95.309,Sharpedo,Protect
207,Protect,7.267,Salazzle,Protect
208,Protect,53.752,Ninetales,Protect
209,Protect,16.429,Sirfetch'd,Protect
210,Protect,12.220,Ribombee,Protect
211,Protect,12.981,Charjabug,Protect
212,Protect,49.377,Toxtricity Low Key Form,Protect
213,Protect,90.257,Vaporeon,Protect
214,Protect,59.983,Mr. Mime,Protect
215,Protect,83.960,Magnezone,Protect
216,Protect,8.359,Gallade,Protect
217,Protect,4.948,Lopunny,Protect
218,Protect,58.104,Malamar,Protect
219,Protect,17.716,Golisopod,Protect
220,Protect,17.609,Golduck,Protect
221,Protect,83.578,Shiinotic,Protect
222,Protect,72.383,Lycanroc Dusk Form,Protect
223,Protect,8.383,Unfezant,Protect
224,Protect,17.094,Perrserker,Protect
225,Protect,16.763,Galarian Slowbro,Protect
226,Protect,75.251,Frost Rotom,Protect
227,Protect,90.387,Roserade,Protect
228,Protect,12.745,Tangrowth,Protect
229,Protect,79.327,Sandaconda,Protect
230,Protect,13.081,Polteageist,Protect
231,Protect,79.869,Tangela,Protect
232,Protect,30.138,Morpeko Full Belly Mode,Protect
233,Protect,6.521,Miltank,Protect
234,Protect,35.299,Crawdaunt,Protect
235,Protect,53.783,Heracross,Protect
236,Protect,78.948,Magneton,Protect
237,Protect,24.591,Stoutland,Protect
238,Protect,9.047,Noivern,Protect
239,Protect,32.156,Jolteon,Protect
240,Protect,21.109,Cursola,Protect
241,Protect,42.911,Falinks,Protect
242,Protect,19.588,Dedenne,Protect
243,Protect,77.894,Flygon,Protect
244,Protect,25.085,Reuniclus,Protect
245,Protect,46.477,Drapion,Protect
246,Protect,33.522,Exploud,Protect
247,Protect,64.885,Wigglytuff,Protect
248,Protect,8.494,Galarian Corsola,Protect
249,Protect,55.520,Vanilluxe,Protect
250,Protect,89.139,Seaking,Protect
251,Protect,3.754,Sigilyph,Protect
252,Protect,25.005,Decidueye,Protect
253,Protect,66.570,Galvantula,Protect
254,Protect,98.319,Arctovish,Protect
255,Protect,25.923,Maractus,Protect
256,Protect,5.489,Orbeetle,Protect
257,Protect,28.765,Passimian,Protect
258,Protect,35.810,Lycanroc Midday Form,Protect
259,Protect,9.791,Beheeyem,Protect
260,Protect,33.582,Marowak,Protect
261,Protect,85.918,Tentacruel,Protect
262,Protect,92.448,Dragalge,Protect
263,Protect,65.353,Flareon,Protect
264,Protect,86.025,Bewear,Protect
265,Protect,52.899,Scyther,Protect
266,Protect,56.919,Alolan Sandslash,Protect
267,Protect,52.147,Poliwrath,Protect
268,Protect,54.432,Lycanroc Midnight Form,Protect
269,Protect,82.856,Golurk,Protect
270,Protect,11.821,Lickilicky,Protect
271,Protect,95.162,Fan Rotom,Protect
272,Protect,15.894,Hitmonlee,Protect
273,Protect,70.405,Scolipede,Protect
274,Protect,12.438,Dunsparce,Protect
275,Protect,33.533,Sandslash,Protect
276,Protect,93.523,Steelix,Protect
277,Protect,87.569,Noctowl,Protect
278,Protect,99.994,Corsola,Protect
279,Protect,99.479,Mime Jr.,Protect
280,Sacred Sword,84.154,Zacian Crowned Sword,Sacred Sword
281,Sacred Sword,79.657,Kartana,Sacred Sword
282,Sacred Sword,6.292,Aegislash Shield Forme,Sacred Sword
283,Sacred Sword,34.585,Terrakion,Sacred Sword
284,Sacred Sword,11.150,Cobalion,Sacred Sword
285,Sacred Sword,23.068,Virizion,Sacred Sword
286,Play Rough,64.487,Zacian Crowned Sword,Play Rough
287,Play Rough,41.470,Mimikyu,Play Rough
288,Play Rough,20.904,Azumarill,Play Rough
289,Play Rough,7.758,Klefki,Play Rough
290,Play Rough,51.433,Beartic,Play Rough
291,Play Rough,30.973,Copperajah,Play Rough
292,Play Rough,2.978,Slurpuff,Play Rough
293,Play Rough,6.996,Lopunny,Play Rough
294,Play Rough,8.374,Lycanroc Dusk Form,Play Rough
295,Play Rough,35.295,Perrserker,Play Rough
296,Play Rough,67.263,Miltank,Play Rough
297,Play Rough,26.219,Stoutland,Play Rough
298,Play Rough,39.747,Lycanroc Midday Form,Play Rough
299,Play Rough,56.621,Lycanroc Midnight Form,Play Rough
300,Substitute,30.274,Zacian Crowned Sword,Substitute
301,Substitute,41.087,Zygarde Complete Forme,Substitute
302,Substitute,50.252,Landorus Incarnate Forme,Substitute
303,Substitute,28.355,Dracovish,Substitute
304,Substitute,69.009,Galarian Weezing,Substitute
305,Substitute,28.799,Moltres,Substitute
306,Substitute,12.912,Pincurchin,Substitute
307,Substitute,10.040,Aegislash Shield Forme,Substitute
308,Substitute,9.630,Darmanitan Standard Mode,Substitute
309,Substitute,6.989,Heatran,Substitute
310,Substitute,84.634,Swoobat,Substitute
311,Substitute,6.055,Accelgor,Substitute
312,Substitute,78.517,Manectric,Substitute
313,Substitute,35.652,Magneton,Substitute
314,Substitute,9.566,Dedenne,Substitute
315,Substitute,14.445,Galarian Corsola,Substitute
316,Substitute,9.016,Hitmonlee,Substitute
317,Quick Attack,8.491,Zacian Crowned Sword,Quick Attack
318,Quick Attack,19.387,Leafeon,Quick Attack
319,Quick Attack,66.087,Sylveon,Quick Attack
320,Quick Attack,4.634,Flareon,Quick Attack
321,Quick Attack,9.841,Scyther,Quick Attack
322,Fake Out,99.796,Incineroar,Fake Out
323,Fake Out,15.003,Grimmsnarl,Fake Out
324,Fake Out,97.616,Rillaboom,Fake Out
325,Fake Out,60.240,Blastoise,Fake Out
326,Fake Out,98.544,Raichu,Fake Out
327,Fake Out,60.813,Sableye,Fake Out
328,Fake Out,93.331,Gothitelle,Fake Out
329,Fake Out,98.840,Mienshao,Fake Out
330,Fake Out,93.209,Liepard,Fake Out
331,Fake Out,97.093,Weavile,Fake Out
332,Fake Out,97.021,Hitmontop,Fake Out
333,Fake Out,32.010,Meowstic Male,Fake Out
334,Fake Out,94.099,Alolan Persian,Fake Out
335,Fake Out,82.690,Sneasel,Fake Out
336,Fake Out,61.956,Ludicolo,Fake Out
337,Fake Out,97.760,Pikachu,Fake Out
338,Fake Out,17.459,Togedemaru,Fake Out
339,Fake Out,99.887,Kangaskhan,Fake Out
340,Fake Out,73.333,Shiftry,Fake Out
341,Fake Out,90.086,Toxicroak,Fake Out
342,Fake Out,96.795,Scrafty,Fake Out
343,Fake Out,98.966,Mr. Rime,Fake Out
344,Fake Out,94.730,Mime Galarian Mr. Mime,Fake Out
345,Fake Out,43.195,Alolan Raichu,Fake Out
346,Fake Out,98.395,Torracat,Fake Out
347,Fake Out,76.824,Salazzle,Fake Out
348,Fake Out,92.115,Mr. Mime,Fake Out
349,Fake Out,68.360,Lopunny,Fake Out
350,Fake Out,79.867,Perrserker,Fake Out
351,Fake Out,90.552,Morpeko Full Belly Mode,Fake Out
352,Fake Out,46.212,Hitmonlee,Fake Out
353,Flare Blitz,98.840,Incineroar,Flare Blitz
354,Flare Blitz,57.003,Entei,Flare Blitz
355,Flare Blitz,10.669,Cinderace,Flare Blitz
356,Flare Blitz,4.520,Coalossal,Flare Blitz
357,Flare Blitz,18.755,Arcanine,Flare Blitz
358,Flare Blitz,99.507,Darmanitan Galarian Standard Mode,Flare Blitz
359,Flare Blitz,27.480,Talonflame,Flare Blitz
360,Flare Blitz,99.748,Alolan Marowak,Flare Blitz
361,Flare Blitz,94.147,Centiskorch,Flare Blitz
362,Flare Blitz,97.886,Darmanitan Standard Mode,Flare Blitz
363,Flare Blitz,25.729,Blaziken,Flare Blitz
364,Flare Blitz,98.294,Flareon,Flare Blitz
365,Parting Shot,96.074,Incineroar,Parting Shot
366,Parting Shot,9.867,Alolan Persian,Parting Shot
367,Parting Shot,20.607,Obstagoon,Parting Shot
368,Parting Shot,43.151,Silvally,Parting Shot
369,Parting Shot,99.999,Torracat,Parting Shot
370,Parting Shot,54.022,Thievul,Parting Shot
371,Parting Shot,94.834,Morpeko Full Belly Mode,Parting Shot
372,Darkest Lariat,40.006,Incineroar,Darkest Lariat
373,Darkest Lariat,15.461,Regigigas,Darkest Lariat
374,Darkest Lariat,41.896,Snorlax,Darkest Lariat
375,Darkest Lariat,25.322,Krookodile,Darkest Lariat
376,Darkest Lariat,95.840,Electivire,Darkest Lariat
377,Darkest Lariat,23.038,Dusknoir,Darkest Lariat
378,Darkest Lariat,91.567,Bewear,Darkest Lariat
379,Darkest Lariat,16.886,Poliwrath,Darkest Lariat
380,Throat Chop,21.099,Incineroar,Throat Chop
381,Throat Chop,55.040,Barraskewda,Throat Chop
382,Throat Chop,9.203,Pheromosa,Throat Chop
383,Throat Chop,13.146,Weavile,Throat Chop
384,Throat Chop,17.004,Galarian Zapdos,Throat Chop
385,Throat Chop,68.177,Shiftry,Throat Chop
386,Throat Chop,6.455,Obstagoon,Throat Chop
387,Throat Chop,26.954,Scrafty,Throat Chop
388,Throat Chop,8.382,Tauros,Throat Chop
389,Throat Chop,84.021,Luxray,Throat Chop
390,Throat Chop,8.365,Beartic,Throat Chop
391,Throat Chop,4.192,Gallade,Throat Chop
392,Throat Chop,75.328,Malamar,Throat Chop
393,Throat Chop,7.187,Perrserker,Throat Chop
394,Throat Chop,13.113,Heracross,Throat Chop
395,Throat Chop,29.027,Falinks,Throat Chop
396,Throat Chop,34.112,Hitmonlee,Throat Chop
397,Throat Chop,94.336,Corsola,Throat Chop
398,Taunt,20.389,Incineroar,Taunt
399,Taunt,17.885,Thundurus Incarnate Forme,Taunt
400,Taunt,27.545,Whimsicott,Taunt
401,Taunt,24.366,Tornadus Incarnate Forme,Taunt
402,Taunt,66.251,Dusclops,Taunt
403,Taunt,97.786,Weezing,Taunt
404,Taunt,30.703,Tapu Lele,Taunt
405,Taunt,43.916,Mimikyu,Taunt
406,Taunt,9.664,Gothitelle,Taunt
407,Taunt,17.898,Umbreon,Taunt
408,Taunt,47.284,Spectrier,Taunt
409,Taunt,41.363,Tsareena,Taunt
410,Taunt,9.719,Galarian Zapdos,Taunt
411,Taunt,6.348,Alolan Persian,Taunt
412,Taunt,10.039,Galarian Moltres,Taunt
413,Taunt,17.313,Talonflame,Taunt
414,Taunt,13.294,Sneasel,Taunt
415,Taunt,28.552,Galarian Weezing,Taunt
416,Taunt,21.789,Gyarados,Taunt
417,Taunt,51.843,Tapu Bulu,Taunt
418,Taunt,30.023,Froslass,Taunt
419,Taunt,3.904,Jellicent,Taunt
420,Taunt,62.001,Mandibuzz,Taunt
421,Taunt,44.258,Obstagoon,Taunt
422,Taunt,8.244,Scrafty,Taunt
423,Taunt,6.800,Aerodactyl,Taunt
424,Taunt,12.859,Heatran,Taunt
425,Taunt,23.932,Bisharp,Taunt
426,Taunt,10.710,Corviknight,Taunt
427,Taunt,3.658,Gengar,Taunt
428,Taunt,25.832,Crobat,Taunt
429,Taunt,20.838,Zoroark,Taunt
430,Taunt,4.292,Virizion,Taunt
431,Taunt,7.572,Alakazam,Taunt
432,Taunt,91.691,Torracat,Taunt
433,Taunt,15.534,Thievul,Taunt
