Id,Label,timeset,index,nationalpokedexnumber,species,variant,generation,rarity,type1,type2,total,hp,attack,defense,spatk,spdef,speed,image_url,vgc2022rules,monthlyusagemarch2022,usagepercentmarch2022,monthlyrankmarch2022,introductedin,type,power,acc,pp,damageclass,effect,probpercentage,increases,decreases,likesberrie,dislikesberrie,alternativeeffect,usageattributes,specificcategory,generalcategory,description,indegree,outdegree,degree,clustering
Bulbasaur,Bulbasaur,,0,1,Bulbasaur,,1,Common,Grass,Poison,318,45,49,49,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,88,88,0.014368
Ivysaur,Ivysaur,,1,2,Ivysaur,,1,Common,Grass,Poison,405,60,62,63,80,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,82,83,0.027476
Venusaur,Venusaur,,2,3,Venusaur,,1,Common,Grass,Poison,525,80,82,83,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Permitted,204,7,24,,,,,,,,,,,,,,,,,,47,139,186,0.080718
Mega Venusaur,Mega Venusaur,,3,3,Venusaur,Mega,6,Common,Grass,Poison,625,80,100,123,122,120,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Banned,,,,,,,,,,,,,,,,,,,,,1,69,70,0.018841
Venusaur Gigantamax,Venusaur Gigantamax,,4,3,Venusaur,Gigantamax,8,,Grass,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,3,4,0.416667
Charmander,Charmander,,5,4,Charmander,,1,Common,Fire,,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,104,104,0.010456
Charmeleon,Charmeleon,,6,5,Charmeleon,,1,Common,Fire,,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,97,98,0.021881
Mega Charizard Y,Mega Charizard Y,,7,6,Charizard,Mega  Y,6,Common,Fire,Flying,634,78,104,78,159,115,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Banned,,,,,,,,,,,,,,,,,,,,,1,170,171,0.007568
Charizard Gigantamax,Charizard Gigantamax,,8,6,Charizard,Gigantamax,8,,Fire,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,3,4,0.416667
Mega Charizard X,Mega Charizard X,,9,6,Charizard,Mega  X,6,Common,Fire,Dragon,634,78,130,111,130,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Banned,,,,,,,,,,,,,,,,,,,,,1,170,171,0.007327
Charizard,Charizard,,10,6,Charizard,,1,Common,Fire,Flying,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Permitted,344,19,12,,,,,,,,,,,,,,,,,,40,175,215,0.060201
Squirtle,Squirtle,,11,7,Squirtle,,1,Common,Water,,314,44,48,65,50,64,43,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,103,103,0.010375
Wartortle,Wartortle,,12,8,Wartortle,,1,Common,Water,,405,59,63,80,65,80,58,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,89,90,0.024095
Blastoise Gigantamax,Blastoise Gigantamax,,13,9,Blastoise,Gigantamax,8,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,Gigantamax Allowed,,,,,,,,,,,,,,,,,,,,,1,2,3,0.333333
Blastoise,Blastoise,,14,9,Blastoise,,1,Common,Water,,530,79,83,100,85,105,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Permitted,98,7,23,,,,,,,,,,,,,,,,,,23,159,182,0.045531
Mega Blastoise,Mega Blastoise,,15,9,Blastoise,Mega,6,Common,Water,,630,79,103,120,135,115,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Banned,,,,,,,,,,,,,,,,,,,,,1,75,76,0.015789
Caterpie,Caterpie,,16,10,Caterpie,,1,Common,Bug,,195,45,30,35,20,20,45,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,9,9,0.083333
Metapod,Metapod,,17,11,Metapod,,1,Common,Bug,,205,50,20,55,25,25,30,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,8,9,0.166667
