index;Name;Generation;Description;id;Label
0;Adaptability;4;Powers up moves of the same type.;Adaptability;Ability
1;Aerilate;6;Turns Normal-type moves into Flying-type moves.;Aerilate;Ability
2;Aftermath;4;Damages the attacker landing the finishing hit.;Aftermath;Ability
3;Air Lock;3;Eliminates the effects of weather.;Air Lock;Ability
4;Analytic;5;Boosts move power when the Pokémon moves last.;Analytic;Ability
5;Anger Point;4;Maxes Attack after taking a critical hit.;Anger Point;Ability
6;Anticipation;4;Senses a foe's dangerous moves.;Anticipation;Ability
7;Arena Trap;3;Prevents the foe from fleeing.;Arena Trap;Ability
8;Aroma Veil;6;Protects allies from attacks that limit their move choices.;Aroma Veil;Ability
9;As One Glastrier;8;Combines Unnerve and Chilling Neigh.;As One Glastrier;Ability
10;As One Spectrier;8;Combines Unnerve and Grim Neigh.;As One Spectrier;Ability
11;Aura Break;6;Reduces power of Dark- and Fairy-type moves.;Aura Break;Ability
12;Bad Dreams;4;Reduces a sleeping foe's HP.;Bad Dreams;Ability
13;Ball Fetch;8;Retrieves a Poké Ball from a failed throw.;Ball Fetch;Ability
14;Battery;7;Raises power of teammates' Special moves.;Battery;Ability
15;Battle Armor;3;The Pokémon is protected against critical hits.;Battle Armor;Ability
16;Battle Bond;7;Transform into Ash-Greninja after causing opponent to faint.;Battle Bond;Ability
17;Beast Boost;7;The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.;Beast Boost;Ability
18;Berserk;7;Raises Special Attack when HP drops below half.;Berserk;Ability
19;Big Pecks;5;Protects the Pokémon from Defense-lowering attacks.;Big Pecks;Ability
20;Blaze;3;Powers up Fire-type moves in a pinch.;Blaze;Ability
21;Bulletproof;6;Protects the Pokémon from ball and bomb moves.;Bulletproof;Ability
22;Cheek Pouch;6;Restores additional HP when a Berry is consumed.;Cheek Pouch;Ability
23;Chilling Neigh;8;Boosts Attack after knocking out a Pokémon.;Chilling Neigh;Ability
24;Chlorophyll;3;Boosts the Pokémon's Speed in sunshine.;Chlorophyll;Ability
25;Clear Body;3;Prevents other Pokémon from lowering its stats.;Clear Body;Ability
26;Cloud Nine;3;Eliminates the effects of weather.;Cloud Nine;Ability
27;Color Change;3;Changes the Pokémon's type to the foe's move.;Color Change;Ability
28;Comatose;7;The Pokémon is always asleep but can still attack.;Comatose;Ability
29;Competitive;6;Sharply raises Special Attack when the Pokémon's stats are lowered.;Competitive;Ability
30;Compound Eyes;3;The Pokémon's accuracy is boosted.;Compound Eyes;Ability
31;Contrary;5;Makes stat changes have an opposite effect.;Contrary;Ability
32;Corrosion;7;The Pokémon can poison Steel and Poison types.;Corrosion;Ability
33;Cotton Down;8;Lowers foe's Speed when hit.;Cotton Down;Ability
34;Curious Medicine;8;Resets all stat changes upon entering battlefield.;Curious Medicine;Ability
35;Cursed Body;5;May disable a move used on the Pokémon.;Cursed Body;Ability
36;Cute Charm;3;Contact with the Pokémon may cause infatuation.;Cute Charm;Ability
37;Damp;3;Prevents the use of self-destructing moves.;Damp;Ability
38;Dancer;7;Copies the foe's Dance moves.;Dancer;Ability
39;Dark Aura;6;Raises power of Dark type moves for all Pokémon in battle.;Dark Aura;Ability
40;Dauntless Shield;8;Boosts Defense in battle.;Dauntless Shield;Ability
41;Dazzling;7;Protects the Pokémon from high-priority moves.;Dazzling;Ability
42;Defeatist;5;Lowers stats when HP drops below half.;Defeatist;Ability
43;Defiant;5;Sharply raises Attack when the Pokémon's stats are lowered.;Defiant;Ability
44;Delta Stream;6;Creates strong winds when the ability activates.;Delta Stream;Ability
45;Desolate Land;6;Turns the sunlight extremely harsh when the ability activates.;Desolate Land;Ability
46;Disguise;7;Avoids damage for one turn.;Disguise;Ability
47;Download;4;Adjusts power according to a foe's defenses.;Download;Ability
48;Dragons Maw;8;Signature ability of Regidrago. Powers up Dragon-type moves.;Dragons Maw;Ability
49;Drizzle;3;The Pokémon makes it rain when it enters a battle.;Drizzle;Ability
50;Drought;3;Turns the sunlight harsh when the Pokémon enters a battle.;Drought;Ability
51;Dry Skin;4;Reduces HP if it is hot. Water restores HP.;Dry Skin;Ability
52;Early Bird;3;The Pokémon awakens quickly from sleep.;Early Bird;Ability
53;Effect Spore;3;Contact may poison or cause paralysis or sleep.;Effect Spore;Ability
54;Electric Surge;7;The Pokémon creates an Electric Terrain when it enters a battle.;Electric Surge;Ability
55;Emergency Exit;7;Switches out when HP falls below 50%.;Emergency Exit;Ability
56;Fairy Aura;6;Raises power of Fairy type moves for all Pokémon in battle.;Fairy Aura;Ability
57;Filter;4;Reduces damage from super-effective attacks.;Filter;Ability
58;Flame Body;3;Contact with the Pokémon may burn the attacker.;Flame Body;Ability
59;Flare Boost;5;Powers up special attacks when burned.;Flare Boost;Ability
60;Flash Fire;3;It powers up Fire-type moves if it's hit by one.;Flash Fire;Ability
61;Flower Gift;4;Powers up party Pokémon when it is sunny.;Flower Gift;Ability
62;Flower Veil;6;Prevents lowering of ally Grass-type Pokémon's stats.;Flower Veil;Ability
63;Fluffy;7;Halves damage from contact moves, but doubles damage from Fire-type moves.;Fluffy;Ability
64;Forecast;3;Castform transforms with the weather.;Forecast;Ability
65;Forewarn;4;Determines what moves a foe has.;Forewarn;Ability
66;Friend Guard;5;Reduces damage done to allies.;Friend Guard;Ability
67;Frisk;4;The Pokémon can check a foe's held item.;Frisk;Ability
68;Full Metal Body;7;Prevents other Pokémon from lowering its stats.;Full Metal Body;Ability
69;Fur Coat;6;Reduces damage from physical moves.;Fur Coat;Ability
70;Gale Wings;6;Gives priority to Flying-type moves.;Gale Wings;Ability
71;Galvanize;7;Normal-type moves become Electric-type moves and their power boosted.;Galvanize;Ability
72;Gluttony;4;Encourages the early use of a held Berry.;Gluttony;Ability
73;Gooey;6;Contact with the Pokémon lowers the attacker's Speed stat.;Gooey;Ability
74;Gorilla Tactics;8;Boosts the Pokémon's Attack stat but only allows the use of the first selected move.;Gorilla Tactics;Ability
75;Grass Pelt;6;Boosts the Defense stat in Grassy Terrain.;Grass Pelt;Ability
76;Grassy Surge;7;The Pokémon creates a Grassy Terrain when it enters a battle.;Grassy Surge;Ability
77;Grim Neigh;8;Boosts Special Attack after knocking out a Pokémon.;Grim Neigh;Ability
78;Gulp Missile;8;Returns with a catch in its mouth after using Surf or Dive.;Gulp Missile;Ability
79;Guts;3;Boosts Attack if there is a status problem.;Guts;Ability
80;Harvest;5;May create another Berry after one is used.;Harvest;Ability
81;Healer;5;May heal an ally's status conditions.;Healer;Ability
82;Heatproof;4;Weakens the power of Fire-type moves.;Heatproof;Ability
83;Heavy Metal;5;Doubles the Pokémon's weight.;Heavy Metal;Ability
84;Honey Gather;4;The Pokémon may gather Honey from somewhere.;Honey Gather;Ability
85;Huge Power;3;Raises the Pokémon's Attack stat.;Huge Power;Ability
86;Hunger Switch;8;Changes forms each turn.;Hunger Switch;Ability
87;Hustle;3;Boosts the Attack stat, but lowers accuracy.;Hustle;Ability
