index;Name;AlternativeEffect;Effect;UsageAttributes;SpecificCategory;GeneralCategory;image_url;id;Label
0;Ability Capsule;Switches a Pokémon between its two possible (non-Hidden) Abilities.;A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.;;Vitamins;Hold items;https://img.pokemondb.net/sprites/items/ability-capsule.png;Ability Capsule;Item
1;Ability Patch;;Changes a Pokémon's ability to its Hidden Ability.;;Vitamins;General items;https://img.pokemondb.net/s.png;Ability Patch;Item
2;Ability Urge;Forcibly activates a friendly Pokémon's ability.;When used, it activates the Ability of an ally Pokémon.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/ability-urge.png;Ability Urge;Item
3;Abomasite;Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.;Enables Abomasnow to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/abomasite.png;Abomasite;Item
4;Absolite;Held: Allows Absol to Mega Evolve into Mega Absol.;Enables Absol to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/absolite.png;Absolite;Item
5;Absorb Bulb;Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.;A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/absorb-bulb.png;Absorb Bulb;Item
6;Adamant Mint;;Changes the Pokémon's stats to match the Adamant nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Adamant Mint;Item
7;Adamant Orb;Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.;Increases the power of Dragon- and Steel-type moves when held by Dialga.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/adamant-orb.png;Adamant Orb;Item
8;Adrenaline Orb;Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.;Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/adrenaline-orb.png;Adrenaline Orb;Item
9;Aerodactylite;Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.;Enables Aerodactyl to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/aerodactylite.png;Aerodactylite;Item
10;Aggronite;Held: Allows Aggron to Mega Evolve into Mega Aggron.;Enables Aggron to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/aggronite.png;Aggronite;Item
11;Aguav Berry;Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.;Restores HP if it's low, but may cause confusion.;holdable-active;Picky Healing;Berries;https://img.pokemondb.net/sprites/items/aguav-berry.png;Aguav Berry;Item
12;Air Balloon;Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.;When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/air-balloon.png;Air Balloon;Item
13;Alakazite;Held: Allows Alakazam to Mega Evolve into Mega Alakazam.;Enables Alakazam to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/alakazite.png;Alakazite;Item
14;Altarianite;Held: Allows Altaria to Mega Evolve into Mega Altaria.;Enables Altaria to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/altarianite.png;Altarianite;Item
15;Ampharosite;Held: Allows Ampharos to Mega Evolve into Mega Ampharos.;Enables Ampharos to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/ampharosite.png;Ampharosite;Item
16;Amulet Coin;Held: Doubles the money earned from a battle. Does not stack with Luck Incense.;Doubles prize money if held.;"holdable; holdable-active";Training;Hold items;https://img.pokemondb.net/sprites/items/amulet-coin.png;Amulet Coin;Item
17;Antidote;Cures poison.;A spray-type medicine. It lifts the effect of poison from one Pokémon.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/antidote.png;Antidote;Item
18;Apicot Berry;Held: Consumed at 1/4 max HP to boost Special Defense.;Raises Special Defense when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/apicot-berry.png;Apicot Berry;Item
19;Armor Fossil;Can be revived into a Shieldon.;A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.;underground;Dex Completion;General items;https://img.pokemondb.net/sprites/items/armor-fossil.png;Armor Fossil;Item
