index;Name;IntroductedIn;Type;Power;Acc;PP;DamageClass;Effect;ProbPercentage;id;Label
0;Absorb;1;Grass;20.0;100;25.0;Special;User recovers half the HP inflicted on opponent.;;Absorb;Move
1;Accelerock;7;Rock;40.0;100;20.0;Physical;User attacks first.;;Accelerock;Move
2;Acid;1;Poison;40.0;100;30.0;Special;May lower opponent's Special Defense.;10.0;Acid;Move
3;Acid Armor;1;Poison;;;20.0;Status;Sharply raises user's Defense.;;Acid Armor;Move
4;Acid Spray;5;Poison;40.0;100;20.0;Special;Sharply lowers opponent's Special Defense.;100.0;Acid Spray;Move
5;Acrobatics;5;Flying;55.0;100;15.0;Physical;Stronger when the user does not have a held item.;;Acrobatics;Move
6;Acupressure;4;Normal;;;30.0;Status;Sharply raises a random stat.;;Acupressure;Move
7;Aerial Ace;3;Flying;60.0;∞;20.0;Physical;Ignores Accuracy and Evasiveness.;;Aerial Ace;Move
8;Aeroblast;2;Flying;100.0;95;5.0;Special;High critical hit ratio.;;Aeroblast;Move
9;After You;5;Normal;;;15.0;Status;Gives target priority in the next turn.;;After You;Move
10;Agility;1;Psychic;;;30.0;Status;Sharply raises user's Speed.;;Agility;Move
11;Air Cutter;3;Flying;60.0;95;25.0;Special;High critical hit ratio.;;Air Cutter;Move
12;Air Slash;4;Flying;75.0;95;15.0;Special;May cause flinching.;30.0;Air Slash;Move
13;Ally Switch;5;Psychic;;;15.0;Status;User switches with opposite teammate.;;Ally Switch;Move
14;Amnesia;1;Psychic;;;20.0;Status;Sharply raises user's Special Defense.;;Amnesia;Move
15;Anchor Shot;7;Steel;80.0;100;20.0;Physical;The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.;;Anchor Shot;Move
16;Ancient Power;2;Rock;60.0;100;5.0;Special;May raise all user's stats at once.;10.0;Ancient Power;Move
17;Apple Acid;8;Grass;80.0;100;10.0;Special;Lowers target's Special Defense.;100.0;Apple Acid;Move
18;Aqua Jet;4;Water;40.0;100;20.0;Physical;User attacks first.;;Aqua Jet;Move
19;Aqua Ring;4;Water;;;20.0;Status;Restores a little HP each turn.;;Aqua Ring;Move
20;Aqua Tail;4;Water;90.0;90;10.0;Physical;;;Aqua Tail;Move
21;Arm Thrust;3;Fighting;15.0;100;20.0;Physical;Hits 2-5 times in one turn.;;Arm Thrust;Move
22;Aromatherapy;3;Grass;;;5.0;Status;Cures all status problems in your party.;;Aromatherapy;Move
23;Aromatic Mist;6;Fairy;;;20.0;Status;Raises Special Defense of an ally.;;Aromatic Mist;Move
24;Assist;3;Normal;;;20.0;Status;User performs a move known by its allies at random.;;Assist;Move
25;Assurance;4;Dark;60.0;100;10.0;Physical;Power doubles if opponent already took damage in the same turn.;;Assurance;Move
26;Astonish;3;Ghost;30.0;100;15.0;Physical;May cause flinching.;30.0;Astonish;Move
27;Astral Barrage;8;Ghost;120.0;100;5.0;Special;The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.;;Astral Barrage;Move
28;Attack Order;4;Bug;90.0;100;15.0;Physical;High critical hit ratio.;;Attack Order;Move
29;Attract;2;Normal;;100;15.0;Status;If opponent is the opposite gender, it's less likely to attack.;;Attract;Move
30;Aura Sphere;4;Fighting;80.0;∞;20.0;Special;Ignores Accuracy and Evasiveness.;;Aura Sphere;Move
31;Aura Wheel;8;Electric;110.0;100;10.0;Physical;Changes type based on Morpeko's Mode.;100.0;Aura Wheel;Move
