index;Name;Increases;Decreases;LikesBerrie;DislikesBerrie;id;Label
0;Adamant;Attack;Sp. Atk;Spicy;Dry;Adamant;Nature
1;Bashful;Sp. Atk;Sp. Atk;Dry;Dry;Bashful;Nature
2;Bold;Defense;Attack;Sour;Spicy;Bold;Nature
3;Brave;Attack;Speed;Spicy;Sweet;Brave;Nature
4;Calm;Sp. Def;Attack;Bitter;Spicy;Calm;Nature
5;Careful;Sp. Def;Sp. Atk;Bitter;Dry;Careful;Nature
6;Docile;Defense;Defense;Sour;Sour;Docile;Nature
7;Gentle;Sp. Def;Defense;Bitter;Sour;Gentle;Nature
8;Hardy;Attack;Attack;Spicy;Spicy;Hardy;Nature
9;Hasty;Speed;Defense;Sweet;Sour;Hasty;Nature
10;Impish;Defense;Sp. Atk;Sour;Dry;Impish;Nature
11;Jolly;Speed;Sp. Atk;Sweet;Dry;Jolly;Nature
12;Lax;Defense;Sp. Def;Sour;Bitter;Lax;Nature
13;Lonely;Attack;Defense;Spicy;Sour;Lonely;Nature
14;Mild;Sp. Atk;Defense;Dry;Sour;Mild;Nature
15;Modest;Sp. Atk;Attack;Dry;Spicy;Modest;Nature
16;Naive;Speed;Sp. Def;Sweet;Bitter;Naive;Nature
17;Naughty;Attack;Sp. Def;Spicy;Bitter;Naughty;Nature
18;Quiet;Sp. Atk;Speed;Dry;Sweet;Quiet;Nature
19;Quirky;Sp. Def;Sp. Def;Bitter;Bitter;Quirky;Nature
20;Rash;Sp. Atk;Sp. Def;Dry;Bitter;Rash;Nature
21;Relaxed;Defense;Speed;Sour;Sweet;Relaxed;Nature
22;Sassy;Sp. Def;Speed;Bitter;Sweet;Sassy;Nature
23;Serious;Speed;Speed;Sweet;Sweet;Serious;Nature
24;Timid;Speed;Attack;Sweet;Spicy;Timid;Nature
