Name,Generation,Description
Adaptability,4,Powers up moves of the same type.
Aerilate,6,Turns Normal-type moves into Flying-type moves.
Aftermath,4,Damages the attacker landing the finishing hit.
Air Lock,3,Eliminates the effects of weather.
Analytic,5,Boosts move power when the Pokémon moves last.
Anger Point,4,Maxes Attack after taking a critical hit.
Anticipation,4,Senses a foe's dangerous moves.
Arena Trap,3,Prevents the foe from fleeing.
Aroma Veil,6,Protects allies from attacks that limit their move choices.
As One Glastrier,8,Combines Unnerve and Chilling Neigh.
As One Spectrier,8,Combines Unnerve and Grim Neigh.
Aura Break,6,Reduces power of Dark- and Fairy-type moves.
Bad Dreams,4,Reduces a sleeping foe's HP.
Ball Fetch,8,Retrieves a Poké Ball from a failed throw.
Battery,7,Raises power of teammates' Special moves.
Battle Armor,3,The Pokémon is protected against critical hits.
Battle Bond,7,Transform into Ash-Greninja after causing opponent to faint.
Beast Boost,7,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
Berserk,7,Raises Special Attack when HP drops below half.
Big Pecks,5,Protects the Pokémon from Defense-lowering attacks.
Blaze,3,Powers up Fire-type moves in a pinch.
Bulletproof,6,Protects the Pokémon from ball and bomb moves.
Cheek Pouch,6,Restores additional HP when a Berry is consumed.
Chilling Neigh,8,Boosts Attack after knocking out a Pokémon.
Chlorophyll,3,Boosts the Pokémon's Speed in sunshine.
Clear Body,3,Prevents other Pokémon from lowering its stats.
Cloud Nine,3,Eliminates the effects of weather.
Color Change,3,Changes the Pokémon's type to the foe's move.
Comatose,7,The Pokémon is always asleep but can still attack.
Competitive,6,Sharply raises Special Attack when the Pokémon's stats are lowered.
Compound Eyes,3,The Pokémon's accuracy is boosted.
Contrary,5,Makes stat changes have an opposite effect.
Corrosion,7,The Pokémon can poison Steel and Poison types.
Cotton Down,8,Lowers foe's Speed when hit.
Curious Medicine,8,Resets all stat changes upon entering battlefield.
Cursed Body,5,May disable a move used on the Pokémon.
Cute Charm,3,Contact with the Pokémon may cause infatuation.
Damp,3,Prevents the use of self-destructing moves.
Dancer,7,Copies the foe's Dance moves.
Dark Aura,6,Raises power of Dark type moves for all Pokémon in battle.
Dauntless Shield,8,Boosts Defense in battle.
Dazzling,7,Protects the Pokémon from high-priority moves.
Defeatist,5,Lowers stats when HP drops below half.
Defiant,5,Sharply raises Attack when the Pokémon's stats are lowered.
Delta Stream,6,Creates strong winds when the ability activates.
Desolate Land,6,Turns the sunlight extremely harsh when the ability activates.
Disguise,7,Avoids damage for one turn.
Download,4,Adjusts power according to a foe's defenses.
Dragons Maw,8,Signature ability of Regidrago. Powers up Dragon-type moves.
Drizzle,3,The Pokémon makes it rain when it enters a battle.
Drought,3,Turns the sunlight harsh when the Pokémon enters a battle.
Dry Skin,4,Reduces HP if it is hot. Water restores HP.
Early Bird,3,The Pokémon awakens quickly from sleep.
Effect Spore,3,Contact may poison or cause paralysis or sleep.
Electric Surge,7,The Pokémon creates an Electric Terrain when it enters a battle.
Emergency Exit,7,Switches out when HP falls below 50%.
Fairy Aura,6,Raises power of Fairy type moves for all Pokémon in battle.
Filter,4,Reduces damage from super-effective attacks.
Flame Body,3,Contact with the Pokémon may burn the attacker.
Flare Boost,5,Powers up special attacks when burned.
Flash Fire,3,It powers up Fire-type moves if it's hit by one.
Flower Gift,4,Powers up party Pokémon when it is sunny.
Flower Veil,6,Prevents lowering of ally Grass-type Pokémon's stats.
Fluffy,7,"Halves damage from contact moves, but doubles damage from Fire-type moves."
Forecast,3,Castform transforms with the weather.
Forewarn,4,Determines what moves a foe has.
Friend Guard,5,Reduces damage done to allies.
Frisk,4,The Pokémon can check a foe's held item.
Full Metal Body,7,Prevents other Pokémon from lowering its stats.
Fur Coat,6,Reduces damage from physical moves.
Gale Wings,6,Gives priority to Flying-type moves.
Galvanize,7,Normal-type moves become Electric-type moves and their power boosted.
Gluttony,4,Encourages the early use of a held Berry.
Gooey,6,Contact with the Pokémon lowers the attacker's Speed stat.
Gorilla Tactics,8,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
Grass Pelt,6,Boosts the Defense stat in Grassy Terrain.
Grassy Surge,7,The Pokémon creates a Grassy Terrain when it enters a battle.
Grim Neigh,8,Boosts Special Attack after knocking out a Pokémon.
Gulp Missile,8,Returns with a catch in its mouth after using Surf or Dive.
Guts,3,Boosts Attack if there is a status problem.
Harvest,5,May create another Berry after one is used.
Healer,5,May heal an ally's status conditions.
Heatproof,4,Weakens the power of Fire-type moves.
Heavy Metal,5,Doubles the Pokémon's weight.
Honey Gather,4,The Pokémon may gather Honey from somewhere.
Huge Power,3,Raises the Pokémon's Attack stat.
Hunger Switch,8,Changes forms each turn.
Hustle,3,"Boosts the Attack stat, but lowers accuracy."
Hydration,4,Heals status problems if it is raining.
Hyper Cutter,3,Prevents other Pokémon from lowering Attack stat.
Ice Body,4,The Pokémon gradually regains HP in a hailstorm.
Ice Face,8,Avoids damage from Physical moves for one turn.
Ice Scales,8,Halves damage from Special moves.
Illuminate,3,Raises the likelihood of meeting wild Pokémon.
Illusion,5,Enters battle disguised as the last Pokémon in the party.
Immunity,3,Prevents the Pokémon from getting poisoned.
Imposter,5,It transforms itself into the Pokémon it is facing.
Infiltrator,5,Passes through the foe's barrier and strikes.
Innards Out,7,Deals damage upon fainting.
Inner Focus,3,The Pokémon is protected from flinching.
Insomnia,3,Prevents the Pokémon from falling asleep.
Intimidate,3,Lowers the foe's Attack stat.
Intrepid Sword,8,Boosts Attack in battle.
Iron Barbs,5,Inflicts damage to the Pokémon on contact.
Iron Fist,4,Boosts the power of punching moves.
Justified,5,Raises Attack when hit by a Dark-type move.
Keen Eye,3,Prevents other Pokémon from lowering accuracy.
Klutz,4,The Pokémon can't use any held items.
Leaf Guard,4,Prevents problems with status in sunny weather.
Levitate,3,Gives immunity to Ground type moves.
Libero,8,Changes the Pokémon's type to its last used move.
Light Metal,5,Halves the Pokémon's weight.
Lightning Rod,3,Draws in all Electric-type moves to up Sp. Attack.
Limber,3,The Pokémon is protected from paralysis.
Liquid Ooze,3,Damages attackers using any draining move.
Liquid Voice,7,All sound-based moves become Water-type moves.
Long Reach,7,The Pokémon uses its moves without making contact with the target.
Magic Bounce,5,Reflects status- changing moves.
Magic Guard,4,Protects the Pokémon from indirect damage.
Magician,6,The Pokémon steals the held item of a Pokémon it hits with a move.
Magma Armor,3,Prevents the Pokémon from becoming frozen.
Magnet Pull,3,Prevents Steel-type Pokémon from escaping.
Marvel Scale,3,Ups Defense if there is a status problem.
Mega Launcher,6,Boosts the power of aura and pulse moves.
Merciless,7,The Pokémon's attacks become critical hits if the target is poisoned.
Mimicry,8,Changes type depending on the terrain.
Minus,3,Ups Sp. Atk if another Pokémon has Plus or Minus.
Mirror Armor,8,Reflects any stat-lowering effects.
Misty Surge,7,The Pokémon creates a Misty Terrain when it enters a battle.
Mold Breaker,4,Moves can be used regardless of Abilities.
Moody,5,Raises one stat and lowers another.
Motor Drive,4,Raises Speed if hit by an Electric-type move.
Moxie,5,Boosts Attack after knocking out any Pokémon.
Multiscale,5,Reduces damage when HP is full.
Multitype,4,Changes type to match the held Plate.
Mummy,5,Contact with this Pokémon spreads this Ability.
Natural Cure,3,All status problems heal when it switches out.
Neuroforce,7,Powers up moves that are super effective.
Neutralizing Gas,8,Neutralizes abilities of all Pokémon in battle.
No Guard,4,Ensures attacks by or against the Pokémon land.
Normalize,4,All the Pokémon's moves become the Normal type.
Oblivious,3,Prevents it from becoming infatuated.
Overcoat,5,Protects the Pokémon from weather damage.
Overgrow,3,Powers up Grass-type moves in a pinch.
Own Tempo,3,Prevents the Pokémon from becoming confused.
Parental Bond,6,Allows the Pokémon to attack twice.
Pastel Veil,8,Prevents the Pokémon and its allies from being poisoned.
Perish Body,8,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
Pickpocket,5,Steals an item when hit by another Pokémon.
Pickup,3,The Pokémon may pick up items.
Pixilate,6,Turns Normal-type moves into Fairy-type moves.
