Name,Type
Absorb,Grass
Accelerock,Rock
Acid,Poison
Acid Armor,Poison
Acid Spray,Poison
Acrobatics,Flying
Acupressure,Normal
Aerial Ace,Flying
Aeroblast,Flying
After You,Normal
Agility,Psychic
Air Cutter,Flying
Air Slash,Flying
Ally Switch,Psychic
Amnesia,Psychic
Anchor Shot,Steel
Ancient Power,Rock
Apple Acid,Grass
Aqua Jet,Water
Aqua Ring,Water
Aqua Tail,Water
Arm Thrust,Fighting
Aromatherapy,Grass
Aromatic Mist,Fairy
Assist,Normal
Assurance,Dark
Astonish,Ghost
Astral Barrage,Ghost
Attack Order,Bug
Attract,Normal
Aura Sphere,Fighting
Aura Wheel,Electric
Aurora Beam,Ice
Aurora Veil,Ice
Autotomize,Steel
Avalanche,Ice
Baby Doll Eyes,Fairy
Baddy Bad,Dark
Baneful Bunker,Poison
Barrage,Normal
Barrier,Psychic
Baton Pass,Normal
Beak Blast,Flying
Beat Up,Dark
Behemoth Bash,Steel
Behemoth Blade,Steel
Belch,Poison
Belly Drum,Normal
Bestow,Normal
Bide,Normal
Bind,Normal
Bite,Dark
Blast Burn,Fire
Blaze Kick,Fire
Blizzard,Ice
Block,Normal
Blue Flare,Fire
Body Press,Fighting
Body Slam,Normal
Bolt Beak,Electric
Bolt Strike,Electric
Bone Club,Ground
Bone Rush,Ground
Bonemerang,Ground
Boomburst,Normal
Bounce,Flying
Bouncy Bubble,Water
Branch Poke,Grass
Brave Bird,Flying
Breaking Swipe,Dragon
Brick Break,Fighting
Brine,Water
Brutal Swing,Dark
Bubble,Water
Bubble Beam,Water
Bug Bite,Bug
Bug Buzz,Bug
Bulk Up,Fighting
Bulldoze,Ground
Bullet Punch,Steel
Bullet Seed,Grass
Burn Up,Fire
Burning Jealousy,Fire
Buzzy Buzz,Electric
Calm Mind,Psychic
Camouflage,Normal
Captivate,Normal
Catastropika,Electric
Celebrate,Normal
Charge,Electric
Charge Beam,Electric
Charm,Fairy
Chatter,Flying
Chip Away,Normal
Circle Throw,Fighting
Clamp,Water
Clanging Scales,Dragon
