,Name,Generation,Description
0,Adaptability,4,Powers up moves of the same type.
1,Aerilate,6,Turns Normal-type moves into Flying-type moves.
2,Aftermath,4,Damages the attacker landing the finishing hit.
3,Air Lock,3,Eliminates the effects of weather.
4,Analytic,5,Boosts move power when the Pokémon moves last.
5,Anger Point,4,Maxes Attack after taking a critical hit.
6,Anticipation,4,Senses a foe's dangerous moves.
7,Arena Trap,3,Prevents the foe from fleeing.
8,Aroma Veil,6,Protects allies from attacks that limit their move choices.
9,As One Glastrier,8,Combines Unnerve and Chilling Neigh.
10,As One Spectrier,8,Combines Unnerve and Grim Neigh.
11,Aura Break,6,Reduces power of Dark- and Fairy-type moves.
12,Bad Dreams,4,Reduces a sleeping foe's HP.
13,Ball Fetch,8,Retrieves a Poké Ball from a failed throw.
14,Battery,7,Raises power of teammates' Special moves.
15,Battle Armor,3,The Pokémon is protected against critical hits.
16,Battle Bond,7,Transform into Ash-Greninja after causing opponent to faint.
17,Beast Boost,7,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
18,Berserk,7,Raises Special Attack when HP drops below half.
19,Big Pecks,5,Protects the Pokémon from Defense-lowering attacks.
20,Blaze,3,Powers up Fire-type moves in a pinch.
21,Bulletproof,6,Protects the Pokémon from ball and bomb moves.
22,Cheek Pouch,6,Restores additional HP when a Berry is consumed.
23,Chilling Neigh,8,Boosts Attack after knocking out a Pokémon.
24,Chlorophyll,3,Boosts the Pokémon's Speed in sunshine.
25,Clear Body,3,Prevents other Pokémon from lowering its stats.
26,Cloud Nine,3,Eliminates the effects of weather.
27,Color Change,3,Changes the Pokémon's type to the foe's move.
28,Comatose,7,The Pokémon is always asleep but can still attack.
29,Competitive,6,Sharply raises Special Attack when the Pokémon's stats are lowered.
30,Compound Eyes,3,The Pokémon's accuracy is boosted.
31,Contrary,5,Makes stat changes have an opposite effect.
32,Corrosion,7,The Pokémon can poison Steel and Poison types.
33,Cotton Down,8,Lowers foe's Speed when hit.
34,Curious Medicine,8,Resets all stat changes upon entering battlefield.
35,Cursed Body,5,May disable a move used on the Pokémon.
36,Cute Charm,3,Contact with the Pokémon may cause infatuation.
37,Damp,3,Prevents the use of self-destructing moves.
38,Dancer,7,Copies the foe's Dance moves.
39,Dark Aura,6,Raises power of Dark type moves for all Pokémon in battle.
40,Dauntless Shield,8,Boosts Defense in battle.
41,Dazzling,7,Protects the Pokémon from high-priority moves.
42,Defeatist,5,Lowers stats when HP drops below half.
43,Defiant,5,Sharply raises Attack when the Pokémon's stats are lowered.
44,Delta Stream,6,Creates strong winds when the ability activates.
45,Desolate Land,6,Turns the sunlight extremely harsh when the ability activates.
46,Disguise,7,Avoids damage for one turn.
47,Download,4,Adjusts power according to a foe's defenses.
48,Dragons Maw,8,Signature ability of Regidrago. Powers up Dragon-type moves.
49,Drizzle,3,The Pokémon makes it rain when it enters a battle.
50,Drought,3,Turns the sunlight harsh when the Pokémon enters a battle.
51,Dry Skin,4,Reduces HP if it is hot. Water restores HP.
52,Early Bird,3,The Pokémon awakens quickly from sleep.
53,Effect Spore,3,Contact may poison or cause paralysis or sleep.
54,Electric Surge,7,The Pokémon creates an Electric Terrain when it enters a battle.
55,Emergency Exit,7,Switches out when HP falls below 50%.
56,Fairy Aura,6,Raises power of Fairy type moves for all Pokémon in battle.
57,Filter,4,Reduces damage from super-effective attacks.
58,Flame Body,3,Contact with the Pokémon may burn the attacker.
59,Flare Boost,5,Powers up special attacks when burned.
60,Flash Fire,3,It powers up Fire-type moves if it's hit by one.
61,Flower Gift,4,Powers up party Pokémon when it is sunny.
62,Flower Veil,6,Prevents lowering of ally Grass-type Pokémon's stats.
63,Fluffy,7,"Halves damage from contact moves, but doubles damage from Fire-type moves."
64,Forecast,3,Castform transforms with the weather.
65,Forewarn,4,Determines what moves a foe has.
66,Friend Guard,5,Reduces damage done to allies.
67,Frisk,4,The Pokémon can check a foe's held item.
68,Full Metal Body,7,Prevents other Pokémon from lowering its stats.
69,Fur Coat,6,Reduces damage from physical moves.
70,Gale Wings,6,Gives priority to Flying-type moves.
71,Galvanize,7,Normal-type moves become Electric-type moves and their power boosted.
72,Gluttony,4,Encourages the early use of a held Berry.
73,Gooey,6,Contact with the Pokémon lowers the attacker's Speed stat.
74,Gorilla Tactics,8,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
75,Grass Pelt,6,Boosts the Defense stat in Grassy Terrain.
76,Grassy Surge,7,The Pokémon creates a Grassy Terrain when it enters a battle.
77,Grim Neigh,8,Boosts Special Attack after knocking out a Pokémon.
78,Gulp Missile,8,Returns with a catch in its mouth after using Surf or Dive.
79,Guts,3,Boosts Attack if there is a status problem.
80,Harvest,5,May create another Berry after one is used.
81,Healer,5,May heal an ally's status conditions.
82,Heatproof,4,Weakens the power of Fire-type moves.
83,Heavy Metal,5,Doubles the Pokémon's weight.
84,Honey Gather,4,The Pokémon may gather Honey from somewhere.
85,Huge Power,3,Raises the Pokémon's Attack stat.
86,Hunger Switch,8,Changes forms each turn.
87,Hustle,3,"Boosts the Attack stat, but lowers accuracy."
88,Hydration,4,Heals status problems if it is raining.
89,Hyper Cutter,3,Prevents other Pokémon from lowering Attack stat.
90,Ice Body,4,The Pokémon gradually regains HP in a hailstorm.
91,Ice Face,8,Avoids damage from Physical moves for one turn.
92,Ice Scales,8,Halves damage from Special moves.
93,Illuminate,3,Raises the likelihood of meeting wild Pokémon.
94,Illusion,5,Enters battle disguised as the last Pokémon in the party.
95,Immunity,3,Prevents the Pokémon from getting poisoned.
96,Imposter,5,It transforms itself into the Pokémon it is facing.
97,Infiltrator,5,Passes through the foe's barrier and strikes.
98,Innards Out,7,Deals damage upon fainting.
99,Inner Focus,3,The Pokémon is protected from flinching.
