index;Label;Generation;Description;id
0;Ability;4;Powers up moves of the same type.;Adaptability
1;Ability;6;Turns Normal-type moves into Flying-type moves.;Aerilate
2;Ability;4;Damages the attacker landing the finishing hit.;Aftermath
3;Ability;3;Eliminates the effects of weather.;Air Lock
4;Ability;5;Boosts move power when the Pokémon moves last.;Analytic
5;Ability;4;Maxes Attack after taking a critical hit.;Anger Point
6;Ability;4;Senses a foe's dangerous moves.;Anticipation
7;Ability;3;Prevents the foe from fleeing.;Arena Trap
8;Ability;6;Protects allies from attacks that limit their move choices.;Aroma Veil
9;Ability;8;Combines Unnerve and Chilling Neigh.;As One Glastrier
10;Ability;8;Combines Unnerve and Grim Neigh.;As One Spectrier
11;Ability;6;Reduces power of Dark- and Fairy-type moves.;Aura Break
12;Ability;4;Reduces a sleeping foe's HP.;Bad Dreams
13;Ability;8;Retrieves a Poké Ball from a failed throw.;Ball Fetch
14;Ability;7;Raises power of teammates' Special moves.;Battery
15;Ability;3;The Pokémon is protected against critical hits.;Battle Armor
16;Ability;7;Transform into Ash-Greninja after causing opponent to faint.;Battle Bond
17;Ability;7;The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.;Beast Boost
18;Ability;7;Raises Special Attack when HP drops below half.;Berserk
19;Ability;5;Protects the Pokémon from Defense-lowering attacks.;Big Pecks
20;Ability;3;Powers up Fire-type moves in a pinch.;Blaze
21;Ability;6;Protects the Pokémon from ball and bomb moves.;Bulletproof
22;Ability;6;Restores additional HP when a Berry is consumed.;Cheek Pouch
23;Ability;8;Boosts Attack after knocking out a Pokémon.;Chilling Neigh
24;Ability;3;Boosts the Pokémon's Speed in sunshine.;Chlorophyll
25;Ability;3;Prevents other Pokémon from lowering its stats.;Clear Body
26;Ability;3;Eliminates the effects of weather.;Cloud Nine
27;Ability;3;Changes the Pokémon's type to the foe's move.;Color Change
28;Ability;7;The Pokémon is always asleep but can still attack.;Comatose
29;Ability;6;Sharply raises Special Attack when the Pokémon's stats are lowered.;Competitive
30;Ability;3;The Pokémon's accuracy is boosted.;Compound Eyes
31;Ability;5;Makes stat changes have an opposite effect.;Contrary
32;Ability;7;The Pokémon can poison Steel and Poison types.;Corrosion
33;Ability;8;Lowers foe's Speed when hit.;Cotton Down
34;Ability;8;Resets all stat changes upon entering battlefield.;Curious Medicine
35;Ability;5;May disable a move used on the Pokémon.;Cursed Body
36;Ability;3;Contact with the Pokémon may cause infatuation.;Cute Charm
37;Ability;3;Prevents the use of self-destructing moves.;Damp
38;Ability;7;Copies the foe's Dance moves.;Dancer
