,Pokemon,Move,Type,Use_Percentage (%)
0,Zacian-Crowned,Behemoth Blade,steel,99.996%
1,Zacian-Crowned,Protect,normal,98.672%
2,Zacian-Crowned,Sacred Sword,fighting,84.154%
3,Zacian-Crowned,Play Rough,fairy,64.487%
4,Zacian-Crowned,Substitute,normal,30.274%
5,Zacian-Crowned,Quick Attack,normal,8.491%
6,Zacian-Crowned,Other,,13.926%
7,Incineroar,Fake Out,normal,99.796%
8,Incineroar,Flare Blitz,fire,98.840%
9,Incineroar,Parting Shot,dark,96.074%
10,Incineroar,Darkest Lariat,dark,40.006%
11,Incineroar,Throat Chop,dark,21.099%
12,Incineroar,Taunt,dark,20.389%
13,Incineroar,Snarl,dark,9.495%
14,Incineroar,Other,,14.300%
15,Kyogre,Water Spout,water,93.603%
16,Kyogre,Origin Pulse,water,77.789%
17,Kyogre,Ice Beam,ice,77.355%
18,Kyogre,Protect,normal,67.612%
19,Kyogre,Thunder,electric,54.061%
20,Kyogre,Blizzard,ice,12.518%
21,Kyogre,Other,,17.062%
22,Grimmsnarl,Reflect,psychic,75.872%
23,Grimmsnarl,Light Screen,psychic,63.992%
24,Grimmsnarl,Thunder Wave,electric,55.346%
25,Grimmsnarl,Spirit Break,fairy,52.745%
26,Grimmsnarl,Foul Play,dark,38.453%
27,Grimmsnarl,Scary Face,normal,34.624%
28,Grimmsnarl,Trick,psychic,32.650%
29,Grimmsnarl,Fake Tears,dark,17.558%
30,Grimmsnarl,Fake Out,normal,15.003%
31,Grimmsnarl,Other,,13.757%
32,Regieleki,Electroweb,electric,84.902%
33,Regieleki,Protect,normal,72.095%
34,Regieleki,Thunderbolt,electric,38.147%
35,Regieleki,Bounce,flying,36.589%
36,Regieleki,Wild Charge,electric,34.983%
37,Regieleki,Volt Switch,electric,29.405%
38,Regieleki,Assurance,dark,24.911%
39,Regieleki,Rising Voltage,electric,21.208%
40,Regieleki,Hyper Beam,normal,20.250%
41,Regieleki,Screech,normal,12.164%
42,Regieleki,Extreme Speed,normal,5.350%
43,Regieleki,Other,,19.995%
44,Rillaboom,Grassy Glide,grass,99.878%
45,Rillaboom,Fake Out,normal,97.616%
46,Rillaboom,High Horsepower,ground,62.281%
47,Rillaboom,U-turn,bug,48.902%
48,Rillaboom,Protect,normal,47.379%
49,Rillaboom,Wood Hammer,grass,21.823%
50,Rillaboom,Knock Off,dark,9.280%
51,Rillaboom,Other,,12.841%
52,Groudon,Precipice Blades,ground,99.792%
53,Groudon,Rock Slide,rock,54.962%
54,Groudon,Protect,normal,42.589%
55,Groudon,Stone Edge,rock,38.319%
56,Groudon,Heavy Slam,steel,36.446%
57,Groudon,Fire Punch,fire,32.270%
58,Groudon,Heat Crash,fire,29.673%
59,Groudon,Swords Dance,normal,29.073%
60,Groudon,Giga Impact,normal,6.494%
61,Groudon,Rock Tomb,rock,6.127%
62,Groudon,Bulldoze,ground,4.949%
63,Groudon,Other,,19.307%
64,Calyrex-Shadow,Astral Barrage,ghost,99.995%
65,Calyrex-Shadow,Protect,normal,71.432%
66,Calyrex-Shadow,Expanding Force,psychic,44.349%
67,Calyrex-Shadow,Will-O-Wisp,fire,42.417%
68,Calyrex-Shadow,Mud Shot,ground,26.909%
69,Calyrex-Shadow,Snarl,dark,22.241%
70,Calyrex-Shadow,Psyshock,psychic,18.397%
71,Calyrex-Shadow,Leaf Storm,grass,17.106%
72,Calyrex-Shadow,Trick Room,psychic,10.284%
73,Calyrex-Shadow,Energy Ball,grass,7.051%
74,Calyrex-Shadow,Hyper Beam,normal,6.413%
75,Calyrex-Shadow,Speed Swap,psychic,5.031%
76,Calyrex-Shadow,Trick,psychic,4.837%
77,Calyrex-Shadow,Imprison,psychic,4.292%
78,Calyrex-Shadow,Other,,19.245%
79,Thundurus,Wild Charge,electric,74.033%
80,Thundurus,Fly,flying,71.796%
81,Thundurus,Brick Break,fighting,43.333%
82,Thundurus,Eerie Impulse,electric,24.899%
83,Thundurus,Thunderbolt,electric,22.150%
84,Thundurus,Foul Play,dark,19.228%
85,Thundurus,Superpower,fighting,18.700%
86,Thundurus,Protect,normal,18.170%
87,Thundurus,Taunt,dark,17.885%
88,Thundurus,Electroweb,electric,16.444%
89,Thundurus,Scary Face,normal,14.578%
90,Thundurus,Crunch,dark,12.792%
91,Thundurus,Thunder Wave,electric,11.828%
92,Thundurus,Rain Dance,water,6.781%
93,Thundurus,Iron Tail,steel,6.068%
94,Thundurus,Grass Knot,grass,3.807%
95,Thundurus,Other,,17.508%
96,Landorus-Therian,Earthquake,ground,93.103%
97,Landorus-Therian,Fly,flying,90.761%
98,Landorus-Therian,Rock Slide,rock,85.296%
99,Landorus-Therian,Protect,normal,38.395%
100,Landorus-Therian,Swords Dance,normal,37.344%
101,Landorus-Therian,U-turn,bug,18.237%
102,Landorus-Therian,Rock Tomb,rock,9.178%
103,Landorus-Therian,Earth Power,ground,7.275%
104,Landorus-Therian,Bulldoze,ground,6.471%
105,Landorus-Therian,Other,,13.939%
106,Gastrodon,Earth Power,ground,98.795%
107,Gastrodon,Yawn,normal,96.989%
108,Gastrodon,Protect,normal,96.360%
109,Gastrodon,Ice Beam,ice,79.866%
110,Gastrodon,Icy Wind,ice,14.347%
111,Gastrodon,Other,,13.643%
112,Charizard,Blast Burn,fire,88.243%
113,Charizard,Protect,normal,83.021%
114,Charizard,Hurricane,flying,80.422%
115,Charizard,Ancient Power,rock,48.995%
116,Charizard,Heat Wave,fire,38.932%
117,Charizard,Solar Beam,grass,16.248%
118,Charizard,Air Slash,flying,15.085%
119,Charizard,Helping Hand,normal,11.829%
120,Charizard,Other,,17.225%
121,Amoonguss,Spore,grass,99.938%
122,Amoonguss,Rage Powder,bug,99.642%
123,Amoonguss,Protect,normal,87.546%
124,Amoonguss,Pollen Puff,bug,46.926%
125,Amoonguss,Giga Drain,grass,19.295%
126,Amoonguss,Foul Play,dark,10.868%
127,Amoonguss,Seed Bomb,grass,8.792%
128,Amoonguss,Hex,ghost,7.764%
129,Amoonguss,Other,,19.228%
130,Indeedee-F,Follow Me,normal,99.822%
131,Indeedee-F,Helping Hand,normal,92.200%
132,Indeedee-F,Protect,normal,86.716%
133,Indeedee-F,Expanding Force,psychic,86.470%
134,Indeedee-F,Mystical Fire,fire,6.706%
135,Indeedee-F,Safeguard,normal,6.623%
136,Indeedee-F,Shadow Ball,ghost,5.046%
137,Indeedee-F,Other,,16.418%
138,Whimsicott,Tailwind,flying,99.572%
139,Whimsicott,Helping Hand,normal,65.191%
140,Whimsicott,Moonblast,fairy,55.759%
141,Whimsicott,Energy Ball,grass,38.249%
142,Whimsicott,Taunt,dark,27.545%
143,Whimsicott,Protect,normal,22.509%
144,Whimsicott,Switcheroo,dark,19.612%
145,Whimsicott,Cotton Spore,grass,18.727%
146,Whimsicott,Trick Room,psychic,10.418%
147,Whimsicott,Dazzling Gleam,fairy,10.298%
148,Whimsicott,Fake Tears,dark,7.076%
149,Whimsicott,Encore,normal,6.480%
150,Whimsicott,Other,,18.564%
151,Yveltal,Oblivion Wing,flying,94.879%
152,Yveltal,Foul Play,dark,60.609%
153,Yveltal,Dark Pulse,dark,55.426%
154,Yveltal,Protect,normal,51.466%
155,Yveltal,Sucker Punch,dark,46.599%
156,Yveltal,Snarl,dark,45.445%
157,Yveltal,Heat Wave,fire,32.104%
158,Yveltal,Other,,13.472%
159,Calyrex-Ice,Glacial Lance,ice,99.987%
160,Calyrex-Ice,High Horsepower,ground,81.641%
161,Calyrex-Ice,Trick Room,psychic,80.271%
162,Calyrex-Ice,Protect,normal,50.254%
163,Calyrex-Ice,Seed Bomb,grass,23.825%
164,Calyrex-Ice,Body Press,fighting,16.525%
165,Calyrex-Ice,Iron Defense,steel,15.771%
166,Calyrex-Ice,Swords Dance,normal,10.328%
167,Calyrex-Ice,Heavy Slam,steel,7.257%
168,Calyrex-Ice,Other,,14.141%
169,Palkia,Spacial Rend,dragon,95.295%
170,Palkia,Hydro Pump,water,87.339%
