,Pokemon,Teammate,Use_Percentage (%)
0,Zacian-Crowned,Incineroar,54.189%
1,Zacian-Crowned,Kyogre,31.467%
2,Zacian-Crowned,Grimmsnarl,31.148%
3,Zacian-Crowned,Rillaboom,29.083%
4,Zacian-Crowned,Gastrodon,24.347%
5,Zacian-Crowned,Thundurus,23.085%
6,Zacian-Crowned,Landorus-Therian,22.407%
7,Zacian-Crowned,Regieleki,20.653%
8,Zacian-Crowned,Calyrex-Shadow,19.761%
9,Zacian-Crowned,Groudon,17.465%
10,Incineroar,Zacian-Crowned,59.583%
11,Incineroar,Grimmsnarl,28.706%
12,Incineroar,Rillaboom,27.822%
13,Incineroar,Groudon,27.542%
14,Incineroar,Gastrodon,24.016%
15,Incineroar,Regieleki,23.941%
16,Incineroar,Kyogre,22.887%
17,Incineroar,Charizard,22.683%
18,Incineroar,Thundurus,20.813%
19,Incineroar,Amoonguss,18.692%
20,Kyogre,Zacian-Crowned,57.093%
21,Kyogre,Incineroar,37.766%
22,Kyogre,Indeedee-F,28.961%
23,Kyogre,Whimsicott,25.290%
24,Kyogre,Landorus-Therian,24.334%
25,Kyogre,Rillaboom,23.349%
26,Kyogre,Regieleki,23.057%
27,Kyogre,Grimmsnarl,20.356%
28,Kyogre,Tornadus,18.255%
29,Kyogre,Kartana,17.314%
30,Grimmsnarl,Zacian-Crowned,66.854%
31,Grimmsnarl,Incineroar,56.035%
32,Grimmsnarl,Groudon,39.662%
33,Grimmsnarl,Charizard,36.087%
34,Grimmsnarl,Gastrodon,30.726%
35,Grimmsnarl,Rillaboom,30.482%
36,Grimmsnarl,Kyogre,24.080%
37,Grimmsnarl,Regieleki,17.088%
38,Grimmsnarl,Landorus-Therian,15.336%
39,Grimmsnarl,Thundurus,13.280%
40,Regieleki,Incineroar,47.343%
41,Regieleki,Zacian-Crowned,44.907%
42,Regieleki,Calyrex-Shadow,31.704%
43,Regieleki,Kyogre,27.632%
44,Regieleki,Landorus-Therian,23.315%
45,Regieleki,Whimsicott,22.053%
46,Regieleki,Amoonguss,21.721%
47,Regieleki,Yveltal,18.809%
48,Regieleki,Indeedee-F,18.666%
49,Regieleki,Grimmsnarl,17.311%
50,Rillaboom,Zacian-Crowned,70.548%
51,Rillaboom,Incineroar,61.378%
52,Rillaboom,Grimmsnarl,34.450%
53,Rillaboom,Calyrex-Shadow,31.258%
54,Rillaboom,Kyogre,31.216%
55,Rillaboom,Thundurus,23.208%
56,Rillaboom,Regieleki,19.062%
57,Rillaboom,Blastoise,18.947%
58,Rillaboom,Landorus-Therian,18.854%
59,Rillaboom,Gastrodon,12.018%
60,Groudon,Charizard,72.403%
61,Groudon,Incineroar,71.282%
62,Groudon,Grimmsnarl,52.588%
63,Groudon,Zacian-Crowned,49.700%
64,Groudon,Gastrodon,42.181%
65,Groudon,Thundurus,18.902%
66,Groudon,Regieleki,18.069%
67,Groudon,Venusaur,17.099%
68,Groudon,Xerneas,11.364%
69,Groudon,Rillaboom,8.941%
70,Calyrex-Shadow,Zacian-Crowned,55.883%
71,Calyrex-Shadow,Regieleki,41.234%
72,Calyrex-Shadow,Incineroar,39.309%
73,Calyrex-Shadow,Rillaboom,36.442%
74,Calyrex-Shadow,Thundurus,35.361%
75,Calyrex-Shadow,Whimsicott,28.769%
76,Calyrex-Shadow,Indeedee-F,22.060%
77,Calyrex-Shadow,Blastoise,21.836%
78,Calyrex-Shadow,Gastrodon,20.673%
79,Calyrex-Shadow,Kyogre,18.351%
80,Thundurus,Zacian-Crowned,69.339%
81,Thundurus,Incineroar,56.853%
82,Thundurus,Calyrex-Shadow,37.556%
83,Thundurus,Rillaboom,28.737%
84,Thundurus,Gastrodon,27.273%
85,Thundurus,Groudon,19.951%
86,Thundurus,Grimmsnarl,18.584%
87,Thundurus,Kyogre,16.827%
88,Thundurus,Whimsicott,15.466%
89,Thundurus,Charizard,13.580%
90,Landorus-Therian,Zacian-Crowned,72.049%
91,Landorus-Therian,Kyogre,43.125%
92,Landorus-Therian,Incineroar,37.907%
93,Landorus-Therian,Regieleki,34.477%
94,Landorus-Therian,Rillaboom,24.992%
95,Landorus-Therian,Yveltal,24.719%
96,Landorus-Therian,Grimmsnarl,22.976%
97,Landorus-Therian,Indeedee-F,21.935%
98,Landorus-Therian,Calyrex-Shadow,19.329%
99,Landorus-Therian,Amoonguss,17.854%
100,Gastrodon,Zacian-Crowned,78.876%
101,Gastrodon,Incineroar,70.758%
102,Gastrodon,Groudon,48.020%
103,Gastrodon,Grimmsnarl,46.379%
104,Gastrodon,Charizard,45.372%
105,Gastrodon,Thundurus,29.417%
106,Gastrodon,Calyrex-Shadow,23.682%
107,Gastrodon,Landorus-Therian,16.505%
108,Gastrodon,Rillaboom,16.050%
109,Gastrodon,Yveltal,14.696%
110,Charizard,Groudon,86.831%
111,Charizard,Incineroar,70.405%
112,Charizard,Zacian-Crowned,58.274%
113,Charizard,Grimmsnarl,57.381%
114,Charizard,Gastrodon,47.798%
115,Charizard,Regieleki,19.102%
116,Charizard,Thundurus,15.430%
117,Charizard,Rillaboom,10.515%
118,Charizard,Xerneas,9.967%
119,Charizard,Whimsicott,8.181%
120,Amoonguss,Incineroar,60.857%
121,Amoonguss,Zacian-Crowned,45.934%
122,Amoonguss,Regieleki,35.762%
123,Amoonguss,Palkia,33.807%
124,Amoonguss,Calyrex-Ice,31.334%
125,Amoonguss,Kyogre,30.845%
126,Amoonguss,Landorus-Therian,19.878%
127,Amoonguss,Tornadus,17.343%
