,Pokemon,Monthly Usage (k),Usage Percent (%),Monthly Rank
0,Zacian-Crowned,1088,65,1
1,Incineroar,1124,59,2
2,Kyogre,744,35,3
3,Grimmsnarl,577,30,4
4,Regieleki,603,29,5
5,Rillaboom,482,27,6
6,Groudon,501,23,7
7,Calyrex-Shadow,363,22,8
8,Thundurus,352,21,9
9,Landorus-Therian,369,20,10
10,Gastrodon,396,20,11
11,Charizard,344,19,12
12,Amoonguss,350,18,13
13,Indeedee-F,387,18,14
14,Whimsicott,425,17,15
15,Yveltal,316,11,16
16,Calyrex-Ice,294,11,17
17,Palkia,195,9,18
18,Porygon2,117,9,19
19,Tornadus,191,8,20
20,Zapdos,168,8,21
21,Kartana,118,7,22
22,Blastoise,98,7,23
23,Venusaur,204,7,24
24,Ferrothorn,131,5,25
25,Ditto,74,5,26
26,Urshifu,125,4,27
27,Xerneas,69,4,28
28,Dialga,130,4,29
29,Shedinja,42,4,30
30,Solgaleo,188,4,31
31,Dusclops,88,4,32
32,Torkoal,63,3,33
33,Kingdra,37,3,34
34,Raichu,93,3,35
35,Weezing,43,2,36
36,Entei,50,2,37
37,Lunala,43,2,38
38,Kyurem-White,95,2,39
39,Tapu Fini,74,2,40
40,Sableye,47,2,41
41,Urshifu-Rapid-Strike,58,2,42
42,Tapu Lele,23,2,43
43,Mimikyu,114,2,44
44,Gothitelle,20,2,45
45,Seismitoad,59,1,46
46,Ho-Oh,75,1,47
47,Rotom-Heat,43,1,48
48,Eternatus,41,1,49
49,Regigigas,37,1,50
50,Cinderace,45,1,51
51,Bronzong,27,1,52
52,Togekiss,39,1,53
53,Coalossal,40,1,54
54,Dragapult,54,1,55
55,Umbreon,35,1,56
56,Indeedee,26,1,57
57,Comfey,54,1,58
58,Lapras,61,1,59
59,Rayquaza,44,1,60
60,Spectrier,19,1,61
61,Reshiram,52,1,62
62,Zygarde,42,1,63
63,Mamoswine,16,1,64
64,Necrozma-Dawn-Wings,10,1,65
65,Barraskewda,37,1,66
66,Celesteela,26,1,67
67,Metagross,27,1,68
68,Araquanid,15,1,69
69,Pheromosa,29,1,70
70,Arcanine,23,0,71
71,Zamazenta-Crowned,41,0,72
72,Clefairy,25,0,73
73,Mienshao,18,0,74
74,Lugia,27,0,75
75,Chansey,6,0,76
76,Suicune,28,0,77
77,Landorus,23,0,78
78,Necrozma-Dusk-Mane,49,0,79
79,Alcremie,18,0,80
80,Tapu Koko,27,0,81
81,Liepard,16,0,82
82,Hydreigon,13,0,83
83,Weavile,14,0,84
84,Tsareena,26,0,85
85,Glastrier,13,0,86
86,Dracovish,32,0,87
87,Regidrago,12,0,88
88,Hitmontop,27,0,89
89,Darmanitan-Galar,15,0,90
90,Zekrom,41,0,91
91,Shuckle,7,0,92
92,Zapdos-Galar,26,0,93
93,Volcarona,28,0,94
94,Meowstic,15,0,95
95,Persian-Alola,19,0,96
96,Snorlax,18,0,97
97,Stakataka,23,0,98
98,Thundurus-Therian,9,0,99
99,Moltres-Galar,35,0,100
100,Talonflame,22,0,101
101,Milotic,30,0,102
102,Mewtwo,15,0,103
103,Klinklang,884,0,104
104,Inteleon,11,0,105
105,Salamence,8,0,106
106,Hatterene,22,0,107
107,Sneasel,3,0,108
108,Escavalier,9,0,109
109,Rotom-Wash,16,0,110
110,Politoed,7,0,111
111,Ludicolo,16,0,112
112,Slowking,2,0,113
113,Swampert,7,0,114
114,Azumarill,9,0,115
115,Scizor,7,0,116
116,Articuno-Galar,14,0,117
117,Tyranitar,24,0,118
118,Pikachu,13,0,119
119,Ninetales-Alola,16,0,120
120,Marowak-Alola,16,0,121
121,Slowbro,4,0,122
122,Giratina-Origin,16,0,123
123,Toxapex,5,0,124
124,Raikou,7,0,125
125,Pelipper,8,0,126
126,Weezing-Galar,8,0,127
127,Kingler,9,0,128
128,Oranguru,17,0,129
129,Nihilego,7,0,130
130,Togedemaru,7,0,131
131,Gyarados,15,0,132
132,Garchomp,15,0,133
133,Heliolisk,8,0,134
134,Tapu Bulu,2,0,135
135,Kangaskhan,6,0,136
136,Moltres,3,0,137
137,Krookodile,11,0,138
138,Drifblim,3,0,139
139,Excadrill,10,0,140
140,Primarina,11,0,141
141,Shiftry,3,0,142
142,Chandelure,9,0,143
143,Toxicroak,2,0,144
144,Dracozolt,8,0,145
145,Sceptile,5,0,146
146,Pincurchin,9,0,147
147,Aegislash,10,0,148
148,Centiskorch,12,0,149
149,Greedent,1,0,150
150,Porygon-Z,7,0,151
151,Butterfree,16,0,152
152,Lucario,9,0,153
153,Mudsdale,6,0,154
154,Cherrim,8,0,155
155,Exeggutor,3,0,156
156,Altaria,3,0,157
157,Klefki,5,0,158
158,Froslass,4,0,159
159,Gigalith,4,0,160
160,Jellicent,6,0,161
161,Riolu,13,0,162
162,Mandibuzz,3,0,163
163,Lurantis,4,0,164
164,Latias,6,0,165
165,Exeggutor-Alola,6,0,166
166,Dragonite,10,0,167
167,Darmanitan,3,0,168
168,Cradily,11,0,169
169,Obstagoon,6,0,170
170,Scrafty,6,0,171
171,Aerodactyl,5,0,172
172,Kabutops,4,0,173
173,Articuno,4,0,174
174,Blacephalon,9,0,175
175,Duraludon,8,0,176
176,Trevenant,2,0,177
177,Drednaw,4,0,178
178,Heatran,9,0,179
179,Clefable,7,0,180
180,Appletun,4,0,181
181,Bisharp,10,0,182
182,Registeel,3,0,183
183,Rhyperior,9,0,184
184,Stonjourner,3,0,185
185,Electivire,3,0,186
186,Leafeon,5,0,187
187,Abomasnow,5,0,188
188,Diggersby,1,0,189
189,Giratina,9,0,190
190,Swoobat,2,0,191
191,Corviknight,10,0,192
192,Vikavolt,3,0,193
193,Durant,4,0,194
194,Cresselia,10,0,195
195,Mr. Rime,2,0,196
196,Wishiwashi,1,0,197
197,Conkeldurr,10,0,198
198,Boltund,2,0,199
199,Terrakion,5,0,200
200,Cobalion,6,0,201
201,Kyurem-Black,7,0,202
202,Mantine,3,0,203
203,Machamp,4,0,204
204,Goodra,6,0,205
205,Silvally,2,0,206
206,Accelgor,7,0,207
207,Xurkitree,4,0,208
208,Tauros,3,0,209
209,Garbodor,1,0,210
210,Luxray,2,0,211
211,Dugtrio,3,0,212
212,Rotom-Mow,3,0,213
213,Gengar,10,0,214
214,Glaceon,1,0,215
215,Manectric,3,0,216
216,Palossand,5,0,217
217,Espeon,3,0,218
218,Crobat,5,0,219
219,Tyrantrum,918,0,220
220,Cinccino,3,0,221
221,Kommo-o,2,0,222
222,Blissey,3,0,223
223,Cloyster,2,0,224
224,Blaziken,6,0,225
225,Drampa,4,0,226
226,Hawlucha,3,0,227
227,Mr. Mime-Galar,2,0,228
228,Grapploct,-,-,-
229,Zoroark,-,-,-
230,Lilligant,-,-,-
231,Clawitzer,-,-,-
232,Qwilfish,-,-,-
233,Haxorus,-,-,-
234,Dhelmise,-,-,-
235,Runerigus,-,-,-
236,Braviary,-,-,-
237,Virizion,-,-,-
238,Togetic,-,-,-
239,Raichu-Alola,-,-,-
240,Beartic,-,-,-
241,Copperajah,-,-,-
242,Flapple,-,-,-
243,Sylveon,-,-,-
244,Slurpuff,-,-,-
245,Eiscue,-,-,-
246,Hippowdon,-,-,-
247,Alakazam,-,-,-
248,Torracat,-,-,-
249,Thievul,-,-,-
250,Arctozolt,-,-,-
251,Cofagrigus,-,-,-
252,Starmie,-,-,-
253,Turtonator,-,-,-
254,Sharpedo,-,-,-
255,Salazzle,-,-,-
256,Ninetales,-,-,-
257,Sirfetch'd,-,-,-
258,Emolga,-,-,-
259,Ribombee,-,-,-
260,Charjabug,-,-,-
261,Toxtricity,-,-,-
262,Vaporeon,-,-,-
263,Mr. Mime,-,-,-
264,Magnezone,-,-,-
265,Gallade,-,-,-
266,Lopunny,-,-,-
267,Gourgeist-Small,-,-,-
268,Malamar,-,-,-
269,Golisopod,-,-,-
270,Golduck,-,-,-
271,Shiinotic,-,-,-
272,Lycanroc-Dusk,-,-,-
273,Unfezant,-,-,-
274,Perrserker,-,-,-
275,Slowbro-Galar,-,-,-
276,Bouffalant,-,-,-
277,Rotom-Frost,-,-,-
278,Roserade,-,-,-
279,Tangrowth,-,-,-
280,Sandaconda,-,-,-
281,Polteageist,-,-,-
282,Tangela,-,-,-
283,Morpeko,-,-,-
284,Eldegoss,-,-,-
285,Aromatisse,-,-,-
286,Miltank,-,-,-
287,Gourgeist-Super,-,-,-
288,Crawdaunt,-,-,-
289,Heracross,-,-,-
290,Magneton,-,-,-
291,Stoutland,-,-,-
292,Noivern,-,-,-
293,Claydol,-,-,-
294,Jolteon,-,-,-
295,Vileplume,-,-,-
296,Cursola,-,-,-
297,Falinks,-,-,-
298,Dedenne,-,-,-
299,Flygon,-,-,-
300,Crustle,-,-,-
301,Reuniclus,-,-,-
302,Dusknoir,-,-,-
303,Drapion,-,-,-
304,Exploud,-,-,-
305,Wigglytuff,-,-,-
306,Gardevoir,-,-,-
307,Corsola-Galar,-,-,-
308,Vanilluxe,-,-,-
309,Seaking,-,-,-
310,Sigilyph,-,-,-
311,Decidueye,-,-,-
312,Galvantula,-,-,-
313,Arctovish,-,-,-
314,Maractus,-,-,-
315,Orbeetle,-,-,-
316,Passimian,-,-,-
317,Ninjask,-,-,-
318,Druddigon,-,-,-
319,Lycanroc,-,-,-
320,Beheeyem,-,-,-
321,Marowak,-,-,-
322,Tentacruel,-,-,-
323,Dragalge,-,-,-
324,Flareon,-,-,-
325,Bewear,-,-,-
326,Scyther,-,-,-
327,Sandslash-Alola,-,-,-
328,Poliwrath,-,-,-
329,Lycanroc-Midnight,-,-,-
330,Golurk,-,-,-
331,Lickilicky,-,-,-
332,Rotom-Fan,-,-,-
333,Hitmonlee,-,-,-
334,Scolipede,-,-,-
335,Dunsparce,-,-,-
336,Sandslash,-,-,-
