,No.,Name,Abilities,HP,Att,Def,S.Att,S.Def,Spd,sprite_url
0,#001,Snomユキハミ,Shield Dust Ice Scales,30,25,35,45,30,20,https://www.serebii.net//swordshield/pokemon/small/872.png
1,#002,Frosmothモスノウ,Shield Dust Ice Scales,70,65,60,125,90,65,https://www.serebii.net//swordshield/pokemon/small/873.png
2,#003,Woolooウールー,Fluffy Run Away Bulletproof,42,40,55,40,45,48,https://www.serebii.net//swordshield/pokemon/small/831.png
3,#004,Dubwoolバイウールー,Fluffy Steadfast Bulletproof,72,80,100,60,90,88,https://www.serebii.net//swordshield/pokemon/small/832.png
4,#005,Skwovetホシガリス,Cheek Pouch Gluttony,70,55,55,35,35,25,https://www.serebii.net//swordshield/pokemon/small/819.png
5,#006,Greedentヨクバリス,Cheek Pouch Gluttony,120,95,95,55,75,20,https://www.serebii.net//swordshield/pokemon/small/820.png
6,#007,Swinubウリムー,Oblivious Snow Cloak Thick Fat,50,50,40,30,30,50,https://www.serebii.net//swordshield/pokemon/small/220.png
7,#008,Piloswineイノムー,Oblivious Snow Cloak Thick Fat,100,100,80,60,60,50,https://www.serebii.net//swordshield/pokemon/small/221.png
8,#009,Mamoswineマンムー,Oblivious Snow Cloak Thick Fat,110,130,80,70,60,80,https://www.serebii.net//swordshield/pokemon/small/473.png
9,#010,Mime Jr.マネネ,Soundproof Filter Technician,20,25,45,70,90,60,https://www.serebii.net//swordshield/pokemon/small/439.png
10,#011,Mr. Mimeバリヤード,Vital Spirit Screen Cleaner Ice Body,50,65,65,90,90,100,https://www.serebii.net//swordshield/pokemon/small/122-g.png
11,#012,Mr. Rimeバリコオル,Tangled Feet Screen Cleaner Ice Body,80,85,75,110,100,70,https://www.serebii.net//swordshield/pokemon/small/866.png
12,#013,Smoochumムチュール,Oblivious Forewarn Hydration,45,30,15,85,65,65,https://www.serebii.net//swordshield/pokemon/small/238.png
13,#014,Jynxルージュラ,Oblivious Forewarn Dry Skin,65,50,35,115,95,95,https://www.serebii.net//swordshield/pokemon/small/124.png
14,#015,Elekidエレキッド,Static Vital Spirit,45,63,37,65,55,95,https://www.serebii.net//swordshield/pokemon/small/239.png
15,#016,Electabuzzエレブー,Static Vital Spirit,65,83,57,95,85,105,https://www.serebii.net//swordshield/pokemon/small/125.png
16,#017,Electivireエレキブル,Motor Drive Vital Spirit,75,123,67,95,85,95,https://www.serebii.net//swordshield/pokemon/small/466.png
17,#018,Magbyブビィ,Flame Body Vital Spirit,45,75,37,70,55,83,https://www.serebii.net//swordshield/pokemon/small/240.png
18,#019,Magmarブーバー,Flame Body Vital Spirit,65,95,57,100,85,93,https://www.serebii.net//swordshield/pokemon/small/126.png
19,#020,Magmortarブーバーン,Flame Body Vital Spirit,75,95,67,125,95,83,https://www.serebii.net//swordshield/pokemon/small/467.png
