#,Name,Species,Variant,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image_url,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank
1,Bulbasaur,Bulbasaur,,1,Common,,False,Grass,Poison,318,45,49,49,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Permitted,,,
2,Ivysaur,Ivysaur,,1,Common,Bulbasaur,False,Grass,Poison,405,60,62,63,80,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Permitted,,,
3,Venusaur,Venusaur,,1,Common,Ivysaur,True,Grass,Poison,525,80,82,83,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Permitted,204,7,24
3,Mega Venusaur,Venusaur,Mega,6,Common,Venusaur,True,Grass,Poison,625,80,100,123,122,120,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Banned,,,
3,Venusaur Gigantamax,Venusaur,Gigantamax,8,,Venusaur,,Grass,Poison,,,,,,,,https://archives.bulbagarden.net/media/upload/d/dc/003GiMS8.png,Gigantamax Allowed,,,
4,Charmander,Charmander,,1,Common,,False,Fire,,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Permitted,,,
5,Charmeleon,Charmeleon,,1,Common,Charmander,False,Fire,,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Permitted,,,
6,Mega Charizard Y,Charizard,Mega  Y,6,Common,Charizard,False,Fire,Flying,634,78,104,78,159,115,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Banned,,,
6,Charizard Gigantamax,Charizard,Gigantamax,8,,Charizard,,Fire,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/c/cb/006GiMS8.png,Gigantamax Allowed,,,
6,Mega Charizard X,Charizard,Mega  X,6,Common,Charizard,False,Fire,Dragon,634,78,130,111,130,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Banned,,,
6,Charizard,Charizard,,1,Common,Charmeleon,False,Fire,Flying,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Permitted,344,19,12
7,Squirtle,Squirtle,,1,Common,,False,Water,,314,44,48,65,50,64,43,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Permitted,,,
8,Wartortle,Wartortle,,1,Common,Squirtle,False,Water,,405,59,63,80,65,80,58,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Permitted,,,
9,Blastoise Gigantamax,Blastoise,Gigantamax,8,,Blastoise,,Water,,,,,,,,,https://archives.bulbagarden.net/media/upload/4/43/009GiMS8.png,Gigantamax Allowed,,,
9,Blastoise,Blastoise,,1,Common,Wartortle,False,Water,,530,79,83,100,85,105,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Permitted,98,7,23
9,Mega Blastoise,Blastoise,Mega,6,Common,Blastoise,False,Water,,630,79,103,120,135,115,78,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Banned,,,
10,Caterpie,Caterpie,,1,Common,,False,Bug,,195,45,30,35,20,20,45,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Permitted,,,
11,Metapod,Metapod,,1,Common,Caterpie,False,Bug,,205,50,20,55,25,25,30,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Permitted,,,
12,Butterfree Gigantamax,Butterfree,Gigantamax,8,,Butterfree,,Bug,Flying,,,,,,,,https://archives.bulbagarden.net/media/upload/4/47/012GiMS8.png,Gigantamax Allowed,,,
12,Butterfree,Butterfree,,1,Common,Metapod,True,Bug,Flying,395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16,0,152
13,Weedle,Weedle,,1,Common,,False,Bug,Poison,195,40,35,30,20,20,50,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,,,,
14,Kakuna,Kakuna,,1,Common,Weedle,False,Bug,Poison,205,45,25,50,25,25,35,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,,,,
15,Beedrill,Beedrill,,1,Common,Kakuna,False,Bug,Poison,395,65,90,40,45,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,,,,
15,Mega Beedrill,Beedrill,Mega,6,Common,Beedrill,False,Bug,Poison,495,65,150,40,15,80,145,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Banned,,,
16,Pidgey,Pidgey,,1,Common,,False,Normal,Flying,251,40,45,40,35,35,56,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,,,,
17,Pidgeotto,Pidgeotto,,1,Common,Pidgey,False,Normal,Flying,349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,,,,
18,Pidgeot,Pidgeot,,1,Common,Pidgeotto,False,Normal,Flying,479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,,,,
18,Mega Pidgeot,Pidgeot,Mega,6,Common,Pidgeot,False,Normal,Flying,579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Banned,,,
19,Rattata,Rattata,,1,Common,,True,Normal,,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,,,,
19,Alolan Rattata,Rattata,Alolan,7,Common,,True,Dark,Normal,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,,,,
20,Raticate,Raticate,,1,Common,Rattata,True,Normal,,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,,,,
20,Alolan Raticate,Raticate,Alolan,7,Common,Rattata,True,Dark,Normal,413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,,,,
21,Spearow,Spearow,,1,Common,,False,Normal,Flying,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,,,,
22,Fearow,Fearow,,1,Common,Spearow,False,Normal,Flying,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,,,,
23,Ekans,Ekans,,1,Common,,False,Poison,,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,,,,
24,Arbok,Arbok,,1,Common,Ekans,False,Poison,,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,,,,
25,Pikachu Gigantamax,Pikachu,Gigantamax,8,,Pikachu,,Electric,,,,,,,,,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,Gigantamax Allowed,,,
25,Pikachu,Pikachu,,1,Common,Pichu,True,Electric,,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13,0,119
25,Partner Pikachu,Pikachu,Partner,1,Common,Pichu,True,Electric,,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,,,,
26,Alolan Raichu,Raichu,Alolan,7,Common,Pikachu,True,Electric,Psychic,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,,-,-,-
26,Raichu,Raichu,,1,Common,Pikachu,True,Electric,,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,Permitted,93,3,35
27,Alolan Sandshrew,Sandshrew,Alolan,7,Common,,False,Ice,Steel,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,,,,
27,Sandshrew,Sandshrew,,1,Common,,False,Ground,,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,Permitted,,,
28,Sandslash,Sandslash,,1,Common,Sandshrew,False,Ground,,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,Permitted,-,-,-
28,Alolan Sandslash,Sandslash,Alolan,7,Common,Sandshrew,False,Ice,Steel,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,,-,-,-
29,Nidoran♀,Nidoran♀,,1,Common,,False,Poison,,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,,,,
30,Nidorina,Nidorina,,1,Common,Nidoran-f,False,Poison,,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,Permitted,,,
31,Nidoqueen,Nidoqueen,,1,Common,Nidorina,False,Poison,Ground,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,Permitted,,,
32,Nidoran♂,Nidoran♂,,1,Common,,False,Poison,,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,,,,
33,Nidorino,Nidorino,,1,Common,Nidoran-m,False,Poison,,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,Permitted,,,
34,Nidoking,Nidoking,,1,Common,Nidorino,False,Poison,Ground,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,Permitted,,,
35,Clefairy,Clefairy,,1,Common,Cleffa,False,Fairy,,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25,0,73
36,Clefable,Clefable,,1,Common,Clefairy,False,Fairy,,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180
37,Vulpix,Vulpix,,1,Common,,False,Fire,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,Permitted,,,
37,Alolan Vulpix,Vulpix,Alolan,7,Common,,False,Ice,,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,,,,
38,Ninetales,Ninetales,,1,Common,Vulpix,False,Fire,,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,Permitted,-,-,-
38,Alolan Ninetales,Ninetales,Alolan,7,Common,Vulpix,False,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,,16,0,120
39,Jigglypuff,Jigglypuff,,1,Common,Igglybuff,False,Normal,Fairy,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,Permitted,,,
40,Wigglytuff,Wigglytuff,,1,Common,Jigglypuff,False,Normal,Fairy,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,Permitted,-,-,-
41,Zubat,Zubat,,1,Common,,True,Poison,Flying,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,Permitted,,,
42,Golbat,Golbat,,1,Common,Zubat,True,Poison,Flying,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,Permitted,,,
43,Oddish,Oddish,,1,Common,,False,Grass,Poison,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,Permitted,,,
44,Gloom,Gloom,,1,Common,Oddish,True,Grass,Poison,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,Permitted,,,
45,Vileplume,Vileplume,,1,Common,Gloom,True,Grass,Poison,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,Permitted,-,-,-
46,Paras,Paras,,1,Common,,False,Bug,Grass,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,,,,
47,Parasect,Parasect,,1,Common,Paras,False,Bug,Grass,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,,,,
48,Venonat,Venonat,,1,Common,,False,Bug,Poison,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,,,,
49,Venomoth,Venomoth,,1,Common,Venonat,False,Bug,Poison,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,,,,
50,Alolan Diglett,Diglett,Alolan,7,Common,,False,Ground,Steel,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,,,,
50,Diglett,Diglett,,1,Common,,False,Ground,,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,Permitted,,,
51,Alolan Dugtrio,Dugtrio,Alolan,7,Common,Diglett,False,Ground,Steel,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,,,,
51,Dugtrio,Dugtrio,,1,Common,Diglett,False,Ground,,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3,0,212
52,Meowth,Meowth,,1,Common,,False,Normal,,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,,,,
52,Alolan Meowth,Meowth,Alolan,7,Common,,False,Dark,,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,,,,
52,Galarian Meowth,Meowth,Galarian,8,Common,,False,Steel,,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,Permitted,,,
