Move,Use_Percentage (%),Pokemon,Name
Behemoth Blade,99.996%,Zacian Crowned Sword,Behemoth Blade
Protect,98.672%,Zacian Crowned Sword,Protect
Protect,67.612%,Kyogre,Protect
Protect,72.095%,Regieleki,Protect
Protect,47.379%,Rillaboom,Protect
Protect,42.589%,Groudon,Protect
Protect,71.432%,Calyrex Shadow Rider,Protect
Protect,18.170%,Thundurus Incarnate Forme,Protect
Protect,38.395%,Landorus Therian Forme,Protect
Protect,96.360%,Gastrodon,Protect
Protect,83.021%,Charizard,Protect
Protect,87.546%,Amoonguss,Protect
Protect,86.716%,Indeedee Female,Protect
Protect,22.509%,Whimsicott,Protect
Protect,51.466%,Yveltal,Protect
Protect,50.254%,Calyrex Ice Rider,Protect
Protect,41.038%,Palkia,Protect
Protect,72.217%,Tornadus Incarnate Forme,Protect
Protect,50.897%,Zapdos,Protect
Protect,6.683%,Blastoise,Protect
Protect,21.665%,Venusaur,Protect
Protect,81.649%,Ferrothorn,Protect
Protect,34.116%,Urshifu Single Strike Style,Protect
Protect,98.794%,Xerneas,Protect
Protect,12.815%,Dialga,Protect
Protect,16.046%,Shedinja,Protect
Protect,63.217%,Solgaleo,Protect
Protect,80.649%,Torkoal,Protect
Protect,63.421%,Kingdra,Protect
Protect,99.905%,Weezing,Protect
Protect,13.979%,Entei,Protect
Protect,58.956%,Lunala,Protect
Protect,67.535%,White Kyurem,Protect
Protect,66.133%,Tapu Fini,Protect
Protect,41.898%,Urshifu Rapid Strike Style,Protect
Protect,8.373%,Mimikyu,Protect
Protect,10.110%,Gothitelle,Protect
Protect,19.664%,Seismitoad,Protect
Protect,80.609%,Ho-oh,Protect
Protect,38.355%,Heat Rotom,Protect
Protect,52.181%,Eternatus,Protect
Protect,33.156%,Regigigas,Protect
Protect,7.227%,Cinderace,Protect
Protect,28.780%,Togekiss,Protect
Protect,95.081%,Coalossal,Protect
Protect,15.463%,Dragapult,Protect
Protect,40.430%,Comfey,Protect
Protect,75.603%,Lapras,Protect
Protect,51.967%,Rayquaza,Protect
Protect,11.105%,Spectrier,Protect
Protect,50.583%,Reshiram,Protect
Protect,92.208%,Zygarde Complete Forme,Protect
Protect,98.706%,Mamoswine,Protect
Protect,16.709%,Barraskewda,Protect
Protect,56.260%,Celesteela,Protect
Protect,31.412%,Metagross,Protect
Protect,63.689%,Araquanid,Protect
Protect,34.151%,Pheromosa,Protect
Protect,29.617%,Arcanine,Protect
Protect,24.521%,Zamazenta Crowned Shield,Protect
Protect,87.372%,Clefairy,Protect
Protect,28.434%,Lugia,Protect
Protect,12.797%,Suicune,Protect
Protect,39.259%,Landorus Incarnate Forme,Protect
Protect,17.619%,Dusk Mane Necrozma,Protect
Protect,28.230%,Alcremie,Protect
Protect,54.950%,Tapu Koko,Protect
Protect,10.076%,Hydreigon,Protect
Protect,5.447%,Weavile,Protect
Protect,15.987%,Tsareena,Protect
Protect,72.366%,Glastrier,Protect
Protect,45.752%,Dracovish,Protect
Protect,26.551%,Regidrago,Protect
Protect,89.105%,Zekrom,Protect
Protect,55.975%,Shuckle,Protect
Protect,13.490%,Galarian Zapdos,Protect
Protect,53.139%,Volcarona,Protect
Protect,16.243%,Snorlax,Protect
Protect,20.099%,Stakataka,Protect
Protect,61.679%,Thundurus Therian Forme,Protect
Protect,64.149%,Galarian Moltres,Protect
Protect,10.561%,Talonflame,Protect
Protect,28.812%,Milotic,Protect
Protect,14.221%,Mewtwo,Protect
Protect,23.569%,Klinklang,Protect
Protect,49.926%,Inteleon,Protect
Protect,85.435%,Salamence,Protect
Protect,16.234%,Hatterene,Protect
Protect,61.313%,Escavalier,Protect
Protect,25.385%,Wash Rotom,Protect
Protect,91.495%,Politoed,Protect
Protect,54.366%,Ludicolo,Protect
Protect,13.688%,Slowking,Protect
Protect,86.110%,Azumarill,Protect
Protect,21.058%,Galarian Articuno,Protect
Protect,70.131%,Tyranitar,Protect
Protect,39.686%,Pikachu,Protect
Protect,34.660%,Alolan Ninetales,Protect
Protect,61.602%,Alolan Marowak,Protect
Protect,23.582%,Slowbro,Protect
Protect,89.460%,Giratina Origin Forme,Protect
Protect,92.099%,Pelipper,Protect
Protect,98.182%,Galarian Weezing,Protect
Protect,34.467%,Kingler,Protect
Protect,5.918%,Oranguru,Protect
Protect,79.896%,Nihilego,Protect
Protect,36.337%,Gyarados,Protect
Protect,78.372%,Garchomp,Protect
Protect,3.302%,Heliolisk,Protect
Protect,95.512%,Tapu Bulu,Protect
Protect,70.513%,Moltres,Protect
Protect,55.764%,Krookodile,Protect
Protect,52.241%,Excadrill,Protect
Protect,25.828%,Primarina,Protect
Protect,31.680%,Chandelure,Protect
Protect,7.983%,Toxicroak,Protect
Protect,77.202%,Dracozolt,Protect
Protect,12.192%,Sceptile,Protect
Protect,59.938%,Pincurchin,Protect
Protect,53.474%,Centiskorch,Protect
Protect,12.887%,Greedent,Protect
Protect,45.254%,Porygon-Z,Protect
Protect,16.718%,Butterfree,Protect
Protect,16.667%,Lucario,Protect
Protect,39.933%,Mudsdale,Protect
Protect,74.909%,Cherrim,Protect
Protect,94.922%,Exeggutor,Protect
Protect,36.205%,Altaria,Protect
Protect,7.055%,Klefki,Protect
Protect,38.745%,Gigalith,Protect
Protect,16.695%,Riolu,Protect
Protect,37.799%,Mandibuzz,Protect
Protect,88.577%,Lurantis,Protect
Protect,13.812%,Dragonite,Protect
Protect,9.630%,Darmanitan Standard Mode,Protect
Protect,76.158%,Cradily,Protect
Protect,11.164%,Scrafty,Protect
Protect,14.602%,Aerodactyl,Protect
Protect,82.275%,Kabutops,Protect
Protect,11.529%,Articuno,Protect
Protect,34.539%,Blacephalon,Protect
Protect,27.218%,Duraludon,Protect
Protect,5.380%,Drednaw,Protect
Protect,63.329%,Heatran,Protect
Protect,89.806%,Clefable,Protect
Protect,77.286%,Appletun,Protect
Protect,28.990%,Bisharp,Protect
Protect,98.265%,Registeel,Protect
Protect,58.950%,Rhyperior,Protect
Protect,99.276%,Stonjourner,Protect
Protect,7.591%,Leafeon,Protect
Protect,20.232%,Abomasnow,Protect
Protect,50.219%,Diggersby,Protect
Protect,71.993%,Giratina Altered Forme,Protect
Protect,85.271%,Swoobat,Protect
Protect,38.000%,Vikavolt,Protect
Protect,52.899%,Durant,Protect
Protect,17.115%,Cresselia,Protect
Protect,93.210%,Wishiwashi Solo Form,Protect
Protect,45.108%,Conkeldurr,Protect
Protect,49.036%,Boltund,Protect
Protect,94.208%,Terrakion,Protect
Protect,15.715%,Cobalion,Protect
Protect,87.031%,Black Kyurem,Protect
Protect,10.292%,Mantine,Protect
Protect,73.416%,Machamp,Protect
Protect,16.916%,Goodra,Protect
Protect,64.083%,Accelgor,Protect
Protect,40.282%,Xurkitree,Protect
Protect,92.519%,Tauros,Protect
Protect,99.300%,Garbodor,Protect
Protect,85.223%,Luxray,Protect
Protect,12.018%,Dugtrio,Protect
Protect,54.646%,Mow Rotom,Protect
Protect,24.122%,Gengar,Protect
Protect,98.813%,Glaceon,Protect
Protect,39.458%,Palossand,Protect
Protect,4.883%,Espeon,Protect
Protect,87.579%,Tyrantrum,Protect
Protect,10.940%,Cinccino,Protect
Protect,87.442%,Kommo-o,Protect
Protect,60.618%,Cloyster,Protect
Protect,78.281%,Blaziken,Protect
Protect,13.994%,Drampa,Protect
Protect,12.672%,Grapploct,Protect
Protect,47.421%,Zoroark,Protect
Protect,36.674%,Lilligant,Protect
Protect,25.162%,Clawitzer,Protect
Protect,6.573%,Haxorus,Protect
Protect,38.417%,Dhelmise,Protect
Protect,11.221%,Runerigus,Protect
Protect,70.320%,Braviary,Protect
Protect,67.304%,Virizion,Protect
Protect,73.459%,Togetic,Protect
Protect,40.703%,Alolan Raichu,Protect
Protect,25.439%,Beartic,Protect
Protect,28.401%,Copperajah,Protect
Protect,75.794%,Flapple,Protect
Protect,59.852%,Sylveon,Protect
Protect,5.742%,Slurpuff,Protect
Protect,81.742%,Eiscue Ice Face,Protect
