Ability,Use_Percentage (%),Pokemon
Intrepid Sword,100.000%,Zacian Crowned Sword
Intimidate,99.927%,Incineroar
Blaze,0.073%,Incineroar
Drizzle,100.000%,Kyogre
Prankster,99.959%,Grimmsnarl
Frisk,0.037%,Grimmsnarl
Pickpocket,0.004%,Grimmsnarl
Transistor,100.000%,Regieleki
Grassy Surge,99.847%,Rillaboom
Overgrow,0.153%,Rillaboom
Drought,100.000%,Groudon
Defiant,73.775%,Thundurus Incarnate Forme
Prankster,26.225%,Thundurus Incarnate Forme
Intimidate,100.000%,Landorus Therian Forme
Storm Drain,99.593%,Gastrodon
Sticky Hold,0.403%,Gastrodon
Sand Force,0.004%,Gastrodon
Solar Power,99.348%,Charizard
Blaze,0.652%,Charizard
Regenerator,97.913%,Amoonguss
Effect Spore,2.087%,Amoonguss
Psychic Surge,98.790%,Indeedee Female
Synchronize,0.888%,Indeedee Female
Own Tempo,0.322%,Indeedee Female
Prankster,99.894%,Whimsicott
Chlorophyll,0.103%,Whimsicott
Infiltrator,0.003%,Whimsicott
Dark Aura,100.000%,Yveltal
Pressure,85.103%,Palkia
Telepathy,14.897%,Palkia
Download,50.905%,Porygon2
Trace,28.727%,Porygon2
Analytic,20.368%,Porygon2
Prankster,99.884%,Tornadus Incarnate Forme
Defiant,0.116%,Tornadus Incarnate Forme
Static,93.843%,Zapdos
Pressure,6.157%,Zapdos
Beast Boost,100.000%,Kartana
Torrent,86.365%,Blastoise
Rain Dish,13.635%,Blastoise
Chlorophyll,97.599%,Venusaur
Overgrow,2.401%,Venusaur
Iron Barbs,99.799%,Ferrothorn
Anticipation,0.201%,Ferrothorn
Imposter,99.969%,Ditto
Limber,0.031%,Ditto
Unseen Fist,100.000%,Urshifu Single Strike Style
Fairy Aura,100.000%,Xerneas
Pressure,58.210%,Dialga
Telepathy,41.790%,Dialga
Wonder Guard,100.000%,Shedinja
Full Metal Body,100.000%,Solgaleo
Frisk,98.723%,Dusclops
Pressure,1.277%,Dusclops
Drought,99.988%,Torkoal
White Smoke,0.012%,Torkoal
Shell Armor,0.000%,Torkoal
Swift Swim,99.999%,Kingdra
Sniper,0.001%,Kingdra
Damp,0.000%,Kingdra
Lightning Rod,99.067%,Raichu
Static,0.933%,Raichu
Neutralizing Gas,99.696%,Weezing
Levitate,0.304%,Weezing
Stench,0.000%,Weezing
Inner Focus,99.878%,Entei
Pressure,0.122%,Entei
Shadow Shield,100.000%,Lunala
Turboblaze,100.000%,White Kyurem
Misty Surge,99.929%,Tapu Fini
Telepathy,0.071%,Tapu Fini
Prankster,99.777%,Sableye
Keen Eye,0.223%,Sableye
Stall,0.000%,Sableye
Unseen Fist,100.000%,Urshifu Rapid Strike Style
Psychic Surge,100.000%,Tapu Lele
Telepathy,0.000%,Tapu Lele
Disguise,100.000%,Mimikyu
Shadow Tag,99.614%,Gothitelle
Competitive,0.385%,Gothitelle
Frisk,0.000%,Gothitelle
Swift Swim,99.187%,Seismitoad
Water Absorb,0.813%,Seismitoad
Poison Touch,0.000%,Seismitoad
Regenerator,97.028%,Ho-oh
Pressure,2.972%,Ho-oh
Levitate,100.000%,Heat Rotom
Pressure,100.000%,Eternatus
Slow Start,100.000%,Regigigas
Libero,99.701%,Cinderace
Blaze,0.299%,Cinderace
Levitate,99.369%,Bronzong
Heatproof,0.625%,Bronzong
Heavy Metal,0.006%,Bronzong
Super Luck,76.429%,Togekiss
Serene Grace,21.832%,Togekiss
Hustle,1.740%,Togekiss
Steam Engine,99.731%,Coalossal
Flame Body,0.209%,Coalossal
Flash Fire,0.060%,Coalossal
Clear Body,96.639%,Dragapult
Infiltrator,1.730%,Dragapult
Cursed Body,1.631%,Dragapult
Inner Focus,98.123%,Umbreon
Synchronize,1.877%,Umbreon
Psychic Surge,99.230%,Indeedee Male
Inner Focus,0.680%,Indeedee Male
Synchronize,0.090%,Indeedee Male
Triage,99.754%,Comfey
Flower Veil,0.245%,Comfey
Natural Cure,0.001%,Comfey
Water Absorb,89.324%,Lapras
Shell Armor,8.678%,Lapras
Hydration,1.998%,Lapras
Air Lock,100.000%,Rayquaza
Grim Neigh,100.000%,Spectrier
Turboblaze,100.000%,Reshiram
Power Construct,98.383%,Zygarde Complete Forme
Aura Break,1.617%,Zygarde Complete Forme
Oblivious,99.774%,Mamoswine
Thick Fat,0.225%,Mamoswine
Snow Cloak,0.002%,Mamoswine
