Use_Percentage (%),Pokemon,Teammate
54.189%,Zacian Crowned Sword,Incineroar
37.766%,Kyogre,Incineroar
56.035%,Grimmsnarl,Incineroar
47.343%,Regieleki,Incineroar
61.378%,Rillaboom,Incineroar
71.282%,Groudon,Incineroar
39.309%,Calyrex Shadow Rider,Incineroar
56.853%,Thundurus Incarnate Forme,Incineroar
37.907%,Landorus Therian Forme,Incineroar
70.758%,Gastrodon,Incineroar
70.405%,Charizard,Incineroar
60.857%,Amoonguss,Incineroar
23.759%,Indeedee Female,Incineroar
22.296%,Whimsicott,Incineroar
58.851%,Yveltal,Incineroar
72.170%,Calyrex Ice Rider,Incineroar
72.365%,Palkia,Incineroar
52.601%,Porygon2,Incineroar
30.613%,Tornadus Incarnate Forme,Incineroar
56.028%,Zapdos,Incineroar
37.885%,Kartana,Incineroar
55.509%,Blastoise,Incineroar
58.019%,Venusaur,Incineroar
31.626%,Ferrothorn,Incineroar
20.983%,Ditto,Incineroar
20.020%,Urshifu Single Strike Style,Incineroar
74.256%,Xerneas,Incineroar
42.353%,Dialga,Incineroar
13.633%,Shedinja,Incineroar
41.476%,Solgaleo,Incineroar
76.026%,Dusclops,Incineroar
32.554%,Torkoal,Incineroar
14.269%,Kingdra,Incineroar
37.691%,Raichu,Incineroar
16.087%,Weezing,Incineroar
73.243%,Lunala,Incineroar
29.881%,White Kyurem,Incineroar
60.676%,Tapu Fini,Incineroar
67.992%,Sableye,Incineroar
57.635%,Urshifu Rapid Strike Style,Incineroar
76.435%,Mimikyu,Incineroar
21.986%,Gothitelle,Incineroar
52.210%,Seismitoad,Incineroar
43.664%,Ho-oh,Incineroar
14.376%,Heat Rotom,Incineroar
52.155%,Eternatus,Incineroar
61.320%,Bronzong,Incineroar
42.981%,Togekiss,Incineroar
81.650%,Coalossal,Incineroar
48.311%,Dragapult,Incineroar
23.530%,Umbreon,Incineroar
41.267%,Comfey,Incineroar
57.418%,Lapras,Incineroar
72.361%,Rayquaza,Incineroar
57.375%,Spectrier,Incineroar
27.850%,Reshiram,Incineroar
81.782%,Zygarde Complete Forme,Incineroar
32.785%,Mamoswine,Incineroar
35.312%,Metagross,Incineroar
49.528%,Araquanid,Incineroar
27.288%,Pheromosa,Incineroar
60.636%,Zamazenta Crowned Shield,Incineroar
32.716%,Clefairy,Incineroar
16.132%,Mienshao,Incineroar
42.661%,Lugia,Incineroar
40.113%,Chansey,Incineroar
60.260%,Suicune,Incineroar
66.475%,Landorus Incarnate Forme,Incineroar
45.562%,Dusk Mane Necrozma,Incineroar
19.691%,Alcremie,Incineroar
69.215%,Tapu Koko,Incineroar
24.038%,Tsareena,Incineroar
83.583%,Glastrier,Incineroar
14.823%,Regidrago,Incineroar
48.854%,Zekrom,Incineroar
12.929%,Shuckle,Incineroar
44.408%,Galarian Zapdos,Incineroar
28.737%,Meowstic Male,Incineroar
37.412%,Snorlax,Incineroar
25.142%,Stakataka,Incineroar
36.068%,Thundurus Therian Forme,Incineroar
40.508%,Galarian Moltres,Incineroar
45.454%,Milotic,Incineroar
44.296%,Mewtwo,Incineroar
66.089%,Salamence,Incineroar
42.467%,Hatterene,Incineroar
12.412%,Sneasel,Incineroar
72.420%,Escavalier,Incineroar
43.818%,Wash Rotom,Incineroar
38.013%,Politoed,Incineroar
42.253%,Ludicolo,Incineroar
51.558%,Slowking,Incineroar
3.680%,Swampert,Incineroar
5.779%,Azumarill,Incineroar
65.598%,Scizor,Incineroar
47.055%,Galarian Articuno,Incineroar
25.902%,Pikachu,Incineroar
34.150%,Alolan Ninetales,Incineroar
12.595%,Giratina Origin Forme,Incineroar
11.843%,Toxapex,Incineroar
41.224%,Raikou,Incineroar
7.001%,Pelipper,Incineroar
71.223%,Galarian Weezing,Incineroar
38.982%,Kingler,Incineroar
18.648%,Oranguru,Incineroar
51.618%,Nihilego,Incineroar
21.317%,Garchomp,Incineroar
80.219%,Tapu Bulu,Incineroar
68.084%,Kangaskhan,Incineroar
93.443%,Drifblim,Incineroar
60.687%,Primarina,Incineroar
67.264%,Sceptile,Incineroar
39.074%,Pincurchin,Incineroar
36.502%,Aegislash Shield Forme,Incineroar
36.460%,Porygon-Z,Incineroar
40.783%,Butterfree,Incineroar
40.273%,Mudsdale,Incineroar
31.952%,Cherrim,Incineroar
7.448%,Exeggutor,Incineroar
55.600%,Altaria,Incineroar
50.539%,Klefki,Incineroar
36.478%,Jellicent,Incineroar
25.653%,Riolu,Incineroar
30.030%,Alolan Exeggutor,Incineroar
21.171%,Dragonite,Incineroar
26.876%,Cradily,Incineroar
47.927%,Obstagoon,Incineroar
63.496%,Kabutops,Incineroar
2.919%,Clefable,Incineroar
31.925%,Appletun,Incineroar
18.721%,Bisharp,Incineroar
58.958%,Stonjourner,Incineroar
55.884%,Diggersby,Incineroar
30.296%,Giratina Altered Forme,Incineroar
15.545%,Corviknight,Incineroar
25.520%,Cresselia,Incineroar
98.945%,Wishiwashi Solo Form,Incineroar
16.101%,Conkeldurr,Incineroar
46.878%,Boltund,Incineroar
18.775%,Terrakion,Incineroar
24.601%,Black Kyurem,Incineroar
63.725%,Mantine,Incineroar
7.583%,Machamp,Incineroar
29.962%,Goodra,Incineroar
40.953%,Silvally,Incineroar
44.861%,Xurkitree,Incineroar
3.388%,Garbodor,Incineroar
58.785%,Dugtrio,Incineroar
53.821%,Mow Rotom,Incineroar
50.875%,Glaceon,Incineroar
76.829%,Manectric,Incineroar
46.162%,Crobat,Incineroar
75.266%,Tyrantrum,Incineroar
25.228%,Cinccino,Incineroar
38.081%,Kommo-o,Incineroar
21.429%,Blissey,Incineroar
13.893%,Cloyster,Incineroar
50.972%,Drampa,Incineroar
38.559%,Hawlucha,Incineroar
62.249%,Mime Galarian Mr. Mime,Incineroar
11.580%,Clawitzer,Incineroar
83.290%,Qwilfish,Incineroar
6.792%,Haxorus,Incineroar
14.517%,Dhelmise,Incineroar
14.974%,Runerigus,Incineroar
38.734%,Braviary,Incineroar
42.610%,Virizion,Incineroar
15.943%,Alolan Raichu,Incineroar
26.588%,Copperajah,Incineroar
