Atk. Move Type,Def. Pokemon Type,Damage Multiplier,Effectiveness
Normal,Normal,,Normal (100%)
Fire,Normal,,Normal (100%)
Water,Normal,,Normal (100%)
Electric,Normal,,Normal (100%)
Grass,Normal,,Normal (100%)
Ice,Normal,,Normal (100%)
Fighting,Normal,2,Super-effective (200%)
Poison,Normal,,Normal (100%)
Ground,Normal,,Normal (100%)
Flying,Normal,,Normal (100%)
Psychic,Normal,,Normal (100%)
Bug,Normal,,Normal (100%)
Rock,Normal,,Normal (100%)
Ghost,Normal,0,No effect (0%)
Dragon,Normal,,Normal (100%)
Dark,Normal,,Normal (100%)
Steel,Normal,,Normal (100%)
Fairy,Normal,,Normal (100%)
Normal,Fire,,Normal (100%)
Fire,Fire,½,Not very effective (50%)
Water,Fire,2,Super-effective (200%)
Electric,Fire,,Normal (100%)
Grass,Fire,½,Not very effective (50%)
Ice,Fire,½,Not very effective (50%)
Fighting,Fire,,Normal (100%)
Poison,Fire,,Normal (100%)
Ground,Fire,2,Super-effective (200%)
Flying,Fire,,Normal (100%)
Psychic,Fire,,Normal (100%)
Bug,Fire,½,Not very effective (50%)
Rock,Fire,2,Super-effective (200%)
Ghost,Fire,,Normal (100%)
Dragon,Fire,,Normal (100%)
Dark,Fire,,Normal (100%)
Steel,Fire,½,Not very effective (50%)
Fairy,Fire,½,Not very effective (50%)
Normal,Water,,Normal (100%)
Fire,Water,½,Not very effective (50%)
Water,Water,½,Not very effective (50%)
Electric,Water,2,Super-effective (200%)
Grass,Water,2,Super-effective (200%)
Ice,Water,½,Not very effective (50%)
Fighting,Water,,Normal (100%)
Poison,Water,,Normal (100%)
Ground,Water,,Normal (100%)
Flying,Water,,Normal (100%)
Psychic,Water,,Normal (100%)
Bug,Water,,Normal (100%)
Rock,Water,,Normal (100%)
Ghost,Water,,Normal (100%)
Dragon,Water,,Normal (100%)
Dark,Water,,Normal (100%)
Steel,Water,½,Not very effective (50%)
Fairy,Water,,Normal (100%)
Normal,Electric,,Normal (100%)
Fire,Electric,,Normal (100%)
Water,Electric,,Normal (100%)
Electric,Electric,½,Not very effective (50%)
Grass,Electric,,Normal (100%)
Ice,Electric,,Normal (100%)
Fighting,Electric,,Normal (100%)
Poison,Electric,,Normal (100%)
Ground,Electric,2,Super-effective (200%)
Flying,Electric,½,Not very effective (50%)
Psychic,Electric,,Normal (100%)
Bug,Electric,,Normal (100%)
Rock,Electric,,Normal (100%)
Ghost,Electric,,Normal (100%)
Dragon,Electric,,Normal (100%)
Dark,Electric,,Normal (100%)
Steel,Electric,½,Not very effective (50%)
Fairy,Electric,,Normal (100%)
Normal,Grass,,Normal (100%)
Fire,Grass,2,Super-effective (200%)
Water,Grass,½,Not very effective (50%)
Electric,Grass,½,Not very effective (50%)
Grass,Grass,½,Not very effective (50%)
Ice,Grass,2,Super-effective (200%)
Fighting,Grass,,Normal (100%)
Poison,Grass,2,Super-effective (200%)
Ground,Grass,½,Not very effective (50%)
Flying,Grass,2,Super-effective (200%)
Psychic,Grass,,Normal (100%)
Bug,Grass,2,Super-effective (200%)
Rock,Grass,,Normal (100%)
Ghost,Grass,,Normal (100%)
Dragon,Grass,,Normal (100%)
Dark,Grass,,Normal (100%)
Steel,Grass,,Normal (100%)
Fairy,Grass,,Normal (100%)
Normal,Ice,,Normal (100%)
Fire,Ice,2,Super-effective (200%)
Water,Ice,,Normal (100%)
Electric,Ice,,Normal (100%)
Grass,Ice,,Normal (100%)
Ice,Ice,½,Not very effective (50%)
Fighting,Ice,2,Super-effective (200%)
