,index,#,Name,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Variant,Varieties,sprite_url
0,0,1,Bulbasaur,1,Common,,False,Grass,Poison,318,45,49,49,65,65,45,,"[{'is_default': True, 'pokemon': {'name': 'bulbasaur', 'url': 'https://pokeapi.co/api/v2/pokemon/1/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
1,1,2,Ivysaur,1,Common,Bulbasaur,False,Grass,Poison,405,60,62,63,80,80,60,,"[{'is_default': True, 'pokemon': {'name': 'ivysaur', 'url': 'https://pokeapi.co/api/v2/pokemon/2/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
2,2,3,Venusaur,1,Common,Ivysaur,True,Grass,Poison,525,80,82,83,100,100,80,,"[{'is_default': True, 'pokemon': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon/3/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10033/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10195/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
3,3,3,Venusaur,1,Common,Ivysaur,True,Grass,Poison,625,80,100,123,122,120,80,Mega Venusaur,"[{'is_default': True, 'pokemon': {'name': 'venusaur', 'url': 'https://pokeapi.co/api/v2/pokemon/3/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10033/'}}, {'is_default': False, 'pokemon': {'name': 'venusaur-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10195/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png
4,4,4,Charmander,1,Common,,False,Fire,,309,39,52,43,60,50,65,,"[{'is_default': True, 'pokemon': {'name': 'charmander', 'url': 'https://pokeapi.co/api/v2/pokemon/4/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
5,5,5,Charmeleon,1,Common,Charmander,False,Fire,,405,58,64,58,80,65,80,,"[{'is_default': True, 'pokemon': {'name': 'charmeleon', 'url': 'https://pokeapi.co/api/v2/pokemon/5/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
6,6,6,Charizard,1,Common,Charmeleon,False,Fire,Flying,534,78,84,78,109,85,100,,"[{'is_default': True, 'pokemon': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10034/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10035/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10196/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
7,7,6,Charizard,1,Common,Charmeleon,False,Fire,Dragon,634,78,130,111,130,85,100,Mega Charizard X,"[{'is_default': True, 'pokemon': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10034/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10035/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10196/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png
8,8,6,Charizard,1,Common,Charmeleon,False,Fire,Flying,634,78,104,78,159,115,100,Mega Charizard Y,"[{'is_default': True, 'pokemon': {'name': 'charizard', 'url': 'https://pokeapi.co/api/v2/pokemon/6/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10034/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10035/'}}, {'is_default': False, 'pokemon': {'name': 'charizard-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10196/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png
9,9,7,Squirtle,1,Common,,False,Water,,314,44,48,65,50,64,43,,"[{'is_default': True, 'pokemon': {'name': 'squirtle', 'url': 'https://pokeapi.co/api/v2/pokemon/7/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
