,Name,AlternativeEffect,Effect,UsageAttributes,SpecificCategory,GeneralCategory,image_url
0,Ability Capsule,Switches a Pokémon between its two possible (non-Hidden) Abilities.,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,,Vitamins,Hold items,https://img.pokemondb.net/sprites/items/ability-capsule.png
1,Ability Patch,,Changes a Pokémon's ability to its Hidden Ability.,,Vitamins,General items,https://img.pokemondb.net/s.png
2,Ability Urge,Forcibly activates a friendly Pokémon's ability.,"When used, it activates the Ability of an ally Pokémon.",,Miracle Shooter,Battle items,https://img.pokemondb.net/sprites/items/ability-urge.png
3,Abomasite,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.,Enables Abomasnow to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/abomasite.png
4,Absolite,Held: Allows Absol to Mega Evolve into Mega Absol.,Enables Absol to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/absolite.png
5,Absorb Bulb,Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/absorb-bulb.png
6,Adamant Mint,,Changes the Pokémon's stats to match the Adamant nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
7,Adamant Orb,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.,Increases the power of Dragon- and Steel-type moves when held by Dialga.,holdable,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/adamant-orb.png
8,Adrenaline Orb,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/adrenaline-orb.png
9,Aerodactylite,Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,Enables Aerodactyl to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/aerodactylite.png
10,Aggronite,Held: Allows Aggron to Mega Evolve into Mega Aggron.,Enables Aggron to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/aggronite.png
11,Aguav Berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.,"Restores HP if it's low, but may cause confusion.",holdable-active,Picky Healing,Berries,https://img.pokemondb.net/sprites/items/aguav-berry.png
12,Air Balloon,"Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.","When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/air-balloon.png
13,Alakazite,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.,Enables Alakazam to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/alakazite.png
14,Altarianite,Held: Allows Altaria to Mega Evolve into Mega Altaria.,Enables Altaria to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/altarianite.png
15,Ampharosite,Held: Allows Ampharos to Mega Evolve into Mega Ampharos.,Enables Ampharos to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/ampharosite.png
16,Amulet Coin,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.,Doubles prize money if held.,holdable; holdable-active,Training,Hold items,https://img.pokemondb.net/sprites/items/amulet-coin.png
17,Antidote,Cures poison.,A spray-type medicine. It lifts the effect of poison from one Pokémon.,countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/antidote.png
18,Apicot Berry,Held: Consumed at 1/4 max HP to boost Special Defense.,Raises Special Defense when HP is low.,holdable-active,In A Pinch,Berries,https://img.pokemondb.net/sprites/items/apicot-berry.png
19,Armor Fossil,Can be revived into a Shieldon.,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,underground,Dex Completion,General items,https://img.pokemondb.net/sprites/items/armor-fossil.png
20,Armorite Ore,,,,Collectibles,General items,https://img.pokemondb.net/s.png
21,Aspear Berry,Held: Consumed when frozen to cure frozen.,"If held by a Pokémon, it defrosts it.",holdable-active,Medicine,Berries,https://img.pokemondb.net/sprites/items/aspear-berry.png
22,Assault Vest,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.,Raises Special Defense but prevents the use of status moves.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/assault-vest.png
23,Audinite,Held: Allows Audino to Mega Evolve into Mega Audino.,Enables Audino to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/audinite.png
24,Awakening,Cures sleep.,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.,countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/awakening.png
25,Babiri Berry,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.,Weakens a supereffective Steel-type attack against the holding Pokémon.,holdable-active,Type Protection,Berries,https://img.pokemondb.net/sprites/items/babiri-berry.png
26,Balm Mushroom,Sell to Hungry Maid for 25000 Pokédollars.,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,,Loot,General items,https://img.pokemondb.net/sprites/items/balm-mushroom.png
27,Banettite,Held: Allows Banette to Mega Evolve into Mega Banette.,Enables Banette to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/banettite.png
28,Beach Glass,,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.,,Loot,General items,https://img.pokemondb.net/sprites/items/beach-glass.png
