,Nature,UsePercentage,Pokemon,Hp,Atk,Def,SpA,SpD,Spe
0,Jolly,10.388,Zacian Crowned Sword,0,252,0,0,4,252
1,Adamant,4.504,Zacian Crowned Sword,252,28,4,0,12,212
2,Jolly,4.419,Zacian Crowned Sword,4,252,0,0,0,252
3,Adamant,2.891,Zacian Crowned Sword,188,164,4,0,4,148
4,Jolly,2.456,Zacian Crowned Sword,0,252,4,0,0,252
5,Adamant,2.241,Zacian Crowned Sword,4,252,0,0,0,252
6,Adamant,2.054,Zacian Crowned Sword,188,156,4,0,4,156
7,Adamant,1.852,Zacian Crowned Sword,0,252,4,0,0,252
8,Adamant,1.501,Zacian Crowned Sword,212,36,12,0,36,212
9,Adamant,1.490,Zacian Crowned Sword,252,76,4,0,36,140
10,Jolly,1.432,Zacian Crowned Sword,116,140,0,0,0,252
11,Adamant,1.312,Zacian Crowned Sword,188,100,4,0,4,212
12,Adamant,1.239,Zacian Crowned Sword,172,236,0,0,0,100
13,Jolly,1.043,Zacian Crowned Sword,68,172,12,0,4,252
14,Jolly,1.021,Zacian Crowned Sword,12,236,4,0,4,252
15,Adamant,0.981,Zacian Crowned Sword,204,76,4,0,4,220
16,Adamant,0.934,Zacian Crowned Sword,252,4,0,0,0,252
17,Jolly,0.909,Zacian Crowned Sword,172,204,12,0,4,116
18,Adamant,0.901,Zacian Crowned Sword,188,92,0,0,0,228
19,Adamant,0.898,Zacian Crowned Sword,124,156,4,0,4,220
20,Impish,4.174,Incineroar,252,4,156,0,68,28
21,Careful,3.679,Incineroar,244,4,76,0,156,28
22,Careful,2.798,Incineroar,236,4,76,0,76,116
23,Impish,2.312,Incineroar,252,4,76,0,172,4
24,Careful,2.019,Incineroar,236,4,76,0,108,84
25,Careful,1.847,Incineroar,252,0,100,0,156,0
26,Jolly,1.804,Incineroar,244,4,4,0,4,252
27,Impish,1.803,Incineroar,252,4,124,0,108,20
28,Careful,1.535,Incineroar,252,4,68,0,172,12
29,Impish,1.368,Incineroar,236,4,156,0,84,28
30,Jolly,1.186,Incineroar,4,252,0,0,0,252
31,Impish,1.141,Incineroar,244,4,124,0,108,28
32,Impish,1.076,Incineroar,252,4,100,0,124,28
33,Careful,1.071,Incineroar,244,4,68,0,76,116
34,Careful,1.036,Incineroar,244,4,68,0,156,36
35,Careful,1.033,Incineroar,236,4,60,0,132,76
36,Impish,1.030,Incineroar,252,0,196,0,60,0
37,Impish,1.007,Incineroar,244,4,156,0,84,20
38,Jolly,0.993,Incineroar,116,132,4,0,4,252
39,Adamant,0.948,Incineroar,252,252,0,0,4,0
40,Timid,15.248,Kyogre,0,0,0,252,4,252
41,Timid,9.562,Kyogre,4,0,0,252,0,252
42,Timid,5.911,Kyogre,0,0,4,252,0,252
43,Modest,3.774,Kyogre,4,0,0,252,0,252
44,Modest,3.227,Kyogre,0,0,4,252,0,252
45,Modest,2.661,Kyogre,124,0,0,156,0,228
46,Modest,1.870,Kyogre,0,0,0,252,4,252
47,Modest,1.501,Kyogre,108,0,4,156,4,236
48,Modest,1.274,Kyogre,132,0,0,252,0,124
49,Timid,1.245,Kyogre,12,0,4,236,4,252
50,Modest,1.173,Kyogre,244,0,0,252,0,12
51,Timid,1.170,Kyogre,28,0,20,252,4,204
52,Modest,1.137,Kyogre,124,0,44,252,4,84
53,Timid,1.112,Kyogre,28,0,4,252,20,204
54,Modest,1.091,Kyogre,204,0,60,156,12,76
55,Modest,1.075,Kyogre,252,0,0,236,0,20
56,Modest,1.055,Kyogre,108,0,4,164,4,228
57,Timid,1.016,Kyogre,28,0,4,204,20,252
58,Modest,1.010,Kyogre,188,0,148,156,4,12
59,Modest,0.975,Kyogre,132,0,68,76,4,228
60,Impish,6.755,Grimmsnarl,164,0,188,0,156,0
61,Careful,6.611,Grimmsnarl,252,0,140,0,116,0
62,Careful,6.246,Grimmsnarl,220,4,156,0,116,12
63,Careful,5.590,Grimmsnarl,228,4,140,0,116,20
64,Careful,5.117,Grimmsnarl,252,4,204,0,36,12
65,Careful,3.473,Grimmsnarl,220,4,140,0,116,28
66,Jolly,2.553,Grimmsnarl,252,0,0,0,4,252
67,Calm,2.102,Grimmsnarl,252,0,4,0,252,0
68,Careful,2.002,Grimmsnarl,244,0,204,0,60,0
69,Careful,1.929,Grimmsnarl,252,0,60,0,196,0
70,Careful,1.894,Grimmsnarl,220,0,116,0,172,0
71,Careful,1.751,Grimmsnarl,252,0,4,0,252,0
72,Careful,1.715,Grimmsnarl,244,4,124,0,116,20
73,Careful,1.695,Grimmsnarl,252,0,116,0,140,0
74,Calm,1.689,Grimmsnarl,244,0,116,0,148,0
75,Careful,1.610,Grimmsnarl,252,0,204,0,52,0
76,Careful,1.605,Grimmsnarl,252,4,0,0,252,0
77,Jolly,1.551,Grimmsnarl,4,252,0,0,0,252
78,Calm,1.362,Grimmsnarl,252,0,140,0,116,0
79,Careful,1.256,Grimmsnarl,220,4,220,0,60,4
80,Timid,21.474,Regieleki,0,0,0,252,4,252
81,Timid,13.978,Regieleki,4,0,0,252,0,252
82,Timid,4.264,Regieleki,0,0,4,252,0,252
83,Jolly,4.209,Regieleki,28,252,52,0,108,68
84,Jolly,2.820,Regieleki,4,252,0,0,0,252
85,Jolly,2.430,Regieleki,188,252,0,0,0,68
86,Jolly,2.216,Regieleki,0,252,0,0,4,252
87,Adamant,2.118,Regieleki,4,188,196,0,4,116
88,Jolly,2.047,Regieleki,52,252,4,0,116,84
89,Adamant,1.778,Regieleki,52,252,84,0,4,116
90,Timid,1.764,Regieleki,4,0,36,212,4,252
91,Modest,1.371,Regieleki,16,0,116,252,0,124
92,Modest,1.241,Regieleki,4,0,0,252,0,252
93,Hasty,1.220,Regieleki,0,4,0,252,0,252
94,Modest,1.142,Regieleki,0,0,0,252,4,252
95,Jolly,1.082,Regieleki,0,252,4,0,0,252
96,Adamant,0.927,Regieleki,20,212,148,0,4,124
97,Modest,0.908,Regieleki,28,0,116,236,4,124
98,Jolly,0.781,Regieleki,4,252,140,0,36,76
99,Timid,0.770,Regieleki,100,0,4,148,4,252
100,Adamant,13.944,Rillaboom,244,196,4,0,60,4
101,Adamant,4.381,Rillaboom,228,196,4,0,4,76
102,Adamant,3.924,Rillaboom,252,252,0,0,4,0
103,Adamant,3.480,Rillaboom,252,252,0,0,0,4
104,Adamant,2.530,Rillaboom,132,116,68,0,188,4
105,Adamant,2.305,Rillaboom,228,252,28,0,0,0
106,Adamant,2.095,Rillaboom,220,252,36,0,0,0
107,Adamant,1.913,Rillaboom,252,172,12,0,4,68
108,Adamant,1.860,Rillaboom,236,116,4,0,148,4
109,Adamant,1.756,Rillaboom,196,116,100,0,36,60
110,Careful,1.437,Rillaboom,252,100,0,0,156,0
111,Adamant,1.393,Rillaboom,252,148,12,0,4,92
112,Adamant,1.180,Rillaboom,252,196,0,0,60,0
113,Adamant,1.147,Rillaboom,188,196,12,0,108,4
114,Adamant,1.114,Rillaboom,140,164,204,0,0,0
115,Brave,1.109,Rillaboom,228,252,4,0,20,4
116,Adamant,1.052,Rillaboom,220,116,28,0,76,68
117,Adamant,1.035,Rillaboom,164,252,4,0,84,4
