,Pokemon,HP,Atk,Def,SpA,SpD,Spe
0,Zacian-Crowned,92,170,115,80,115,148
1,Grimmsnarl,95,120,65,95,75,60
2,Regieleki,80,100,50,100,50,200
3,Rillaboom,100,125,90,60,70,85
4,Calyrex-Shadow,100,85,80,165,100,150
5,Indeedee-F,70,55,65,95,105,85
6,Calyrex-Ice,100,165,150,85,130,50
7,Urshifu,100,130,100,63,60,97
8,Urshifu-Rapid-Strike,100,130,100,63,60,97
9,Eternatus,140,85,95,145,95,130
10,Cinderace,80,116,75,65,75,119
11,Coalossal,110,80,120,80,90,30
12,Zacian-Crowned,92,170,115,80,115,148
13,Grimmsnarl,95,120,65,95,75,60
14,Regieleki,80,100,50,100,50,200
15,Rillaboom,100,125,90,60,70,85
16,Calyrex-Shadow,100,85,80,165,100,150
17,Indeedee-F,70,55,65,95,105,85
18,Calyrex-Ice,100,165,150,85,130,50
19,Urshifu,100,130,100,63,60,97
20,Urshifu-Rapid-Strike,100,130,100,63,60,97
21,Eternatus,140,85,95,145,95,130
22,Cinderace,80,116,75,65,75,119
23,Coalossal,110,80,120,80,90,30
24,Dragapult,88,120,75,100,75,142
25,Indeedee,60,65,55,105,95,95
26,Spectrier,100,65,60,145,80,130
27,Barraskewda,61,123,60,60,50,136
28,Zamazenta-Crowned,92,130,145,80,145,128
29,Alcremie,65,60,75,110,121,64
30,Glastrier,100,145,130,65,110,30
31,Dracovish,90,90,100,70,80,75
32,Regidrago,200,100,50,100,50,80
33,Inteleon,70,85,65,125,65,120
34,Hatterene,57,90,95,136,103,29
35,Dracozolt,90,100,90,80,70,75
36,Pincurchin,48,101,95,91,85,15
37,Centiskorch,100,115,65,90,90,65
38,Zacian-Crowned,92,170,115,80,115,148
39,Incineroar,95,115,90,80,90,60
40,Kyogre,100,100,90,150,140,90
41,Grimmsnarl,95,120,65,95,75,60
42,Regieleki,80,100,50,100,50,200
43,Rillaboom,100,125,90,60,70,85
44,Groudon,100,150,140,100,90,90
45,Calyrex-Shadow,100,85,80,165,100,150
46,Thundurus,79,115,70,125,80,111
47,Landorus-Therian,89,145,90,105,80,91
48,Gastrodon,111,83,68,92,82,39
49,Charizard,78,84,78,109,85,100
50,Amoonguss,114,85,70,85,80,30
51,Indeedee-F,70,55,65,95,105,85
52,Whimsicott,60,67,85,77,75,116
53,Yveltal,126,131,95,131,98,99
54,Calyrex-Ice,100,165,150,85,130,50
55,Palkia,90,120,100,150,120,100
56,Porygon2,85,80,90,105,95,60
57,Tornadus,79,115,70,125,80,111
58,Zapdos,90,90,85,125,90,100
59,Kartana,59,181,131,59,31,109
60,Blastoise,79,83,100,85,105,78
61,Venusaur,80,82,83,100,100,80
62,Ferrothorn,74,94,131,54,116,20
63,Ditto,48,48,48,48,48,48
64,Zacian-Crowned,92,170,115,80,115,148
65,Incineroar,95,115,90,80,90,60
66,Kyogre,100,100,90,150,140,90
67,Grimmsnarl,95,120,65,95,75,60
68,Regieleki,80,100,50,100,50,200
69,Rillaboom,100,125,90,60,70,85
70,Groudon,100,150,140,100,90,90
71,Calyrex-Shadow,100,85,80,165,100,150
72,Thundurus,79,115,70,125,80,111
73,Landorus-Therian,89,145,90,105,80,91
74,Gastrodon,111,83,68,92,82,39
75,Charizard,78,84,78,109,85,100
76,Amoonguss,114,85,70,85,80,30
77,Indeedee-F,70,55,65,95,105,85
78,Whimsicott,60,67,85,77,75,116
79,Yveltal,126,131,95,131,98,99
80,Calyrex-Ice,100,165,150,85,130,50
81,Palkia,90,120,100,150,120,100
82,Porygon2,85,80,90,105,95,60
83,Tornadus,79,115,70,125,80,111
84,Zapdos,90,90,85,125,90,100
85,Kartana,59,181,131,59,31,109
86,Blastoise,79,83,100,85,105,78
87,Venusaur,80,82,83,100,100,80
88,Ferrothorn,74,94,131,54,116,20
89,Ditto,48,48,48,48,48,48
90,Zacian-Crowned,92,170,115,80,115,148
91,Incineroar,95,115,90,80,90,60
92,Kyogre,100,100,90,150,140,90
93,Grimmsnarl,95,120,65,95,75,60
94,Regieleki,80,100,50,100,50,200
95,Rillaboom,100,125,90,60,70,85
96,Groudon,100,150,140,100,90,90
97,Zacian-Crowned,92,170,115,80,115,148
98,Incineroar,95,115,90,80,90,60
99,Kyogre,100,100,90,150,140,90
100,Grimmsnarl,95,120,65,95,75,60
101,Regieleki,80,100,50,100,50,200
102,Rillaboom,100,125,90,60,70,85
103,Groudon,100,150,140,100,90,90
104,Zacian-Crowned,92,170,115,80,115,148
105,Incineroar,95,115,90,80,90,60
106,Kyogre,100,100,90,150,140,90
107,Grimmsnarl,95,120,65,95,75,60
108,Regieleki,80,100,50,100,50,200
109,Rillaboom,100,125,90,60,70,85
110,Groudon,100,150,140,100,90,90
111,Zacian-Crowned,92,170,115,80,115,148
112,Incineroar,95,115,90,80,90,60
113,Kyogre,100,100,90,150,140,90
114,Grimmsnarl,95,120,65,95,75,60
115,Regieleki,80,100,50,100,50,200
116,Rillaboom,100,125,90,60,70,85
117,Groudon,100,150,140,100,90,90
118,Zacian-Crowned,92,170,115,80,115,148
119,Incineroar,95,115,90,80,90,60
120,Kyogre,100,100,90,150,140,90
121,Grimmsnarl,95,120,65,95,75,60
122,Regieleki,80,100,50,100,50,200
123,Rillaboom,100,125,90,60,70,85
124,Groudon,100,150,140,100,90,90
125,Zacian-Crowned,92,170,115,80,115,148
126,Incineroar,95,115,90,80,90,60
127,Kyogre,100,100,90,150,140,90
128,Grimmsnarl,95,120,65,95,75,60
129,Regieleki,80,100,50,100,50,200
130,Rillaboom,100,125,90,60,70,85
131,Groudon,100,150,140,100,90,90
132,Zacian-Crowned,92,170,115,80,115,148
133,Incineroar,95,115,90,80,90,60
134,Kyogre,100,100,90,150,140,90
135,Grimmsnarl,95,120,65,95,75,60
136,Regieleki,80,100,50,100,50,200
137,Rillaboom,100,125,90,60,70,85
138,Groudon,100,150,140,100,90,90
139,Zacian-Crowned,92,170,115,80,115,148
140,Incineroar,95,115,90,80,90,60
141,Kyogre,100,100,90,150,140,90
142,Grimmsnarl,95,120,65,95,75,60
143,Regieleki,80,100,50,100,50,200
144,Rillaboom,100,125,90,60,70,85
145,Groudon,100,150,140,100,90,90
146,Zacian-Crowned,92,170,115,80,115,148
147,Incineroar,95,115,90,80,90,60
148,Kyogre,100,100,90,150,140,90
149,Grimmsnarl,95,120,65,95,75,60
150,Regieleki,80,100,50,100,50,200
151,Rillaboom,100,125,90,60,70,85
152,Groudon,100,150,140,100,90,90
153,Zacian-Crowned,92,170,115,80,115,148
154,Incineroar,95,115,90,80,90,60
155,Kyogre,100,100,90,150,140,90
156,Grimmsnarl,95,120,65,95,75,60
157,Regieleki,80,100,50,100,50,200
158,Rillaboom,100,125,90,60,70,85
159,Groudon,100,150,140,100,90,90
160,Zacian-Crowned,92,170,115,80,115,148
161,Incineroar,95,115,90,80,90,60
162,Kyogre,100,100,90,150,140,90
163,Grimmsnarl,95,120,65,95,75,60
164,Regieleki,80,100,50,100,50,200
165,Rillaboom,100,125,90,60,70,85
166,Groudon,100,150,140,100,90,90
167,Zacian-Crowned,92,170,115,80,115,148
168,Incineroar,95,115,90,80,90,60
169,Kyogre,100,100,90,150,140,90
170,Grimmsnarl,95,120,65,95,75,60
171,Regieleki,80,100,50,100,50,200
172,Rillaboom,100,125,90,60,70,85
173,Groudon,100,150,140,100,90,90
174,Zacian-Crowned,92,170,115,80,115,148
175,Incineroar,95,115,90,80,90,60
176,Kyogre,100,100,90,150,140,90
177,Grimmsnarl,95,120,65,95,75,60
178,Regieleki,80,100,50,100,50,200
179,Rillaboom,100,125,90,60,70,85
180,Groudon,100,150,140,100,90,90
181,Zacian-Crowned,92,170,115,80,115,148
182,Incineroar,95,115,90,80,90,60
183,Kyogre,100,100,90,150,140,90
184,Grimmsnarl,95,120,65,95,75,60
185,Regieleki,80,100,50,100,50,200
186,Rillaboom,100,125,90,60,70,85
187,Groudon,100,150,140,100,90,90
188,Zacian-Crowned,92,170,115,80,115,148
189,Incineroar,95,115,90,80,90,60
190,Kyogre,100,100,90,150,140,90
191,Grimmsnarl,95,120,65,95,75,60
192,Regieleki,80,100,50,100,50,200
193,Rillaboom,100,125,90,60,70,85
194,Groudon,100,150,140,100,90,90
195,Zacian-Crowned,92,170,115,80,115,148
196,Incineroar,95,115,90,80,90,60
197,Kyogre,100,100,90,150,140,90
198,Grimmsnarl,95,120,65,95,75,60
199,Regieleki,80,100,50,100,50,200
200,Rillaboom,100,125,90,60,70,85
201,Groudon,100,150,140,100,90,90
202,Zacian-Crowned,92,170,115,80,115,148
203,Incineroar,95,115,90,80,90,60
204,Kyogre,100,100,90,150,140,90
205,Grimmsnarl,95,120,65,95,75,60
206,Regieleki,80,100,50,100,50,200
207,Rillaboom,100,125,90,60,70,85
208,Groudon,100,150,140,100,90,90
209,Zacian-Crowned,92,170,115,80,115,148
210,Incineroar,95,115,90,80,90,60
211,Kyogre,100,100,90,150,140,90
212,Grimmsnarl,95,120,65,95,75,60
213,Regieleki,80,100,50,100,50,200
214,Rillaboom,100,125,90,60,70,85
215,Groudon,100,150,140,100,90,90
216,Zacian-Crowned,92,170,115,80,115,148
217,Zacian-Crowned,92,170,115,80,115,148
218,Zacian-Crowned,92,170,115,80,115,148
219,Incineroar,95,115,90,80,90,60
220,Kyogre,100,100,90,150,140,90
221,Grimmsnarl,95,120,65,95,75,60
222,Regieleki,80,100,50,100,50,200
223,Rillaboom,100,125,90,60,70,85
224,Groudon,100,150,140,100,90,90
225,Zacian-Crowned,92,170,115,80,115,148
226,Incineroar,95,115,90,80,90,60
