,Name,Category,Effect,sprite_url
0,Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,https://img.pokemondb.net/sprites/items/ability-capsule.png
1,Ability Patch,General items,Changes a Pokémon's ability to its Hidden Ability.,https://img.pokemondb.net/s.png
2,Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon.",https://img.pokemondb.net/sprites/items/ability-urge.png
3,Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/abomasite.png
4,Absolite,Hold items,Enables Absol to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/absolite.png
5,Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",https://img.pokemondb.net/sprites/items/absorb-bulb.png
6,Adamant Crystal,Hold items,NA,https://img.pokemondb.net/s.png
7,Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.,https://img.pokemondb.net/s.png
8,Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.,https://img.pokemondb.net/sprites/items/adamant-orb.png
9,Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",https://img.pokemondb.net/sprites/items/adrenaline-orb.png
10,Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aerodactylite.png
11,Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aggronite.png
12,Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/aguav-berry.png
13,Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",https://img.pokemondb.net/sprites/items/air-balloon.png
14,Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/alakazite.png
15,Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer.",https://img.pokemondb.net/sprites/items/aloraichium-z.png
16,Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/altarianite.png
17,Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/ampharosite.png
18,Amulet Coin,Hold items,Doubles prize money if held.,https://img.pokemondb.net/sprites/items/amulet-coin.png
19,Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pokémon.,https://img.pokemondb.net/sprites/items/antidote.png
20,Apicot Berry,Berries,Raises Special Defense when HP is low.,https://img.pokemondb.net/sprites/items/apicot-berry.png
21,Apricorn,General items,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.,https://img.pokemondb.net/s.png
22,Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,https://img.pokemondb.net/sprites/items/armor-fossil.png
23,Armorite Ore,General items,NA,https://img.pokemondb.net/s.png
24,Aspear Berry,Berries,"If held by a Pokémon, it defrosts it.",https://img.pokemondb.net/sprites/items/aspear-berry.png
25,Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.,https://img.pokemondb.net/sprites/items/assault-vest.png
26,Audinite,Hold items,Enables Audino to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/audinite.png
27,Aux Evasion,Battle items,Makes moves less likely to strike a Pokémon during a battle.,https://img.pokemondb.net/s.png
28,Aux Guard,Battle items,Sharply boosts the defensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
29,Aux Power,Battle items,Sharply boosts the offensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
30,Aux Powerguard,Battle items,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.,https://img.pokemondb.net/s.png
31,Awakening,Medicine,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.,https://img.pokemondb.net/sprites/items/awakening.png
32,Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/babiri-berry.png
33,Bach's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.,https://img.pokemondb.net/s.png
34,Ball of Mud,General items,NA,https://img.pokemondb.net/s.png
35,Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/balm-mushroom.png
36,Banettite,Hold items,Enables Banette to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/banettite.png
37,Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.,https://img.pokemondb.net/sprites/items/beach-glass.png
38,Bean Cake,General items,NA,https://img.pokemondb.net/s.png
39,Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.,https://img.pokemondb.net/sprites/items/beast-ball.png
40,Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/beedrillite.png
41,Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/belue-berry.png
42,Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.,https://img.pokemondb.net/sprites/items/berry-juice.png
43,Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.,https://img.pokemondb.net/s.png
44,Big Malasada,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/big-malasada.png
45,Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.,https://img.pokemondb.net/sprites/items/big-mushroom.png
46,Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/big-nugget.png
