,Atk_Type/Pokemon_Type,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
0,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,½,0,NA,NA,½,NA
1,Fire,NA,½,½,NA,2,2,NA,NA,NA,NA,NA,2,½,NA,½,NA,2,NA
2,Water,NA,2,½,NA,½,NA,NA,NA,2,NA,NA,NA,2,NA,½,NA,NA,NA
3,Electric,NA,NA,2,½,½,NA,NA,NA,0,2,NA,NA,NA,NA,½,NA,NA,NA
4,Grass,NA,½,2,NA,½,NA,NA,½,2,½,NA,½,2,NA,½,NA,½,NA
5,Ice,NA,½,½,NA,2,½,NA,NA,2,2,NA,NA,NA,NA,2,NA,½,NA
6,Fighting,2.0,NA,NA,NA,NA,2,NA,½,NA,½,½,½,2,0,NA,2,2,½
7,Poison,NA,NA,NA,NA,2,NA,NA,½,½,NA,NA,NA,½,½,NA,NA,0,2
8,Ground,NA,2,NA,2,½,NA,NA,2,NA,0,NA,½,2,NA,NA,NA,2,NA
9,Flying,NA,NA,NA,½,2,NA,2,NA,NA,NA,NA,2,½,NA,NA,NA,½,NA
10,Psychic,NA,NA,NA,NA,NA,NA,2,2,NA,NA,½,NA,NA,NA,NA,0,½,NA
11,Bug,NA,½,NA,NA,2,NA,½,½,NA,½,2,NA,NA,½,NA,2,½,½
12,Rock,NA,2,NA,NA,NA,2,½,NA,½,2,NA,2,NA,NA,NA,NA,½,NA
13,Ghost,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,½,NA,NA
14,Dragon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,½,0
15,Dark,NA,NA,NA,NA,NA,NA,½,NA,NA,NA,2,NA,NA,2,NA,½,NA,½
16,Steel,NA,½,½,½,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,½,2
17,Fairy,NA,½,NA,NA,NA,NA,2,½,NA,NA,NA,NA,NA,NA,2,2,½,NA
