,No.,Name,Abilities,HP,Att,Def,S.Att,S.Def,Spd,sprite_url
0,#001,Slowpokeヤドン,Gluttony Own Tempo Regenerator,90,65,65,40,40,15,https://www.serebii.net//swordshield/pokemon/small/079-g.png
1,#002,Slowbroヤドラン,Quick Draw Own Tempo Regenerator,95,100,95,100,70,30,https://www.serebii.net//swordshield/pokemon/small/080-g.png
2,#003,Slowkingヤドキング,Curious Medicine Own Tempo Regenerator,95,65,80,110,110,30,https://www.serebii.net//swordshield/pokemon/small/199-g.png
3,#004,Bunearyミミロル,Run Away Klutz Limber,55,66,44,44,56,85,https://www.serebii.net//swordshield/pokemon/small/427.png
4,#005,Lopunnyミミロップ,Cute Charm Klutz Limber,65,76,84,54,96,105,https://www.serebii.net//swordshield/pokemon/small/428.png
5,#006,Happinyピンプク,Natural Cure Serene Grace Friend Guard,100,5,5,15,65,30,https://www.serebii.net//swordshield/pokemon/small/440.png
6,#007,Chanseyラッキー,Natural Cure Serene Grace Healer,250,5,5,35,105,50,https://www.serebii.net//swordshield/pokemon/small/113.png
7,#008,Blisseyハピナス,Natural Cure Serene Grace Healer,255,10,10,75,135,55,https://www.serebii.net//swordshield/pokemon/small/242.png
8,#009,Skwovetホシガリス,Cheek Pouch Gluttony,70,55,55,35,35,25,https://www.serebii.net//swordshield/pokemon/small/819.png
9,#010,Greedentヨクバリス,Cheek Pouch Gluttony,120,95,95,55,75,20,https://www.serebii.net//swordshield/pokemon/small/820.png
10,#011,Igglybuffププリン,Cute Charm Competitive Friend Guard,90,30,15,40,20,15,https://www.serebii.net//swordshield/pokemon/small/174.png
11,#012,Jigglypuffプリン,Cute Charm Competitive Friend Guard,115,45,20,45,25,20,https://www.serebii.net//swordshield/pokemon/small/039.png
12,#013,Wigglytuffプクリン,Cute Charm Competitive Frisk,140,70,45,85,50,45,https://www.serebii.net//swordshield/pokemon/small/040.png
13,#014,Blipbugサッチムシ,Swarm Compoundeyes Telepathy,25,20,20,25,45,45,https://www.serebii.net//swordshield/pokemon/small/824.png
14,#015,Dottlerレドームシ,Swarm Compoundeyes Telepathy,50,35,80,50,90,30,https://www.serebii.net//swordshield/pokemon/small/825.png
15,#016,Orbeetleイオルブ,Swarm Frisk Telepathy,60,45,110,80,120,90,https://www.serebii.net//swordshield/pokemon/small/826.png
16,#017,Fomantisカリキリ,Leaf Guard Contrary,40,55,35,50,35,35,https://www.serebii.net//swordshield/pokemon/small/753.png
17,#018,Lurantisラランテス,Leaf Guard Contrary,70,105,90,80,90,45,https://www.serebii.net//swordshield/pokemon/small/754.png
18,#019,Applinカジッチュ,Ripen Gluttony Bulletproof,40,40,80,40,40,20,https://www.serebii.net//swordshield/pokemon/small/840.png
19,#020,Flappleアップリュー,Ripen Gluttony Hustle,70,110,80,95,60,70,https://www.serebii.net//swordshield/pokemon/small/841.png
20,#021,Appletunタルップル,Ripen Gluttony Thick Fat,110,85,80,100,80,30,https://www.serebii.net//swordshield/pokemon/small/842.png
21,#022,Fletchlingヤヤコマ,Big Pecks Gale Wings,45,50,43,40,38,62,https://www.serebii.net//swordshield/pokemon/small/661.png
22,#023,Fletchinderヒノヤコマ,Flame Body Gale Wings,62,73,55,56,52,84,https://www.serebii.net//swordshield/pokemon/small/662.png
23,#024,Talonflameファイアロー,Flame Body Gale Wings,78,81,71,74,69,126,https://www.serebii.net//swordshield/pokemon/small/663.png
24,#025,Shinxコリンク,Rivalry Intimidate Guts,45,65,34,40,34,45,https://www.serebii.net//swordshield/pokemon/small/403.png
25,#026,Luxioルクシオ,Rivalry Intimidate Guts,60,85,49,60,49,60,https://www.serebii.net//swordshield/pokemon/small/404.png
26,#027,Luxrayレントラー,Rivalry Intimidate Guts,80,120,79,95,79,70,https://www.serebii.net//swordshield/pokemon/small/405.png
27,#028,Klefkiクレッフィ,Prankster Magician,57,80,91,80,87,75,https://www.serebii.net//swordshield/pokemon/small/707.png
28,#029,Pawniardコマタナ,Defiant Inner Focus Pressure,45,85,70,40,40,60,https://www.serebii.net//swordshield/pokemon/small/624.png
29,#030,Bisharpキリキザン,Defiant Inner Focus Pressure,65,125,100,60,70,70,https://www.serebii.net//swordshield/pokemon/small/625.png
30,#031,Abraケーシィ,Synchronize Inner Focus Magic Guard,25,20,15,105,55,90,https://www.serebii.net//swordshield/pokemon/small/063.png
31,#032,Kadabraユンゲラー,Synchronize Inner Focus Magic Guard,40,35,30,120,70,105,https://www.serebii.net//swordshield/pokemon/small/064.png
32,#033,Alakazamフーディン,Synchronize Inner Focus Magic Guard,55,50,45,135,95,120,https://www.serebii.net//swordshield/pokemon/small/065.png
33,#034,Raltsラルトス,Synchronize Trace Telepathy,28,25,25,45,35,40,https://www.serebii.net//swordshield/pokemon/small/280.png
34,#035,Kirliaキルリア,Synchronize Trace Telepathy,38,35,35,65,55,50,https://www.serebii.net//swordshield/pokemon/small/281.png
35,#036,Gardevoirサーナイト,Synchronize Trace Telepathy,68,65,65,125,115,80,https://www.serebii.net//swordshield/pokemon/small/282.png
36,#037,Galladeエルレイド,Steadfast Justified,68,125,65,65,115,80,https://www.serebii.net//swordshield/pokemon/small/475.png
37,#038,Krabbyクラブ,Hyper Cutter Shell Armor Sheer Force,30,105,90,25,25,50,https://www.serebii.net//swordshield/pokemon/small/098.png
38,#039,Kinglerキングラー,Hyper Cutter Shell Armor Sheer Force,55,130,115,50,50,75,https://www.serebii.net//swordshield/pokemon/small/099.png
39,#040,Tentacoolメノクラゲ,Clear Body Liquid Ooze Rain Dish,40,40,35,50,100,70,https://www.serebii.net//swordshield/pokemon/small/072.png
40,#041,Tentacruelドククラゲ,Clear Body Liquid Ooze Rain Dish,80,70,65,80,120,100,https://www.serebii.net//swordshield/pokemon/small/073.png
41,#042,Magikarpコイキング,Swift Swim Rattled,20,10,55,15,20,80,https://www.serebii.net//swordshield/pokemon/small/129.png
42,#043,Gyaradosギャラドス,Intimidate Moxie,95,125,79,60,100,81,https://www.serebii.net//swordshield/pokemon/small/130.png
43,#044,Remoraidテッポウオ,Hustle Sniper Moody,35,65,35,65,35,65,https://www.serebii.net//swordshield/pokemon/small/223.png
44,#045,Octilleryオクタン,Suction Cups Sniper Moody,75,105,75,105,75,45,https://www.serebii.net//swordshield/pokemon/small/224.png
45,#046,Mantykeタマンタ,Swift Swim Water Absorb Water Veil,45,20,50,60,120,50,https://www.serebii.net//swordshield/pokemon/small/458.png
46,#047,Mantineマンタイン,Swift Swim Water Absorb Water Veil,85,40,70,80,140,70,https://www.serebii.net//swordshield/pokemon/small/226.png
47,#048,Wingullキャモメ,Keen Eye Hydration Rain Dish,40,30,30,55,30,85,https://www.serebii.net//swordshield/pokemon/small/278.png
48,#049,Pelipperペリッパー,Keen Eye Drizzle Rain Dish,60,50,100,95,70,65,https://www.serebii.net//swordshield/pokemon/small/279.png
49,#050,Skorupiスコルピ,Battle Armor Sniper Keen Eye,40,50,90,30,55,65,https://www.serebii.net//swordshield/pokemon/small/451.png
50,#051,Drapionドラピオン,Battle Armor Sniper Keen Eye,70,90,110,60,75,95,https://www.serebii.net//swordshield/pokemon/small/452.png
51,#052,Dunsparceノコッチ,Serene Grace Run Away Rattled,100,70,70,65,65,45,https://www.serebii.net//swordshield/pokemon/small/206.png
52,#053,Bouffalantバッフロン,Reckless Sap Sipper Soundproof,95,110,95,40,95,55,https://www.serebii.net//swordshield/pokemon/small/626.png
53,#054,Lickitungベロリンガ,Own Tempo Oblivious Cloud Nine,90,55,75,60,75,30,https://www.serebii.net//swordshield/pokemon/small/108.png
54,#055,Lickilickyベロベルト,Own Tempo Oblivious Cloud Nine,110,85,95,80,95,50,https://www.serebii.net//swordshield/pokemon/small/463.png
55,#056,Chewtleカムカメ,Strong Jaw Shell Armor Swift Swim,50,64,50,38,38,44,https://www.serebii.net//swordshield/pokemon/small/833.png
56,#057,Drednawカジリガメ,Strong Jaw Shell Armor Swift Swim,90,115,90,48,68,74,https://www.serebii.net//swordshield/pokemon/small/834.png
