,Ability,Pokemon,Hidden
0,Adaptability,eevee,False
1,Adaptability,corphish,True
2,Adaptability,crawdaunt,True
3,Adaptability,feebas,True
4,Adaptability,porygon-z,False
5,Adaptability,basculin-red-striped,False
6,Adaptability,skrelp,True
7,Adaptability,dragalge,True
8,Adaptability,yungoos,True
9,Adaptability,gumshoos,True
10,Adaptability,basculin-blue-striped,False
11,Adaptability,lucario-mega,False
12,Adaptability,beedrill-mega,False
13,Adaptability,gumshoos-totem,True
14,Adaptability,eevee-starter,False
15,Adaptability,eevee-gmax,False
16,Aerilate,pinsir-mega,False
17,Aerilate,salamence-mega,False
18,Aftermath,voltorb,True
19,Aftermath,electrode,True
20,Aftermath,drifloon,False
21,Aftermath,drifblim,False
22,Aftermath,stunky,False
23,Aftermath,skuntank,False
24,Aftermath,trubbish,True
25,Aftermath,garbodor,True
26,Aftermath,garbodor-gmax,True
27,Air Lock,rayquaza,False
28,Analytic,magnemite,True
29,Analytic,magneton,True
30,Analytic,staryu,True
31,Analytic,starmie,True
32,Analytic,porygon,True
33,Analytic,porygon2,True
34,Analytic,magnezone,True
35,Analytic,porygon-z,True
36,Analytic,patrat,True
37,Analytic,watchog,True
38,Analytic,elgyem,True
39,Analytic,beheeyem,True
40,Anger Point,mankey,False
41,Anger Point,primeape,False
42,Anger Point,tauros,False
43,Anger Point,camerupt,True
44,Anger Point,sandile,True
45,Anger Point,krokorok,True
46,Anger Point,krookodile,True
47,Anger Point,crabrawler,True
48,Anger Point,crabominable,True
49,Anticipation,eevee,True
50,Anticipation,barboach,False
51,Anticipation,whiscash,False
52,Anticipation,wormadam-plant,False
53,Anticipation,croagunk,False
54,Anticipation,toxicroak,False
55,Anticipation,ferrothorn,True
56,Anticipation,hatenna,False
57,Anticipation,hattrem,False
58,Anticipation,hatterene,False
59,Anticipation,wormadam-sandy,False
60,Anticipation,wormadam-trash,False
61,Anticipation,eevee-starter,True
62,Anticipation,ponyta-galar,True
63,Anticipation,rapidash-galar,True
64,Anticipation,eevee-gmax,True
65,Anticipation,hatterene-gmax,False
66,Arena Trap,diglett,False
67,Arena Trap,dugtrio,False
68,Arena Trap,trapinch,False
69,Aroma Veil,spritzee,True
70,Aroma Veil,aromatisse,True
71,Aroma Veil,milcery,True
72,Aroma Veil,alcremie,True
73,Aroma Veil,alcremie-gmax,True
74,As One Glastrier,calyrex-ice,False
75,As One Spectrier,calyrex-shadow,False
76,Aura Break,zygarde-50,False
77,Aura Break,zygarde-10,False
78,Bad Dreams,darkrai,False
79,Ball Fetch,yamper,False
80,Battery,charjabug,False
81,Battle Armor,cubone,True
82,Battle Armor,marowak,True
83,Battle Armor,kabuto,False
84,Battle Armor,kabutops,False
85,Battle Armor,anorith,False
86,Battle Armor,armaldo,False
87,Battle Armor,skorupi,False
88,Battle Armor,drapion,False
89,Battle Armor,type-null,False
90,Battle Armor,perrserker,False
91,Battle Armor,falinks,False
92,Battle Bond,greninja-battle-bond,False
93,Battle Bond,greninja-ash,False
94,Beast Boost,nihilego,False
95,Beast Boost,buzzwole,False
96,Beast Boost,pheromosa,False
97,Beast Boost,xurkitree,False
98,Beast Boost,celesteela,False
99,Beast Boost,kartana,False
100,Beast Boost,guzzlord,False
101,Beast Boost,poipole,False
102,Beast Boost,naganadel,False
103,Beast Boost,stakataka,False
104,Beast Boost,blacephalon,False
105,Berserk,drampa,False
106,Berserk,moltres-galar,False
107,Big Pecks,pidgey,True
108,Big Pecks,pidgeotto,True
109,Big Pecks,pidgeot,True
110,Big Pecks,chatot,True
111,Big Pecks,pidove,False
112,Big Pecks,tranquill,False
113,Big Pecks,unfezant,False
114,Big Pecks,ducklett,False
115,Big Pecks,swanna,False
116,Big Pecks,vullaby,False
117,Big Pecks,mandibuzz,False
118,Big Pecks,fletchling,False
119,Big Pecks,rookidee,True
120,Big Pecks,corvisquire,True
121,Blaze,charmander,False
122,Blaze,charmeleon,False
123,Blaze,charizard,False
124,Blaze,cyndaquil,False
125,Blaze,quilava,False
126,Blaze,typhlosion,False
127,Blaze,torchic,False
128,Blaze,combusken,False
129,Blaze,blaziken,False
130,Blaze,chimchar,False
131,Blaze,monferno,False
132,Blaze,infernape,False
133,Blaze,tepig,False
134,Blaze,pignite,False
135,Blaze,emboar,False
136,Blaze,pansear,True
137,Blaze,simisear,True
138,Blaze,fennekin,False
139,Blaze,braixen,False
140,Blaze,delphox,False
141,Blaze,litten,False
142,Blaze,torracat,False
143,Blaze,incineroar,False
144,Blaze,scorbunny,False
145,Blaze,raboot,False
146,Blaze,cinderace,False
147,Blaze,charizard-gmax,False
148,Blaze,cinderace-gmax,False
149,Bulletproof,chespin,True
150,Bulletproof,quilladin,True
151,Bulletproof,chesnaught,True
152,Bulletproof,jangmo-o,False
153,Bulletproof,hakamo-o,False
154,Bulletproof,kommo-o,False
155,Bulletproof,wooloo,True
156,Bulletproof,dubwool,True
157,Bulletproof,applin,True
158,Bulletproof,kommo-o-totem,False
159,Cheek Pouch,bunnelby,False
160,Cheek Pouch,diggersby,False
161,Cheek Pouch,dedenne,False
162,Cheek Pouch,skwovet,False
163,Cheek Pouch,greedent,False
164,Chilling Neigh,glastrier,False
165,Chlorophyll,bulbasaur,True
166,Chlorophyll,ivysaur,True
167,Chlorophyll,venusaur,True
168,Chlorophyll,oddish,False
169,Chlorophyll,gloom,False
170,Chlorophyll,vileplume,False
171,Chlorophyll,bellsprout,False
172,Chlorophyll,weepinbell,False
173,Chlorophyll,victreebel,False
174,Chlorophyll,exeggcute,False
175,Chlorophyll,exeggutor,False
176,Chlorophyll,tangela,False
177,Chlorophyll,bellossom,False
178,Chlorophyll,hoppip,False
179,Chlorophyll,skiploom,False
180,Chlorophyll,jumpluff,False
181,Chlorophyll,sunkern,False
182,Chlorophyll,sunflora,False
183,Chlorophyll,seedot,False
184,Chlorophyll,nuzleaf,False
185,Chlorophyll,shiftry,False
186,Chlorophyll,tropius,False
187,Chlorophyll,cherubi,False
188,Chlorophyll,tangrowth,False
189,Chlorophyll,leafeon,True
190,Chlorophyll,sewaddle,False
191,Chlorophyll,swadloon,False
192,Chlorophyll,leavanny,False
193,Chlorophyll,cottonee,True
194,Chlorophyll,whimsicott,True
195,Chlorophyll,petilil,False
196,Chlorophyll,lilligant,False
197,Chlorophyll,maractus,False
198,Chlorophyll,deerling,False
199,Chlorophyll,sawsbuck,False
200,Chlorophyll,venusaur-gmax,True
201,Clear Body,tentacool,False
202,Clear Body,tentacruel,False
203,Clear Body,beldum,False
204,Clear Body,metang,False
205,Clear Body,metagross,False
206,Clear Body,regirock,False
207,Clear Body,regice,False
208,Clear Body,registeel,False
209,Clear Body,klink,True
210,Clear Body,klang,True
211,Clear Body,klinklang,True
212,Clear Body,carbink,False
213,Clear Body,diancie,False
214,Clear Body,dreepy,False
215,Clear Body,drakloak,False
216,Clear Body,dragapult,False
217,Cloud Nine,psyduck,False
218,Cloud Nine,golduck,False
219,Cloud Nine,lickitung,True
220,Cloud Nine,swablu,True
221,Cloud Nine,altaria,True
222,Cloud Nine,lickilicky,True
223,Cloud Nine,drampa,True
224,Color Change,kecleon,False
225,Comatose,komala,False
226,Competitive,jigglypuff,False
227,Competitive,wigglytuff,False
228,Competitive,igglybuff,False
229,Competitive,milotic,False
230,Competitive,gothita,False
231,Competitive,gothorita,False
232,Competitive,gothitelle,False
233,Competitive,boltund,True
234,Competitive,meowstic-female,True
235,Competitive,articuno-galar,False
236,Compound Eyes,butterfree,False
237,Compound Eyes,venonat,False
238,Compound Eyes,yanma,False
239,Compound Eyes,dustox,True
240,Compound Eyes,nincada,False
241,Compound Eyes,joltik,False
242,Compound Eyes,galvantula,False
243,Compound Eyes,scatterbug,False
244,Compound Eyes,vivillon,False
245,Compound Eyes,blipbug,False
246,Compound Eyes,dottler,False
247,Compound Eyes,butterfree-gmax,False
248,Contrary,shuckle,True
249,Contrary,spinda,True
250,Contrary,snivy,True
251,Contrary,servine,True
252,Contrary,serperior,True
253,Contrary,inkay,False
254,Contrary,malamar,False
255,Contrary,fomantis,True
256,Contrary,lurantis,True
257,Contrary,lurantis-totem,True
258,Corrosion,salandit,False
259,Corrosion,salazzle,False
260,Corrosion,salazzle-totem,False
261,Cotton Down,gossifleur,False
262,Cotton Down,eldegoss,False
