,Name,Pokémon,Description,Gen.
0,Adaptability,16,Powers up moves of the same type.,4
1,Aerilate,2,Turns Normal-type moves into Flying-type moves.,6
2,Aftermath,10,Damages the attacker landing the finishing hit.,4
3,Air Lock,1,Eliminates the effects of weather.,3
4,Analytic,12,Boosts move power when the Pokémon moves last.,5
5,Anger Point,9,Maxes Attack after taking a critical hit.,4
6,Anticipation,14,Senses a foe's dangerous moves.,4
7,Arena Trap,3,Prevents the foe from fleeing.,3
8,Aroma Veil,4,Protects allies from attacks that limit their move choices.,6
9,As One,2,Combines Unnerve and Chilling Neigh/Grim Neigh,8
10,Aura Break,2,Reduces power of Dark- and Fairy-type moves.,6
11,Bad Dreams,1,Reduces a sleeping foe's HP.,4
12,Ball Fetch,1,Retrieves a Poké Ball from a failed throw.,8
13,Battery,1,Raises power of teammates' Special moves.,7
14,Battle Armor,11,The Pokémon is protected against critical hits.,3
15,Battle Bond,1,Transform into Ash-Greninja after causing opponent to faint.,7
16,Beast Boost,11,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,7
17,Berserk,2,Raises Special Attack when HP drops below half.,7
18,Big Pecks,14,Protects the Pokémon from Defense-lowering attacks.,5
19,Blaze,28,Powers up Fire-type moves in a pinch.,3
20,Bulletproof,10,Protects the Pokémon from ball and bomb moves.,6
21,Cheek Pouch,5,Restores additional HP when a Berry is consumed.,6
22,Chilling Neigh,1,Boosts Attack after knocking out a Pokémon.,8
23,Chlorophyll,36,Boosts the Pokémon's Speed in sunshine.,3
24,Clear Body,16,Prevents other Pokémon from lowering its stats.,3
25,Cloud Nine,7,Eliminates the effects of weather.,3
26,Color Change,1,Changes the Pokémon's type to the foe's move.,3
27,Comatose,1,The Pokémon is always asleep but can still attack.,7
28,Competitive,10,Sharply raises Special Attack when the Pokémon's stats are lowered.,6
29,Compound Eyes,11,The Pokémon's accuracy is boosted.,3
30,Contrary,10,Makes stat changes have an opposite effect.,5
31,Corrosion,2,The Pokémon can poison Steel and Poison types.,7
32,Cotton Down,2,Lowers foe's Speed when hit.,8
33,Curious Medicine,1,Resets all stat changes upon entering battlefield.,8
34,Cursed Body,13,May disable a move used on the Pokémon.,5
35,Cute Charm,14,Contact with the Pokémon may cause infatuation.,3
36,Damp,18,Prevents the use of self-destructing moves.,3
37,Dancer,4,Copies the foe's Dance moves.,7
38,Dark Aura,1,Raises power of Dark type moves for all Pokémon in battle.,6
39,Dauntless Shield,2,Boosts Defense in battle.,8
40,Dazzling,1,Protects the Pokémon from high-priority moves.,7
41,Defeatist,2,Lowers stats when HP drops below half.,5
