,Name,Category,Effect
0,Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
1,Ability Patch,General items,Changes a Pokémon's ability to its Hidden Ability.
2,Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon."
3,Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.
4,Absolite,Hold items,Enables Absol to Mega Evolve during battle.
5,Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
6,Adamant Crystal,Hold items,NA
7,Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.
8,Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.
9,Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
10,Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.
11,Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.
12,Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion."
13,Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
14,Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.
15,Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer."
16,Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.
17,Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.
18,Amulet Coin,Hold items,Doubles prize money if held.
19,Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pokémon.
20,Apicot Berry,Berries,Raises Special Defense when HP is low.
21,Apricorn,General items,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.
22,Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
23,Armorite Ore,General items,NA
24,Aspear Berry,Berries,"If held by a Pokémon, it defrosts it."
25,Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.
26,Audinite,Hold items,Enables Audino to Mega Evolve during battle.
27,Aux Evasion,Battle items,Makes moves less likely to strike a Pokémon during a battle.
28,Aux Guard,Battle items,Sharply boosts the defensive stats of a Pokémon during a battle.
29,Aux Power,Battle items,Sharply boosts the offensive stats of a Pokémon during a battle.
30,Aux Powerguard,Battle items,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.
31,Awakening,Medicine,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
32,Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.
33,Bach's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
34,Ball of Mud,General items,NA
35,Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
36,Banettite,Hold items,Enables Banette to Mega Evolve during battle.
37,Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
38,Bean Cake,General items,NA
39,Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
40,Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.
41,Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
42,Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.
43,Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.
44,Big Malasada,Medicine,Heals all major status conditions.
45,Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.
46,Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
47,Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
48,Big Root,Hold items,Recovers more HP from HP-stealing moves.
49,Binding Band,Hold items,A band that increases the power of binding moves when held.
50,Black Apricorn,General items,A black Apricorn It has an indescribable scent.
51,Black Augurite,General items,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
52,Black Belt,Hold items,Increases the power of Fighting-type moves.
53,Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.
54,Black Glasses,Hold items,Increases the power of Dark-type moves.
55,Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
56,Black Tumblestone,General items,NA
57,Blank Plate,Hold items,NA
58,Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.
59,Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.
60,Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.
61,Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.
62,Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.
63,Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.
64,Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
65,Blunder Policy,Hold items,Raises Speed sharply if its attack misses.
66,Bob's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
67,Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
68,Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.
69,Bottle Cap,General items,Maximizes one IV stat in Hyper Training.
70,Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.
71,Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
72,Bright Powder,Hold items,Lowers the opponent's accuracy.
73,Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.
74,Bug Gem,Hold items,Increases the power of a Bug-type move only once.
75,Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.
76,Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move."
77,Bugwort,General items,NA
78,Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.
79,Burn Heal,Medicine,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.
80,Cake-Lure Base,General items,NA
81,Calcium,Medicine,Increases Special Attack EVs by 10.
82,Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.
83,Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.
84,Candy Truffle,General items,NA
85,Carbos,Medicine,Increases Speed EVs by 10.
86,Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.
87,Carrot Seeds,General items,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.
88,Casteliacone,Medicine,Heals all major status conditions.
89,Caster Fern,General items,NA
90,Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
91,Chalky Stone,General items,A small whitish stone picked up at the edge of the road.
92,Charcoal,Hold items,Increases the power of Fire-type moves.
93,Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.
94,Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.
95,Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.
96,Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis."
97,Cherish Ball,Pokeballs,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.
98,Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep."
99,Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.
100,Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.
101,Chipped Pot,Hold items,Evolves Sinistea into Polteageist.
102,Choice Band,Hold items,"Raises Attack, but only one move can be used."
103,Choice Dumpling,General items,NA
104,Choice Scarf,Hold items,"Raises Speed, but only one move can be used."
105,Choice Specs,Hold items,"Raises Special Attack, but only one move can be used."
106,Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.
107,Claw Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.
108,Cleanse Tag,Hold items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
109,Clever Wing,Medicine,Increases Special Defense EVs by 1.
110,Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.
111,Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.
112,Coconut Milk,General items,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.
113,Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.
114,Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
115,Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
116,Courage Candy,Medicine,Increases a Pokémon's Special Defense stat by 1.
117,Courage Candy L,Medicine,Increases a Pokémon's Special Defense stat.
118,Courage Candy XL,Medicine,Increases a Pokémon's Special Defense stat.
119,Cover Fossil,General items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.
120,Cracked Pot,Hold items,Evolves Sinistea into Polteageist.
121,Crafting Kit,General items,NA
122,Crunchy Salt,General items,NA
123,Custap Berry,Berries,Holder can move first when HP is low.
124,Damp Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
125,Damp Rock,Hold items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.
126,Dark Gem,Hold items,Increases the power of a Dark-type move only once.
127,Dark Memory,Hold items,Changes Silvally and its move Multi-Attack to Dark type.
128,Darkinium Z,Hold items,"Allows the use of Black Hole Eclipse, the Dark type Z-Move."
129,Dawn Stone,General items,Evolves certain species of Pokémon.
130,Dazzling Honey,General items,NA
131,Decidium Z,Hold items,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid."
132,Deep Sea Scale,Hold items,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.
133,Deep Sea Tooth,Hold items,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.
134,Destiny Knot,Hold items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too."
135,Diancite,Hold items,Enables Diancie to Mega Evolve during battle.
136,Dire Hit,Battle items,Raises critical-hit ratio of a Pokémon in battle.
137,Dire Hit 2,Battle items,Raises a Pokémon's critical-hit ratio in battle.
138,Dire Hit 3,Battle items,Greatly raises a Pokémon's critical-hit ratio in battle.
139,Direshroom,General items,NA
140,Discount Coupon,General items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
141,Dive Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Pokémon that live underwater.
142,DNA Splicers,General items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
143,Dome Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.
144,Doppel Bonnets,General items,NA
145,Douse Drive,Hold items,Changes Techno Blast to a Water-type move when held by Genesect.
146,Draco Plate,Hold items,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.
147,Dragon Fang,Hold items,Increases the power of Dragon-type moves.
148,Dragon Gem,Hold items,Increases the power of a Dragon-type move only once.
149,Dragon Memory,Hold items,Changes Silvally and its move Multi-Attack to Dragon type.
150,Dragon Scale,General items,Evolves Seadra when traded holding the item.
151,Dragonium Z,Hold items,"Allows the use of Devastating Drake, the Dragon type Z-Move."
152,Dread Plate,Hold items,Increases power of Dark-type moves. Changes Arceus' type to Dark.
153,Dream Ball,Pokeballs,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.
154,Dropped Item,Hold items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
155,Dubious Disc,General items,Evolves Porygon2 when traded holding the item.
156,Durin Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
157,Dusk Ball,Pokeballs,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.
158,Dusk Stone,General items,Evolves certain species of Pokémon.
159,Dynamax Candy,Medicine,Raises Dynamax Level.
160,Dynite Ore,General items,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.
161,Earth Plate,Hold items,Increases power of Ground-type moves. Changes Arceus' type to Ground.
162,Eevium Z,Hold items,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost."
163,Eject Button,Hold items,"If the holder is hit by an attack, it will switch with another Pokémon in your party."
164,Eject Pack,Hold items,The Pokémon switches out if its stats are lowered.
165,Electirizer,General items,Evolves Electabuzz when traded holding the item.
166,Electric Gem,Hold items,Increases the power of an Electric-type move only once.
167,Electric Memory,Hold items,Changes Silvally and its move Multi-Attack to Electric type.
168,Electric Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
169,Electrium Z,Hold items,"Allows the use of Gigavolt Havoc, the Electric type Z-Move."
170,Elevator Key,Hold items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
171,Elixir,Medicine,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.
172,Energy Powder,Medicine,Restores 60 HP but lowers Friendship.
173,Energy Root,Medicine,Restores 120 HP but lowers Friendship.
174,Enigma Berry,Berries,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack."
175,Escape Rope,General items,"A long, durable rope. Use it to escape instantly from a cave or a dungeon."
176,Ether,Medicine,It restores the PP of a Pokémon's selected move by a maximum of 10 points.
177,Everstone,Hold items,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.
178,Eviolite,Hold items,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve."
179,Exp. Candy L,Medicine,NA
180,Exp. Candy M,Medicine,NA
181,Exp. Candy S,Medicine,NA
182,Exp. Candy XL,Medicine,"Increases the Pokémon's Exp points by 30,000."
183,Exp. Candy XS,Medicine,NA
184,Exp. Share,Hold items,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.
185,Expert Belt,Hold items,Increases the power of super-effective moves.
186,Fairium Z,Hold items,"Allows the use of Twinkle Tackle, the Fairy type Z-Move."
187,Fairy Gem,General items,Increases the power of a Fairy-type move only once.
188,Fairy Memory,Hold items,Changes Silvally and its move Multi-Attack to Fairy type.
189,Fancy Apple,General items,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.
190,Fast Ball,Pokeballs,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.
191,Feather Ball,Pokeballs,NA
192,Festival Ticket,General items,A ticket that allows you to host a mission in Festival Plaza.
193,Fighting Gem,Hold items,Increases the power of a Fighting-type move only once.
194,Fighting Memory,Hold items,Changes Silvally and its move Multi-Attack to Fighting type.
195,Fightinium Z,Hold items,"Allows the use of All-Out Pummeling, the Fighting type Z-Move."
196,Figy Berry,Berries,"Restores HP if it's low, but may cause confusion."
197,Fine Remedy,Medicine,NA
198,Fire Gem,Hold items,Increases the power of a Fire-type move only once.
199,Fire Memory,Hold items,Changes Silvally and its move Multi-Attack to Fire type.
