,Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
0,"10,000,000 Volt Thunderbolt",Electric,NA,195,—,1,NA,Pikachu-exclusive Z-Move. High critical hit ratio.,—
1,Absorb,Grass,NA,20,100,25,NA,User recovers half the HP inflicted on opponent.,—
2,Accelerock,Rock,NA,40,100,20,NA,User attacks first.,—
3,Acid,Poison,NA,40,100,30,NA,May lower opponent's Special Defense.,10
4,Acid Armor,Poison,NA,—,—,20,NA,Sharply raises user's Defense.,—
5,Acid Downpour,Poison,—,—,—,1,NA,Poison type Z-Move.,—
6,Acid Spray,Poison,NA,40,100,20,NA,Sharply lowers opponent's Special Defense.,100
7,Acrobatics,Flying,NA,55,100,15,NA,Stronger when the user does not have a held item.,—
8,Acupressure,Normal,NA,—,—,30,NA,Sharply raises a random stat.,—
9,Aerial Ace,Flying,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
10,Aeroblast,Flying,NA,100,95,5,NA,High critical hit ratio.,—
11,After You,Normal,NA,—,—,15,NA,Gives target priority in the next turn.,—
12,Agility,Psychic,NA,—,—,30,NA,Sharply raises user's Speed.,—
13,Air Cutter,Flying,NA,60,95,25,NA,High critical hit ratio.,—
14,Air Slash,Flying,NA,75,95,15,NA,May cause flinching.,30
15,All-Out Pummeling,Fighting,—,—,—,1,NA,Fighting type Z-Move.,—
16,Ally Switch,Psychic,NA,—,—,15,NA,User switches with opposite teammate.,—
17,Amnesia,Psychic,NA,—,—,20,NA,Sharply raises user's Special Defense.,—
18,Anchor Shot,Steel,NA,80,100,20,NA,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,—
19,Ancient Power,Rock,NA,60,100,5,NA,May raise all user's stats at once.,10
20,Apple Acid,Grass,NA,80,100,10,NA,Lowers target's Special Defense.,100
21,Aqua Jet,Water,NA,40,100,20,NA,User attacks first.,—
22,Aqua Ring,Water,NA,—,—,20,NA,Restores a little HP each turn.,—
23,Aqua Tail,Water,NA,90,90,10,NA,NA,—
24,Arm Thrust,Fighting,NA,15,100,20,NA,Hits 2-5 times in one turn.,—
25,Aromatherapy,Grass,NA,—,—,5,NA,Cures all status problems in your party.,—
26,Aromatic Mist,Fairy,NA,—,—,20,NA,Raises Special Defense of an ally.,—
27,Assist,Normal,NA,—,—,20,NA,User performs a move known by its allies at random.,—
28,Assurance,Dark,NA,60,100,10,NA,Power doubles if opponent already took damage in the same turn.,—
29,Astonish,Ghost,NA,30,100,15,NA,May cause flinching.,30
30,Astral Barrage,Ghost,NA,120,100,5,NA,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,—
31,Attack Order,Bug,NA,90,100,15,NA,High critical hit ratio.,—
32,Attract,Normal,NA,—,100,15,NA,"If opponent is the opposite gender, it's less likely to attack.",—
33,Aura Sphere,Fighting,NA,80,∞,20,NA,Ignores Accuracy and Evasiveness.,—
34,Aura Wheel,Electric,NA,110,100,10,NA,Changes type based on Morpeko's Mode.,100
35,Aurora Beam,Ice,NA,65,100,20,NA,May lower opponent's Attack.,10
36,Aurora Veil,Ice,NA,—,—,20,NA,Halves damage from Physical and Special attacks for five turns.,—
37,Autotomize,Steel,NA,—,—,15,NA,Reduces weight and sharply raises Speed.,—
38,Avalanche,Ice,NA,60,100,10,NA,Power doubles if user took damage first.,—
39,Baby-Doll Eyes,Fairy,NA,—,100,30,NA,Always goes first. Lowers the target's attack.,—
40,Baddy Bad,Dark,NA,90,100,15,NA,Reduces damage from Physical attacks.,—
41,Baneful Bunker,Poison,NA,—,—,10,NA,Protects the user and poisons opponent on contact.,—
42,Barb Barrage,Poison,NA,60,100,15,NA,NA,—
43,Barrage,Normal,NA,15,85,20,NA,Hits 2-5 times in one turn.,—
44,Barrier,Psychic,NA,—,—,20,NA,Sharply raises user's Defense.,—
45,Baton Pass,Normal,NA,—,—,40,NA,User switches out and gives stat changes to the incoming Pokémon.,—
